Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Essex County Council,349.68,1498.546,1408.633,4795.02,6029.6,1450.691,30.918,66.209,0,391,60.78,0,284.326,0,17.594,32.374,0,0,62.599
Hampshire County Council,693.53,1724.71,2527.1,10269.42,0,1243.4,84.22,0,0,478.83,35.16,1127.99,276.16,0,16.54,0,0,5473.67,0
Thanet District Council,77.3,1403.58,8.4,1482.96,0,12,0,0,0,0,0,0,28.17,1122.4,0,0,0,0,0
Burnley Borough Council,15.54,686.64,0,471.38,0,3.79,0,0,0,0,0,0,3.89,711.8,0,9.07,0,0,0
Boston Borough Council,38.67,7.484,1.671,930.28,0,0,0,0,0,0,0,83.11,31.649,1666.5,1,3.258,0,0,0
South Northamptonshire District Council,14.28,21.04,19.45,2612.43,0,11.35,1.23,0,43.16,0,0,0,49.09,2450.88,2.25,0,0,51.36,0
Tamworth Borough Council,16.18,9.564,0,987.35,0,5.985,0,0,0,0,0,203.42,24.497,2117.25,0,0,0,0,0
Spelthorne Borough Council,0,1.57,0,1144.16,0,0.72,0,0,0,0,0,22.96,9.25,2310.74,0,0,0.73,0,0
Horsham District Council,33.1,53.46,0,2686.438,0,10.08,0,0,0,0,0,0,30.04,3080.77,0,12.78,0,0,0
Liverpool City Council,0,2.68,0,3010.8,0,0,0,0,0,0,0,647.61,72.6,6875.58,0,106.27,0.136,0,0
Barking and Dagenham LB,56.2,99.2,110.2,1012.1,886.8,129.6,3.9,2.2,0,0,2.4,212,26.8,2375.2,32.5,0.3,0,62,1.1
Royal Borough of Kingston upon Thames ,712.081,2073.077,227.025,2133.66,491.68,163.233,3.276,0,0,27.04,3.1,2.06,47.755,0,564.137,110.825,34.3,520.96,0
Wiltshire,3091.77,3975,1259.12,9132.7,0,1372.54,34.75,38.24,202.41,238.52,20.08,0,225.99,3109.62,264.69,21.51,4.33,468.31,12.12
Cornwall,454.35,1054.13,1051.12,5144.54,2116.94,743.31,27.77,6.75,0,119.44,3.37,1.5,93.58,7897.14,36.24,69.13,0,544.44,0
Bedford,557.98,161.44,101.17,2474.04,100.24,146.34,16.76,2.48,0,10.04,2.67,49.86,61.57,2953.81,17.69,0,0,171.78,35
Central Bedfordshire,1238.92,296.46,308.82,4419.78,372.58,325.35,10.77,79.97,0,50.84,12.16,32.68,105.48,5310.52,11.8,0,0,892.36,0
Shropshire,1148.79,2893.79,280.25,8125.81,720.36,427.87,13.46,15.36,0,79.14,5.8,41.61,188.08,1583.82,72.67,0,10.5,206.76,0
Cheshire East,97.13,511.64,332.13,8504.04,1300.83,503.95,12.63,0,0,0,10.71,237.11,160.18,9538,91.46,24.17,0,1980.4,0
Cheshire West and Chester,2236.64,3956.068,819.663,8994.27,1335.9,490.213,13.016,0,0,0,13.498,151.62,217.148,0,970.12,53.803,0,1928.18,1.682
Northumberland,1346.5,390.7,333.7,3323,1021,486,13.8,25,0,96.9,15.6,52.2,449.4,5338.3,361.8,0,2.7,1073,0.4
County Durham,2436.31,540.8,450.93,5195.18,1620.46,439.76,11.67,49.65,0,198.54,9.78,159.06,366.6,9438.57,245.93,0,8.63,1977.48,0
Dorset Waste Partnership,3099.04,1861.21,1065.25,11157.79,1953.5,661.31,27.22,21.55,0,215.02,12.5,417.5,340.53,6892.35,59.28,35,6.81,1018.88,20
