Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
South Bucks District Council,0,420.1,0,1361.8,0,9.66,0.92,6.32,0,0,0,0,29.9,1256.24,0,0,0,0,0
Erewash Borough Council,0,0,0,3290.68,0,31.88,0,0,0,0,0,0,0,2430.92,0,0,0,0,0
Plymouth City Council,273.34,461.2,402.76,3148.46,1494.6,413.94,9.65,1.8,0,125.02,5.7,41.74,120.02,4301.68,28.9,2.99,0,1981.48,0
Brighton and Hove Council,1611.8,276.275,214.26,1128.36,305.23,292.36,7.37,3.86,158.46,46.18,4.21,61.42,164.522,3146.6,1.36,0,2.154,583.96,4.47
Harlow District Council,3.069,7.916,0,861.14,0,16.541,0.037,0,0,0,0,1.709,38.996,2048.39,0.174,0,0,0,0
Hart District Council,748.18,69.94,0,814.88,0,9.038,0.11,0,0,0,0,0,59.23,1517.19,0,0,0,0,0
Hertsmere Borough Council,13.281,597.181,0.22,2707.8,0,5.569,0,0,0,0,0,0,11.36,1312.56,0.627,0,0,0,0
Preston City Council,5.99,1277.78,14.32,2808.68,0,13.21,0.02,0,0,1.62,0,473.68,14.266,1412.44,10.4,45.1,0,0,0
West Lindsey District Council,0,4.75,0,3838.04,0,58.496,0,0,0,0,0,0,36.214,2425.885,0,0,0,0,0
Selby District Council,558.44,797.26,70.48,3097.42,0,4.2,0,0,0,0,0,0,21.55,0,179.7,0,1.17,0,0
Gedling Borough Council,694.405,14.77,3.49,1560.02,0,17.8,1.292,0,0,0,0,12.715,14.345,1997.74,0.46,0,0,0,0
Staffordshire County Council,45.2,898.4,1011.67,3803,586.3,1172.68,50.81,62.8,0,152.86,30.39,163.89,1190.54,0,153.24,2,140.81,4702.2,164.25
Bolton MBC,0,2458.56,0,5627.72,0,0,0,0,0,0,0,8.604,14.315,2685.84,0,18.111,0,0,0
Leeds City Council MBC,2389.668,706.302,648.51,15678.185,2903.44,749.529,17.238,18.04,0,246.98,3.448,45.83,228.583,9958.83,1.076,221.128,2.167,0,50.333
Barnet LB,11.24,202.02,186.69,6076.45,1021.18,255.57,7.7,7.6,0,41.24,4.52,0,222.9,6938.88,0.4,20.26,0,804.34,0
Lambeth LB,0,109.67,67.93,1768.55,226.6,160.3,3.7,3.1,0,0,1.62,27.68,92.06,4585.24,8,3.63,0.44,2.66,0
South Gloucestershire Council,1510.19,2800.48,440.8,7092.02,1882.1,490.92,6.6,21.5,0,81,10.9,32,445.7,885.42,137.3,0,26.22,1205.5,0
Derbyshire Dales District Council,0,634.97,0,2698.87,0,11.3,0,0,0,0,0,0,19.485,1116.94,0,0,0,0,0
Lewes District Council,608.798,831.31,79.342,324,0,4.999,0,0,0,0,0,0,26.431,0,54.825,0,1.212,0,0
Tendring District Council,492.534,1323.68,0,883.56,0,0,0,0,0,0,0,0,23.312,157.92,0,108.209,0.881,0,0
Forest of Dean District Council,547.66,554.64,99.7,2782.61,0,9.36,0.68,0,0,0,0,8.45,50.28,0,49.8,71.81,2.27,0,0
Rushmoor Borough Council,516.01,8.59,0,593.48,0,2.88,0,0,0,0,0,0,49.23,1152.85,0,0,0,0,0
Bromsgrove District Council,11.21,25.72,0,2310.6,0,5.32,0,0,0,0,0,4.41,11.14,2437.22,0,32.51,0,0,0
Three Rivers District Council,2.63,0,0,3371.01,0,6.34,0,0,0,0,0,0,14.43,2562.93,0,0,0,0,0
Isle of Wight Council,76,9,422,4943,322,108,14,21,0,22,6,0,34,3596,85,3,0,1039,0
West Lancashire Borough Council,23.46,1127.025,2.84,3552.82,0,14.024,0,0,0,0,0,0.689,30.305,1160.7,0,12.261,0.299,0,0
North Yorkshire County Council,223.11,1303.252,1077.191,4270.31,2616.516,813.508,30.209,35.261,0,70.78,16.88,100.176,224.295,6.6,107.28,0,0,389.021,0
Rushcliffe Borough Council,596.67,30.87,0,3707.44,0,0,3.2,0,0,0,0,14,12.41,1857.7,0,0,1.41,0,0
Newcastle-under-Lyme Borough Council,702.596,992.849,158.321,4257.77,0,0,0,0,0,0,0,0,23.123,0,211.29,25.5,0.68,0,0
Epsom and Ewell Borough Council,523.12,483.29,81.27,1693.94,0,5.44,0,0,0,0,0,0,5.57,765.28,2.95,0,0,0,0
West Sussex County Council,0,1412.72,1859.81,9181.67,834.76,1980.37,96.61,71.49,0,333.22,20.21,88.25,404.28,126.08,0,52.24,0,8182.39,0
Rochdale MBC,0,1675.26,0,3468.15,0,0,0,0,0,0,0,7.711,52.589,2071.87,0,0,0,0,0
Rotherham MBC,125.45,1867.132,279.049,7139.01,982.16,327.898,10.683,0,0,59.38,8.421,23.794,142.411,1518.84,161.384,0,1.117,1554.59,0
Birmingham City Council,281.96,7314.64,529.25,11331.02,3904.88,723.23,0,0,0,0,4.1,58.28,251.62,5675.52,33.74,0,1.92,5466.62,0
Sutton LB,3,98.76,155.87,2209.74,722.66,198.2,7.49,4.36,0,20.38,2.3,0,54.62,3963,5.56,0.192,13.22,933.92,0
Cambridge City Council,0,20.73,0,2800.92,0,1.842,1.781,0,0,0,0,23.41,52.54,3015.82,0,0,0,0,0
Redditch Borough Council,5.8,21.4,0,0,0,6.79,0,0,0,0,0,2.99,42.48,2110.53,0,21.34,0,0,0
Lancashire County Council,273.99,1862.467,1876.364,3875.98,5841.84,1278.661,49.466,31.98,0,200.35,36.872,296.57,320.597,368.33,712.17,201.978,146.51,0,1.36
Lincolnshire County Council,91.09,495.49,579.093,5811.86,2491.65,1099.351,13.315,0,354.2,177.6,7.555,23.42,152.472,0,242.87,46.53,155.934,2131.5,0.404
Nottingham City Council,55.51,105.18,122.7,5194.62,673.23,158.62,4.63,0,52.44,41.54,2.63,147.22,39.74,5204.15,90.52,0,0.6,2399.79,0
South Oxfordshire District Council,13.2,11.827,0,4265.48,0,2.42,0.96,0,0,0,0,0,89.527,4455.06,0.818,0,0,0,0
Mendip District Council,800.67,1163.15,115.84,1842.05,0,0,1.53,0,0,0,0,42.425,76.928,0,170.28,9.754,0,0,0
Stoke-on-Trent City Council,18.306,721.307,220.65,5755.74,1101.47,324.619,8.686,0,137.44,74.42,6.66,20.85,58.596,3776.26,1.66,13.08,1.286,999.74,0
Runnymede Borough Council,23.199,8.32,0,1094,0,0,0,0,0,0,0,0,20.64,1683,0,0,0,0,0
Crawley Borough Council,0,0.56,0,563.03,0,17.12,0,0,0,0,0,0,48.15,1878.07,0,0,0,0,0
Trafford MBC,0,2715.87,0,8442.69,0,6.92,0,0,0,0,0,0,9.28,2625.86,0,0,0,0,0
Solihull MBC,1040.763,203.096,159.85,6078.72,650.68,169.905,0.79,0,0,27.76,6.072,44.711,48.985,3120.07,1.54,0,0,1501.54,31.51
Enfield LB,7.96,181.045,127.094,5558.8,0,172.41,3.76,0,0,0,3.08,0,100.841,6303.23,27.58,15.309,0,0,0
Bracknell Forest Borough Council,598.35,151.01,179.43,2272.47,0,197.31,8.7,3.91,150.02,36.54,4.05,40.74,98.16,1748.82,10.5,0,3.63,523.65,26.28
Allerdale Borough Council,240.74,1142.48,11.07,3102.1,0,7.34,0,0,0,0,0,0,0,811.38,0.92,0,0,0,0
Bolsover District Council,21.973,321.66,0,2449.32,0,10.56,0,0,0,0,0,0.9,9.204,1330.46,0,0,0,0,0
Wyre Forest District Council,19.24,15.127,0,545.22,0,4.98,0,0,0,0,0,0,43.23,2538.24,0,0,0,0,0
Hyndburn Borough Council,416.68,638.29,0,853.89,22.67,16.01,0.76,0,0,0,0,0,3.69,280.86,0,19.57,0,0,0
North Kesteven District Council,40.48,0,0,3564.58,0,0,0,0,0,0,0,0,0.887,2873.76,0,0,7.98,0,0
Hambleton District Council,625.99,670.32,94.028,3434.54,0,10.69,0,1.82,0,0,0,0,34.277,0,99.203,0,1.716,0,0
South Somerset District Council,1194.01,1806.02,162.97,2684.6,0,0,1.94,0,0,0,0,80.07,105.043,0,244.22,27.47,0,0,0
Ipswich Borough Council,404.47,120.66,14.48,2941.66,28.72,30.28,0,0,0,2.42,0,0,58.34,2270.21,0,68.99,0,14.46,0
Waverley Borough Council,0,46.28,0,1885,0,4.16,0,0,0,0,0,0,29.82,3401,0,0,0,0,0
North Warwickshire Borough Council,0,367.66,0.02,2204.16,0,9.32,0,2.4,0,0,0,0,0.86,642.54,0,0,0,0,0
Hillingdon LB,111,262,183,5343,304,196,1,22,0,24,5,0,166,6132,13,0,111,417,0
Windsor and Maidenhead Borough Council,0,84.84,146.23,3048.28,0,179.36,11.38,0,73.04,18.68,2.86,21.74,81.564,3956.98,0,0,0,419.86,9.28
Eden District Council,0,604.32,0,1648.64,0,5.09,0,0,0,0,0,0,21.28,575.48,43.62,0,0,0,0
High Peak Borough Council,635.36,0,0,2468.84,0,3.78,0,0,0,0,0,0,13.27,1421.98,0,0,1.49,0,0
Poole Borough Council,0,116.46,222.79,3622.34,787.25,247.5,9.6,2.3,0,23.82,1.14,13.46,52.93,3841.05,0,30.7,0,282.53,0
Eastbourne Borough Council,414.73,1.2,0,1632.608,0,1.86,0,0,0,0,0,0,45.181,1482.52,0,0,0,0,0
Gloucestershire County Council,105.6,717.18,904.261,3130.7,2831.64,719.192,26.727,0,835.94,320.09,23.05,34.072,93.76,0,24.99,0,0.214,1826.34,0
Dartford Borough Council,398.6,23.45,2.31,499.46,0,3.9,0,0,0,0,0,0,24.38,1496.64,0,0,0,0,0
Ribble Valley Borough Council,15.29,468.24,3.24,1234.8,0,4.48,0,0,0,0,0,0,7.162,638.78,0,0,0,0,0
Scarborough Borough Council,0,0,0,2831.24,0,0,0,0,0,0,0,0,0,2786.88,0,0,0,0,0
Waveney District Council,564.5,0,0,4307.94,0,0,0,0,0,0,0,0,20.02,2469.36,0,0,0,0,0
Warwick District Council,782.1,1159.22,131.28,4256.16,0,7.58,0,0.47,0,0,15.42,0,17.53,206.44,266.1,0,0,0,0
Bury MBC,0,2056.5,0,4929.26,0,7.22,0,0,0,0,0,0,5.74,2213.62,0,0,0,0,0
Brent LB,9.03,99.08,65.17,3371.22,12.38,49.56,0,2.44,0,4.34,0.7,8.81,146.59,5896.12,2.03,0,10.6,30.54,0
Merton LB,17.74,134.37,107.11,1999.44,709.37,157.04,3.78,0,0,26.62,4.06,2.96,132.04,3676.04,61.65,0,39.06,837.87,0
East Devon District Council,1151.56,967.276,186.16,1425.857,0,3.24,0,0,0,0,0,396.672,27.617,0,172.7,5.824,0,0,0
