,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
Braintree District Council,827.37,97.61,0.0,2487.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.72900000000004,19.956000000000003,2710.87,0.36,0.0,0.0,0.0,0.0
Essex County Council,351.35,1439.529,1573.248,3439.78,6723.86,1920.946,39.038,91.814,0.0,414.14,60.725,0.0,359.34,0.0,51.243,0.0,22.3,0.0,4.328
Hampshire County Council,696.56,1659.68,2999.67,6740.56,0.0,1383.3700000000001,115.96,0.0,0.0,495.28,34.4,1054.71,329.29,0.0,0.0,0.0,19.4,5810.05,0.0
Thanet District Council,83.98,1256.93,12.4,1086.46,0.0,12.56,0.0,5.44,0.0,0.0,0.0,0.0,17.14,1158.62,0.0,0.0,0.0,0.0,0.0
Burnley Borough Council,15.46,669.49,0.0,268.98,0.0,5.73,0.0,0.0,0.0,0.0,0.0,0.0,4.31,761.64,15.55,0.0,0.0,0.0,0.0
Boston Borough Council,52.85,41.324,0.22499999999999998,207.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.26,25.005,1664.9,2.788,0.0,1.0,0.0,0.0
South Northamptonshire District Council,17.96,24.439999999999998,24.34,1834.3999999999999,0.0,10.95,0.73,0.0,34.16,0.0,1.5,0.0,32.477000000000004,2416.2,0.0,0.0,0.8,64.04,0.0
Tamworth Borough Council,15.911,3.952,0.0,620.49,0.0,12.445,0.0,0.0,0.0,0.0,0.0,99.73,29.089,2026.48,0.0,0.0,0.0,0.0,0.0
Spelthorne Borough Council,0.0,0.97,0.0,811.37,0.0,0.96,0.0,0.0,0.0,0.0,0.0,791.0,42.933,2299.7,0.0,0.3,0.0,0.0,0.0
Horsham District Council,42.82,45.14,0.0,1500.634,0.0,11.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,31.71,3384.35,17.16,0.0,0.0,0.0,0.0
Liverpool City Council,0.0,18.22,0.0,1555.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.395,67.687,7368.94,65.997,0.878,0.0,0.0,0.0
Barking and Dagenham LB,34.4,110.4,117.39999999999999,322.40000000000003,876.8,154.2,3.9,2.6,0.0,0.0,2.5,100.7,31.2,2210.8,0.4,0.0,36.3,72.2,2.0
Royal Borough of Kingston upon Thames ,868.693,1849.057,242.619,1821.62,504.6,176.82500000000002,6.582,0.0,0.0,21.4,1.2,1.0,46.559,0.0,111.127,47.4,590.518,471.96,0.0
