Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Erewash Borough Council,100.0,216.0,Collection,40.0,6608.304575,51370.0,5960.835424,9496.93,2282.512176,3678.323247,12568.75,114510.0
Exeter City Council,366.0,383.0,Collection,40.0,6128.536783,55070.0,2853.162216,7908.821,1997.783216,820.72,8947.04,127308.0
Fareham Borough Council,301.0,8.0,Collection,40.0,6007.1723170000005,48930.0,3336.016682,8754.233,2129.642682,1191.82,9328.635,114799.0
Fenland District Council,189.0,60.0,Collection,40.0,5878.5209700000005,44060.0,5601.014029,9570.583,1751.054029,3849.96,11465.055,99171.0
Forest Heath District Council,232.0,135.0,Collection,40.0,3610.1280070000003,29470.0,2504.292992,6046.126,1552.8273199999999,949.995672,6112.951,63691.0
Forest of Dean District Council,381.0,242.0,Collection,40.0,3723.16,37690.0,5045.93,7139.57,1687.85,3272.0,8681.2,84544.0
Fylde Borough Council,62.0,204.0,Collection,40.0,3903.5,37670.0,4918.157999999999,7357.883000000001,2234.552,2679.44,8816.612,77322.0
Gedling Borough Council,136.0,227.0,Collection,40.0,7142.677659,52090.0,4567.51034,10156.407,2589.395691,1978.114648,11710.188,115889.0
Gloucester City Council,380.0,308.0,Collection,40.0,6962.82,56120.0,4925.32,10372.09,1875.77,2935.52,11774.04,127158.0
Gosport Borough Council,300.0,149.0,Collection,40.0,4960.84,36820.0,1317.47,6115.5,1206.31,111.16,6278.31,84672.0
Gravesham Borough Council,315.0,168.0,Collection,40.0,5423.06,42530.0,2972.19,8011.92,1578.83,1393.36,8395.25,106299.0
Great Yarmouth Borough Council,223.0,312.0,Collection,40.0,6268.155076,47430.0,3335.900923,8506.552,2233.045095,1101.795827,9602.996,98667.0
Guildford Borough Council,336.0,393.0,Collection,40.0,4899.575614,57460.0,7981.134384999999,12369.468,3831.1988450000003,4149.9355399999995,12880.71,146080.0
Hackney LB,247.0,318.0,Collection,40.0,16399.501719,111120.0,5721.94828,21007.776,4036.85828,1593.2,22029.56,269009.0
Hambleton District Council,84.0,279.0,Collection,40.0,4451.00548,40620.0,5741.5375189999995,8047.531999999999,1974.1645190000002,3760.84,10186.01,90035.0
Hammersmith and Fulham LB,270.0,139.0,Collection,40.0,9743.849859,86460.0,2841.89014,13110.98,2617.05014,217.0,12577.9,179410.0
Harborough District Council,112.0,100.0,Collection,40.0,4066.8790000000004,37960.0,5225.509,8250.366,2551.953,2660.261,9275.851999999999,89284.0
Haringey LB,246.0,395.0,Collection,40.0,14228.458375999999,107320.0,7773.3516230000005,20742.49,5143.571623,2479.37,21851.4,272864.0
