Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Halton Borough Council,29,61,Unitary,40,8542.479443,55810,6708.930556,15251.41,4392.286742,2316.643814,15251.41,126528
Hartlepool Borough Council,4,124,Unitary,40,6924.23,43290,4508.56,11432.79,2457.02,2051.54,11432.79,92493
Herefordshire Council,148,348,Unitary,40,11733.918128,83730,9025.762870999999,20759.681,6239.103871,2739.12,20683.276,188099
Isle of Wight Council,306,246,Unitary,40,9992.317112,70330,7888.900887000001,17881.218,4140.606887,3736.36,17868.654,139395
Kingston-upon-Hull City Council,75,326,Unitary,40,14272.941208000002,119000,15179.188791,29452.13,8257.105856999999,6898.3899329999995,29411.61,258995
Kirklees MBC,92,162,Unitary,40,30826.501756999998,183610,14670.348241999998,45496.85,8589.702960999999,6015.890281,45393.415,434321
Leeds City Council MBC,91,231,Unitary,40,48641.233152999994,346490,35723.996845999995,84365.23,16217.255809999999,18911.970035,83964.71,774060
Leicester City Council,107,311,Unitary,40,20086.399478,133620,12403.600520999998,32490.0,6371.72176,5965.8787600000005,32415.0,342627
Lewisham LB,253,58,Unitary,40,21346.116299,124160,4389.4007,25735.517000000003,3874.718372,467.6463269999999,25691.281000000003,297325
Luton Borough Council,181,1,Unitary,40,14468.092733000001,79560,8748.607265999999,23216.7,4942.005485000001,3465.9417799999997,22876.04,214710
Medway Borough Council,313,10,Unitary,40,18578.242409,113650,16574.48759,35152.73,7844.13759,8704.3,35107.44,276492
Merton LB,256,302,Unitary,40,12583.745374,83510,7130.194625,19713.94,5011.760504,2118.4341210000002,19713.94,204565
Middlesbrough Borough Council,3,342,Unitary,40,10039.511999999999,62510,6535.828,16575.34,3326.763,3203.638,16569.913,139509
Milton Keynes Council,279,22,Unitary,40,17025.975943999998,108470,18238.594055,35264.57,8586.114055,9462.58,35067.29,261762
Newcastle-upon-Tyne City Council MBC,24,211,Unitary,40,18957.6892,128030,12105.420799,31063.11,6642.200799,5420.34,31022.0,292883
North East Lincolnshire Council,76,32,Unitary,40,13698.971866,72690,6491.932133,20190.904,2851.8421329999996,3640.09,20190.904,159570
North Lincolnshire Council,77,387,Unitary,40,11950.33682,74680,12720.373179,24670.71,5798.616107,6860.340072,24605.52,169820
North Somerset Council,385,59,Unitary,40,11634.16,94630,16958.75,28592.91,8360.89,8397.5,28384.97,209944
North Tyneside Council,23,356,Unitary,40,16306.260003,96260,9757.079995999999,26063.34,4711.636942,5008.053054,26025.97,202494
Northumberland,702,525,Unitary,40,23401.433317,150000,16105.366682,39506.8,8644.728878,7127.5378040000005,39173.6,315263
Nottingham City Council,133,262,Unitary,40,18939.750462,135000,10757.429537,29697.18,4766.9976240000005,5990.431913,29694.88,318901
Peterborough City Council,187,145,Unitary,40,12206.905247,82260,10533.724752,22740.63,5654.556137,4395.128615,22253.15,193980
Plymouth City Council,363,217,Unitary,40,18251.854847,118000,9654.595152,27906.45,6671.825152,2906.69,27798.66,262712
Poole Borough Council,369,290,Unitary,40,9481.012863,67990,9282.657136,18763.67,5415.923556000001,3779.9835799999996,18668.23,150577
Portsmouth City Council,293,166,Unitary,40,15474.941622,90020,5202.1083770000005,20677.05,3342.501147,1732.46723,20549.91,211758
Reading Borough Council,275,75,Unitary,40,11995.352771,69540,6504.567228,18499.92,3532.443353,2660.553875,18182.59,161739
Redcar and Cleveland Borough Council,2,322,Unitary,40,8230.345,63340,7333.099,15563.444,3633.8990000000003,3699.2,15558.624,135275
Rotherham MBC,88,254,Unitary,40,17619.801656,116000,15907.318343,33527.12,6827.5665260000005,9073.265816,33517.317,260786
Royal Borough of Kingston upon Thames ,257,414,Unitary,40,8724.365,66290,7903.155,16627.52,4542.876,2967.69,16231.374,173525
Rutland County Council,106,328,Unitary,40,2010.017279,16820,3815.09272,5825.11,1574.750752,2227.681968,5815.31,38046
Sandwell MBC,177,119,Unitary,40,19215.275493,131060,15055.854506,34271.13,8164.586219,6836.208286,34207.27,319455
Sheffield City Council,87,316,Unitary,40,35537.0,243430,15594.0,51131.0,11568.4,3898.9,50994.6,569737
Shropshire,705,522,Unitary,40,17662.362096,138470,27276.337902999996,44938.7,12408.125903,14771.681999999999,44819.7,311380
Slough Borough Council,274,143,Unitary,40,11059.580475,52520,4407.006524,15466.587,2539.183377,1867.8231460000002,15466.587,145734
Solihull MBC,176,269,Unitary,40,13233.945,90440,12590.61,25824.555,5198.835999999999,7356.78,25789.561,210445
South Gloucestershire Council,392,235,Unitary,40,16769.89,114360,16362.92,33132.81,7324.18,9002.96,33082.45,274661
South Tyneside MBC,22,17,Unitary,40,10825.7551,70950,7699.154898999999,18524.91,4345.9133090000005,3327.2415899999996,18497.05,148671
Southampton City Council,292,385,Unitary,40,17909.101212,105070,7437.178787000001,25346.28,4829.3287869999995,2452.11,25176.26,249537
Southend-on-Sea Borough Council,194,63,Unitary,40,10962.14,79890,10698.733,21660.873,6493.8730000000005,4204.86,21660.873,178702
Southwark LB,252,20,Unitary,40,19318.841438,134410,11092.648561,30411.49,8234.795633,2791.115928,30344.752999999997,308901
Stockton-on-Tees Borough Council,1,125,Unitary,40,15996.78,84990,6552.48,22549.26,3348.93,3167.79,22513.5,194803
Stoke-on-Trent City Council,158,265,Unitary,40,16559.021228999998,114700,11491.93577,28050.957000000002,5279.674787,6161.040983,27999.737,251648
Sunderland City Council,21,161,Unitary,40,22836.220274,127180,9424.409725,32260.63,5500.21563,3771.98,32107.78,277150
Sutton LB,255,256,Unitary,40,12446.35,81620,8393.31,20839.66,5037.67,3248.26,20732.28,200145
Swindon Borough Council,393,377,Unitary,40,14668.99,93820,10259.67,24928.66,7145.4,3109.04,24873.65,217160
Telford and Wrekin Council,151,52,Unitary,40,11811.148000000001,73290,11145.322,22956.47,5419.331999999999,5617.26,22824.28,171159
Thurrock Council,193,200,Unitary,40,12188.595273,66150,9008.049726000001,21196.645,4265.792,4635.287,20865.305,165184
Torbay Council,360,367,Unitary,40,9062.07989,66350,6774.140109,15836.22,4067.7901090000005,2689.15,15818.99,133373
Tower Hamlets LB,236,93,Unitary,40,13575.986718,122330,5397.603281000001,18973.59,4908.383281,376.07,18860.44,295236
Wakefield City MDC,93,378,Unitary,40,21518.779525,151620,20579.230474,42098.01,10247.151408,10226.709066,41984.92,333759
Walsall MBC,175,336,Unitary,40,17299.793055000002,113930,15649.938944,32949.732,7138.828944,8464.29,32899.012,276095
Warrington Borough Council,26,196,Unitary,40,10657.141631,91770,14429.751368000001,25086.892999999996,6315.949432,7932.035934999999,24922.722999999998,207695
West Berkshire District Council,276,340,Unitary,40,10472.713758,67100,13537.436241,24010.15,5971.64674,7502.8795,23939.41,156020
Westminster City Council,238,380,Unitary,40,19070.789234,124400,3950.8507649999997,23021.64,3854.280765,0.16,22925.23,242299
Wigan MBC,42,334,Unitary,40,19934.728399,142300,17729.1016,37663.83,9883.303421999999,7806.318176999999,37608.21,322022
Wiltshire,709,518,Unitary,40,30078.072013999998,212420,27635.007985000004,57713.08,13734.622166,13377.115819,57172.68,486093
Windsor and Maidenhead Borough Council,273,287,Unitary,40,9517.49,63300,9298.68,18816.17,5138.94,4122.85,18775.22,147708
Wokingham Council,272,363,Unitary,40,12213.144186,64780,8757.695813,20970.84,4136.198604,4106.8072090000005,20446.53,160409
Wolverhampton MBC,174,72,Unitary,40,16310.980783,108180,15487.549216,31798.53,6173.622263,9313.926952,31797.55,254406
York City Council,78,50,Unitary,40,12333.656611,87510,11535.146388,23868.803,5114.558388,6187.922,23631.842999999997,206856
