Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Co-mingled,Textiles,Furniture,Composite,Plastic,Rubble,Paint
Suffolk County Council,549.02,793.79,1315.069,1752.63,3163.355,1559.09,43.355,0,0,129.28,22.45,36.464,0,238.44,21.194,2.393,423.06,1970.72,0
Wigan MBC,15.87,2179.3,353.49,3116.52,1347.08,400.83,15.42,18.03,0,67.34,3.04,82.91,5522.05,328.28,0,43.5,129.86,1203.96,49.6
Knowsley MBC,11.24,5.81,1.75,580.8,0,9.92,0,0,0,0,0,0,3225.12,21.6,0,0,0,0,0
Walsall MBC,0,155.16,199.05,512.8,894.08,234.79,3.46,4.78,0,0,3.69,0,5949,41.18,0,0,0,506.14,0
Islington LB,0,77.085,81.86,889.46,300.86,140.56,3.62,0,0,28.92,0.34,0,3587.1,96.486,43.212,0.3,15.02,284.56,0
West Berkshire District Council,1185.05,2427.12,261.07,2891.23,770.08,440.17,22.62,9.1,0,67.25,4.3,8.79,357.77,89.85,11.88,1.58,33.26,600.66,22.56
South Cambridgeshire District Council,0,880.7,0,3092.46,0,0.3,2.64,0,0,0,0,8.488,3380.64,7.885,0,0,2.56,0,0
Middlesbrough Borough Council,28.634,82.203,92.304,139.437,314.532,132.723,0,6.876,75.852,17.514,1.197,0,2531.441,9.931,0,12.447,6.786,535.049,0
Barrow-in-Furness Borough Council,0,199.66,0,373.42,0,0,0,0,0,0,0,0,1123.84,0,0,0,0,0,0
Torridge District Council,415.76,25.797,0,952.798,0,0,0,0,0,0,0,80.2,935.45,9.2,0,0,1.42,0,0
Chelmsford Borough Council,1031.7,1601.62,183.7,2804.64,0,0,0,0,0,0,0,0,0,0,0,0,284.1,0,0
Eastleigh Borough Council,885.24,0.22,0,1150.95,0,2.82,0,0,0,0,0,0,2066.88,85.92,0,0,0,0,0
Herefordshire Council,38.46,229.34,578.75,987.06,764.58,145.318,9.48,19.7,0,70.3,4.12,0.44,4855.14,30.21,35.24,0.03,8.08,1143.46,0
Broxbourne Borough Council,483.91,887.14,0,1092.02,0,7.14,0,0,0,0,0,0,398.34,22.4,0,0,0,0,0
Kent County Council,355.71,1853.7,2688.01,3433.16,6603.86,1663.15,70.83,16.9,0,427.24,33.25,7.26,0,361.57,0,0.08,0,6030.51,0
Ashfield District Council,691.75,3.4,0,132.72,0,20.547,0,0,0,0,0,0,2063.74,7.35,0,0,0,0,0
Mid Suffolk District Council,1149.27,113.53,0,1391.04,0,0,0,0,0,2.32,0,3.84,3643.5,23.877,0,0,0,10,0
Nuneaton and Bedworth Borough Council,33.205,1093.624,19.39,1475.62,0,10.13,0,0,0,0,0,0,1270.52,11.589,0,0,0,0,0
Wirral MBC,24.815,3,0.66,1663.94,0,32.18,0,0,0,0,0,0,7297.9,64.934,0,1.2,0,0,0
North Tyneside Council,1210.63,185.46,180.95,1008.77,956.66,209.64,6.18,7.37,0,60.4,0,1.18,2651.96,52.69,30.1,0,23.86,851.44,0
Bradford City MDC (MBC),146,2898.4,320,2015,1432,526.6,8.7,15,0,130,6.6,0,2521.4,412.2,75,80,0,826,14
Western Riverside Waste Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.38,0
West London Waste Authority,0,10.58,0,64.84,0,0,0,0,0,0,0,0,0,0,0,21.24,0,0,0
Redbridge LB,10.68,127.31,121.89,862,487,204.16,5.24,3.88,0,14,3.02,66,3218.9,46.25,1.68,0,68,187,0.84
Wokingham Council,1191.9,252.68,317.09,1355.33,0,395.99,16.3,5.73,149.9,102.88,5.54,5.98,2464.46,167.96,0,4.19,26.05,793.84,49.69
South Lakeland District Council,180.22,372.22,15.28,1583.18,0,0,0,0,0,0,0,0,1527.02,0,0,0,85.98,0,0
Torbay Council,971.7,1480.63,321.96,1657.51,630.46,254.17,7.38,4.94,0,0,6.5,0,529.4,32.1,0,0,228.94,180.2,0.26
Maldon District Council,395.18,707.31,1.14,834.38,0,0,0,0,0,0,0,0,199.86,21.092,0,0.485,0,0,0
Havant Borough Council,473.78,0,4.12,283.44,0,5.64,0,0,0,0,0,0,2082.48,65.404,0,0,20.39,0,0
North Hertfordshire District Council,0,1008.59,0,2446.72,0,2.8,0,0,0,0,0,0,2474.38,4.95,0,0,0,0,0
Dover District Council,0,1199.52,0,999.8,0,5.59,0,0,0,0,0,0,1402.83,16.011,0,0,0,0,0
Charnwood Borough Council,67.7,41.504,1.208,1347.72,0,63.647,1.94,0,0,0,0,3.877,4470.74,72.218,45.989,0,0.093,0,0
Norfolk County Council,214.04,719.34,994.529,2647,486.18,1709.499,52.164,8.69,0,137.66,24.26,235.432,0,184.861,0,1.288,127.02,1305.28,0
Mansfield District Council,214.718,6.8,0,584.38,10.48,0,0,0,0,0,0,13.26,2084.59,9.246,0,0,0,0,0
Cannock Chase Council,2.78,3.7,0,985.32,0,1.8,0,0,0,0,0,0,2771.16,20.94,0,0,0,0,0
Swindon Borough Council,927.2,2168.41,646.38,1162.16,1144.56,304.7,12.38,0,15.32,93.73,0,0,0,38.38,39.86,0,469.45,1463.68,0
Wakefield City MDC,146.71,337.92,330.64,2108.5,1294.82,454.4,12,27.02,0,99.42,7.03,15.24,7084.12,400.07,0,6.17,131.28,140.3,24
Camden LB,0,79.908,58.12,798.51,267.08,124.7,3.02,0,0,31.35,0.5,181.12,4195.52,152.03,8.19,0.15,6.38,244.98,0.68
Westminster City Council,1213.89,578.44,0,646.62,0,134.9,0.44,0,0,0,0,0,5230.73,88.82,0,0,0,0,0
Exeter City Council,547.34,97.33,0,313.02,1.1,2.88,0,0,0,0,0,95.38,2088.531,13.78,30.825,1.77,0,0,0
Southampton City Council,1118.11,171.63,416.1,950.68,0,155.48,15.4,0,249.07,84.23,3.7,126.74,2881.6,91.23,0,0,18.14,462.56,0
Watford Borough Council,0,0,0,792.25,0,10.787,0,0,0,0,0,0,2069.6,2.82,0,0,0,0,0
North Lincolnshire Council,915.88,1176.564,500.258,1990.15,807.36,363.01,16.13,8.332,0,22.18,7.6,122.197,1067.742,252.321,34.819,40.119,92.637,670.78,0
Melton Borough Council,0,3.411,0.01,437.12,0,9.132,0,0,0,0,0,4.271,1588.739,28.995,10.494,0,0.01,0,0
North Norfolk District Council,426.17,152.52,0,1085.13,0,3,0,2.86,0,0,0,0,2612.46,191.327,52.45,0,1.44,0,0
Ryedale District Council,441.41,543.92,109.08,525.5,0,10.23,0,0,0,0,0,0,0,21.86,0,0.82,73.12,0,0
Daventry District Council,532.94,819.07,101.59,1633.67,0,0,0,0,0,0,0,24.96,0,0.31,4.92,0,140.29,0,0
Stafford Borough Council,0,656.48,1.62,1632.52,0,0,0,0,0,0,0,0,2844.06,0.27,0,0,0,0,0
Guildford Borough Council,72.878,332.083,1.657,2348.46,0,24.583,5.148,0,0,0,0,0,4162.95,133.905,145.783,0,4.349,0,0
Adur District Council,0,53.54,0,209.74,0,3.304,0,0,0,0,0,0,1363.18,14.95,0,0,0,0,0
Haringey LB,1.82,106.88,98.63,1492.08,504.36,136.42,0.4,1.08,0,46.75,0.95,0.66,4705.24,109.04,55.91,0,6.69,439.46,2.48
Bristol City Council,2730.66,4836.48,793.1,4399.5,1565.88,363.37,10.54,14.2,0,71.32,7.5,72.98,0,243.45,17.95,0,1456.2,1197.66,0
Council of the Isles of Scilly,19.96,0,9.97,9.37,0,3.83,0,0.1,0,0,0,0,0,1.045,0,0,0,0,0
Teignbridge District Council,1487.338,1575.401,134.813,2829.3,12.62,8.373,0,0,0,0,0,0,0,47.559,28.175,2.022,524.555,0,0
Braintree District Council,930.34,83.36,0,2575.76,0,0,0,0,0,0,0,160.2,2693.85,30.82,0.409,0,0,0,0
Essex County Council,313.22,1651.832,2188.752,3153.24,7209.831,2418.34,62.538,72.914,0,430.942,68.342,0,0,427.9,242.497,0.284,16.664,0,45.671
Hampshire County Council,698.33,1860.7,3674.73,6333.75,0,1358.32,124.73,0,1956.57,502.4,38.05,1095.31,0,306.06,0,0,57.5,3643.85,0
Thanet District Council,50.492,1319.96,13.82,1063.76,0,12.87,0,0,0,0,0,0,1251.7,18.176,0,0,0,0,0
Burnley Borough Council,18.8,658.02,0,249.3,0,5.4,0,0,0,0,0,10.3,763.02,6.23,17,0,0,0,0
Boston Borough Council,43.39,20.56,0.36,388.88,0,4.393,0,0,0,0,0,0,1534.66,30.8,4.079,0,0.02,0,0
South Northamptonshire District Council,16,23.78,13.49,2072.82,0,15.19,2.13,0,39.36,0,0,0,2594.8,37.712,0,0,0,83.62,0
Tamworth Borough Council,17.465,5.594,0,728.39,0,0,0,0,0,0,0,0,2233.85,33.49,0,0,0,0,0
Spelthorne Borough Council,0,1.48,0,937.42,0,7.69,0,0,0,0,0,0,2344.3,33.67,2.237,0.72,0,0,0
Horsham District Council,36.8,43.72,0,1688.607,0,11.98,0,0,0,0,0,0,3282.33,29.14,22.7,0,0,0,0
Liverpool City Council,0,1.56,0,1363.3,0,0,0,0,0,0,0,693.36,7463.08,48.93,63.11,0.702,0,0,0
Barking and Dagenham LB,71.3,62.94,158.82,473.02,716.1,168.36,6.77,9.44,0,0,1.43,0,2419.8,33.1,0.16,0,39.29,393.51,0.57
Royal Borough of Kingston upon Thames ,468.813,1932.482,197.53,1736.12,579.28,200.519,5.92,0,0,15.86,3.7,0.43,652.47,57.536,287.693,0,352.78,516.2,0
Wiltshire,3373.17,3454.97,1548.28,4758,316.46,1067.27,46.9,40.37,180.69,290.35,12.21,0,3812.95,229.93,40.65,6,323.6,513.99,32.21
Cornwall,511.13,1246.26,1642.762,4291.411,2920.4,888.731,26.952,9.148,0,126.742,4.008,0,8259.88,117.25,283.99,0,47.09,558.572,2.271
Bedford,535.49,157.54,152.49,1430.74,0,247.4,9.69,5.98,0,12.16,4.51,54.18,2993.18,74.85,0,0,6.32,165.06,46.2
Central Bedfordshire,1354.36,238.66,330.48,3160.88,0,305.37,4.26,24.19,0,52.18,8.95,16.1,5282.8,91.07,0,0,11.95,667.1,116.32
Shropshire,700.15,2552.49,392.89,5560.45,1075.34,579.5,16.62,16.26,0,103.74,7.58,39.03,2360.04,288.88,0,8.82,52.05,376.82,0
Cheshire East,123.69,539.71,514.95,4834.18,1608.62,614.46,17.3,0,0,0,3.51,287.2,10226.78,175.55,28.57,0,21.3,2055.53,0
Cheshire West and Chester,2562.89,4117.099,1356.306,6970.502,1676.8,603.305,15.655,0.9,0,0,11.994,148.98,151.96,203.901,78.385,0,929.03,2044.7,9.876
Northumberland,1406.5,387.1,515.1,1915.5,1210.9,512.8,14.3,24.1,0,45.4,14.3,44.5,5104.7,329.2,0,2.5,135.4,380.5,0
County Durham,2816.9,521.03,661.01,2633.16,2082.67,653.05,12.36,34.73,0,254.6,11.47,145.49,10058.78,462.12,0,12.74,204.04,2077.92,0
Dorset Waste Partnership,4177.72,1039.59,1410.49,10269.27,2680,811.42,41.52,21.05,0,265.14,26.72,380.49,6351.69,293.22,88.79,1.67,111.68,1126.18,15.37
