Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Co-mingled,Textiles,Furniture,Composite,Plastic,Rubble,Paint
Reading Borough Council,657.47,116.33,169.77,929.34,0,206.47,7.78,2.24,74.5,63.91,2.3,4,2571.61,104.51,0,2.05,13.16,404.12,26.4
Carlisle City Council,601.79,1193.13,171.88,972.22,0,0,0,0,0,0,0,0,0,3.08,0,2,264.86,0,0
Derby City Council,11.86,221.4,239.36,704.9,885.34,357.03,9.79,6.33,0,93.82,6.63,151.8,4977.84,58.78,0,0,60.51,24.01,1.87
East Sussex County Council,121.58,649.74,810.07,1323.66,811.52,1069.16,40.12,16.67,437.96,142.04,11.24,86.02,0,70.82,0,0,34.29,1221,10.44
Worcestershire County Council,68.18,779,1245.368,2343.22,2836.78,546.026,29.358,0,0,368,14.054,0,7.2,137.77,10.643,0.105,0,3331.46,0
East Riding of Yorkshire Council,175.7,538.72,568.35,6981.44,1899.99,754.73,21.58,38.52,0,170.4,10.03,84.36,9346.05,114.14,0,0.63,6.18,2427.23,0
Ashford Borough Council,0,0,0,1871.58,0,0,0,0,0,0,0,0,3254.6,0,0,0,0,0,0
Pendle Borough Council,30.07,798.65,0.14,329.54,0,56.25,0,0.46,0,1.7,0,0,1071.14,21.42,60.25,6.14,0.29,0,0
South Kesteven District Council,0,0.6,0,1023.86,0,0,0,0,0,0,0,0,4381.68,0,0,0,0,0,0
Richmondshire District Council,308.933,243.04,191.078,285.89,0,2.42,0,0,0,0,0,92.13,0,0.413,0,2.048,204.358,0,0
Harrogate Borough Council,381.017,198.165,7.499,680.58,0,13.46,0,0,0,0,0,30.045,2601.88,393.595,94.301,1.401,12.435,0,0
St Edmundsbury Borough Council,518.577,126.833,22.16,1911.16,4,43.131,1.614,2,0,0,0,18.5,2157.63,51.71,0,0,0.63,0,0
Rugby Borough Council,0,0,0,1805.06,0,0,0,0,0,0,0,0,2512.44,3.27,0,0,0,0,0
Greater Manchester WDA (MBC),0,1913.26,2532.89,2573.81,6583.14,3066.59,60.71,85.89,0,654.98,26.84,0,243.76,519.95,12.08,0,96.71,9387.24,0
Greenwich LB,0,6.96,96.54,2519.94,750.08,89.07,3.38,6.53,0,30.7,2.2,0,5089.11,149.27,6.81,26.76,2.2,22.42,0
Tower Hamlets LB,0,10.6,32.78,239.44,153.76,78.26,1.5,0,0,0,0.48,0,2900.57,149.03,0,0,2.18,41.38,0
Bath and North East Somerset Council,1210.29,2439.81,511.29,2654.023,1049.58,308.72,14.69,11.08,0,96.8,6.92,18.28,0,92.69,5.83,0,348.72,947.18,0
South Derbyshire District Council,38.37,0,3.77,1747.86,0,6.22,0,0,0,0,0,0,1875.2,31.49,9.75,0.89,8.79,0,0
Cotswold District Council,770.83,1075.94,167.12,2123.26,0,11,0,0,0,0,0,25.49,0,73.88,42.63,1.38,163.6,0,0
South Ribble Borough Council,2.46,1043.83,0,1421.82,0,10.62,0,0,0,0,0,16.68,1623.9,7.15,21.04,2,0,0,0
Harborough District Council,0,370.049,0.033,1392.86,0,3.36,0,0,0,0,0,1.217,2099.476,81.651,1.911,0,0,0,0
Breckland Council,222.481,161.292,1.817,920.91,0,7.26,0,3.5,0,0.26,0,0.02,3053.74,189.889,61.381,0,3.43,0,0
Oldham MBC,0,1968.64,0,2062.68,0,0,0,0,0,0,0,0,2282.92,0,0,0,0,0,0
Doncaster MBC,75.52,437.616,389.569,2711.35,1090.78,476.713,15.149,5.26,0,68.54,7.6,6.144,4850.88,140.746,26.67,0,107.15,1487.76,0
Hounslow LB,958.6,1885.11,622.26,1741.82,909.84,159.02,10.24,0,0,13.2,7.31,0,2,200.17,64.6,110.59,554.07,150.06,0
Cambridgeshire County Council,101.44,672.6,1111.06,1341.67,2852.09,1062.41,40.7,0,816.42,207.72,19.06,0,0,137.55,89.42,0,226.87,2299.28,8.94
North Devon District Council,921.202,976.316,85.165,1603.134,0,0,0,0,0,0,0,396.94,38.96,7.314,31.319,0.168,184.871,0,0
Tewkesbury Borough Council,0,11.14,0.14,1484.74,0,7.05,0.2,0,0,0,0,31.63,2312.55,74.73,54.7,0,0,0,0
Sevenoaks District Council,463.39,134,0,632.3,0,12.78,0,0,0,0,0,0,1611.78,47.299,0,0,0,0,0
North West Leicestershire District Council,654.9,902.085,112.015,1182.98,0,15.111,0,0,0,0,0,1.802,0,43.677,15.953,1.126,236.27,0,0
Norwich City Council,93.85,57.34,12.54,1062.37,0,10.92,0,1.12,0,0,0,0,3172.68,241.46,89.07,0,3.02,0,0
East Northamptonshire Council,0,0,0,862.78,0,0,0,0,0,0,0,0,2457.98,0,0,0,0,0,0
Oxford City Council,6.52,23.48,18.56,1762.15,0,37.6,1.13,0,0,0,0,19.2,4240.67,118.99,0,0,9.4,0,0
Somerset County Council,173.01,1181.3,1293.77,3592.76,1468.39,1216.29,30.59,0,0,261.84,14.75,130.89,0,258.8,0,6.59,25.56,0,0
Tameside MBC,0,2158.32,0,2831.28,0,6.72,0,0,0,0,0,0,3171.12,12.11,0,0,0,0,0
Sandwell MBC,32.53,154,260.89,2579.25,963.79,139.88,11.28,0,250.44,54.64,5.11,7.24,7180.57,118.66,0,17.17,1.06,253.71,0
Bromley LB,168.62,3831.85,258.48,4307.71,969.22,267.16,0,0,0,27.4,3.68,155.74,3179.27,73.76,0,0,5.2,0,0
Newham LB,132.29,118.16,133.81,196.38,627.91,154.22,7.22,33.7,0,36.5,1.41,0,3003.76,27.2,0.08,0,18.97,195.4,1.71
Huntingdonshire District Council,0,2.06,0,2867.56,0,0.36,0,0,0,0,0,0.697,4689.034,72.44,0,0,0.28,0,0
Hartlepool Borough Council,489.85,53.58,78.6,423.68,328.67,100.51,0.9,1.16,60.68,0,0,102.17,1472.3,10.86,0,20.8,35.65,260.24,0
Stockton-on-Tees Borough Council,703.2,1262.61,256.26,355.88,321.05,162.53,0,8.2,0,0,1.46,0,0,12.03,0,27.26,246.46,2818.22,0
Cumbria County Council,30.84,569.616,721.892,650.92,2127.12,922.183,23.355,33.759,0,362.84,13.1,0,0,178.325,0,0,34.8,3256.98,41.69
Mid Devon District Council,608.98,874.68,122.359,1257.86,0,6.591,0,0,0,0,0,262.34,37.98,16.486,36.7,0,135.92,0,0
Brentwood Borough Council,490.871,0,2.49,691.42,0,7.196,0,0,0,0,0,0,1525.5,22.737,31.818,0,0,0,0
Basingstoke and Deane Borough Council,1130.77,45.54,0.73,164.3,0,54.426,0,0,0,0,0,1.645,2403.75,126.518,47.886,7.25,2.16,0,0
Wychavon District Council,58.43,25.56,2.11,688.24,0,8.09,0,0,0,0,0,7.34,3583.24,41.22,25.57,0,0,0,0
Tonbridge and Malling Borough Council,558.24,749.43,78.08,2441.6,0,69.37,0,0,0,0,0,0,0,36.75,0,0,85.73,0,0
Wellingborough Borough Council,32.788,11.24,24,524.08,43.7,24.8,0,0,0,5.4,0.49,0,1748.04,48.03,0,0,4.3,79.5,0.72
West Somerset District Council,293.626,530.915,37.349,424.58,0,0,0.86,0,0,0,0,16.434,0,8.922,7.832,0,47.67,0,0
Forest Heath District Council,204.56,26.81,0,948.101,0,0,0,0,0,0,0,0,1156.12,14.69,0,0,0,0,0
Warwickshire County Council,95.74,860.52,854.16,810.04,2254.02,648.63,41.82,0,111.8,122.27,13.74,0,0,630.68,30,16.01,40.23,0,1.88
St Helens MBC,990.9,1644.2,287.4,1833.7,0,18.92,0,0,0,0,0,65.8,0,64.74,0,0,279.3,537,0
Gateshead MBC,62.79,990.7,268.48,427.82,199.31,253.63,0.58,13.07,0,81.2,0.58,66.64,3349.98,274.11,0,0,2.82,447.58,0
Hammersmith and Fulham LB,0,33.02,31.78,149.34,0,88.04,2.3,0.25,0,0,0.17,0,2810.33,74.31,31.44,0.11,1.38,0,0
Wandsworth LB,0,77.99,49.86,352.96,0,113.02,2.28,0.22,0,0,0.29,0,4998.66,91.92,6.83,0.18,0,0,0
Slough Borough Council,0,31.02,135.25,491.52,194.96,62.383,1.18,0,0,19.56,0,0,2083.54,87.542,0,70.25,3.54,47.14,11.662
Aylesbury Vale District Council,0,0,0,2390.24,0,0,0,0.52,0,0,0,0,4772.78,62.9,0,0,0.78,0,0
Peterborough City Council,28.1,104.4,180.69,1960.96,528.44,142.69,7.81,0,173.56,54.94,5.49,221.4,4474.68,51.11,0,0,0,363.65,0
Copeland Borough Council,369.96,488.58,69.92,431.08,0,6.402,0,0,0,0,0,0,0,5.2,0,0,61.94,0,0
Devon County Council,238.084,1531.8,1350.578,3605.715,4513.308,2283.941,40.424,8.411,0,177.86,19.422,404.433,0,732.625,0,285.742,312.281,704.055,0
Epping Forest Borough Council,692.659,19.46,0,2504.74,0,17.568,0.965,0,0,0,0,0,3007.513,17.236,3.826,0,0,0,0
Gosport Borough Council,244.93,37.17,0,29.64,0,3.32,0,0,0,0,0,0,1107.9,65.11,0,0,0,0,0
Malvern Hills District Council,129.07,9.52,1.04,269.66,0,1.89,0,0,0,0,0,1.64,1776.86,19.39,0,0,0,0,0
East Hertfordshire District Council,0,858.85,0,2122.34,0,9.585,0,0,0,0,0,0,2469.66,14.411,0,0,0,0,0
Canterbury City Council,0,1133.54,38.48,1888,0,4.3,0,0,0,0,0,0,2032.34,11.54,0,0,0,0,0
Blackpool Borough Council,79.86,1352.41,121.409,951.94,475.099,220.789,4.3,0,50.58,26.96,0,26.639,1579.04,29.564,4.926,0.167,28,122.74,2.5
Leicestershire County Council,92.28,850.692,1045.456,1792.57,0,1033.283,25.005,0,0,346.66,23.67,63.784,0,188.125,37.534,0,346.408,0,0
Blaby District Council,56.915,122.338,9.524,577.21,0,12.003,0.91,0,0,0,0,10.486,2474.672,83.073,14.688,0,5.119,0,0.801
Broxtowe Borough Council,569.201,3.47,0,675.62,0,0,0,0,0,0,0,0,1876.14,10.776,0,0.399,0,0,0
Suffolk Coastal District Council,787.27,33.07,157.23,2713.12,41.75,0.9,6.28,7.42,0,1.04,0,0,2591.54,66.96,0,0,0,0,0
Stratford-on-Avon District Council,0,0,0,2593.35,0,3.54,0.014,0,0,0,0,1.6,3531.72,2.996,0,0,0,0,0
Sunderland City Council,0,1109.64,130.07,372.75,0,162.45,0.03,7.41,0,53.32,0.2,70.65,4007,257.5,0,0,0,638.28,0
Kirklees MBC,1388.48,375.94,280.78,1847.43,1325.74,327.67,10,24.42,0,170.66,6.08,13.17,6406.05,49.24,0,1.13,23.74,2410.55,14.17
Wycombe District Council,28.98,3171.81,0,4127.52,0,19.99,0.88,8.96,0,0,0,8.96,3276.88,32.62,0,0,0,0,0
Portsmouth City Council,523.02,153.32,272.53,525.6,0,128.57,6.44,0,217.21,46.42,3.77,92.92,2273,107.3,0,0,2.37,403.38,0
Stevenage Borough Council,522.1,938.92,0,813,0,10.315,0,0,0,0,0,0,179.99,11.293,0,0,0,0,0
Gravesham Borough Council,268.47,15.43,10.8,945.58,0,18.01,0,0,0,0,0,0,1519.72,14.97,0,0,0,0,0
Hinckley and Bosworth Borough Council,56.83,1129.345,6.306,1139.46,0,15.86,0,0,0,0,0,4.277,1316.278,63.555,35.664,0,5.69,0,0
Broadland District Council,398.35,177.305,0.726,1912.6,0,5.689,0,0.72,0,0,0,0,3169.979,94.91,0,0,11.055,0,0
Northamptonshire County Council,68.377,985.5,1023.005,1431.94,0,1007.47,32.673,18.62,0,291,24.632,343.141,0,179.028,0,1.96,195.014,2269.84,92.806
Lichfield District Council,0,5.5,0,1371.33,0,0,0,0,0,0,0,7.38,3087.58,17.21,0,0,0,0,0
Elmbridge Borough Council,0,4.59,0,2658.24,0,10.312,0,0,0,0,0,0,3550.44,50.4,22,0.66,0,0,0
City of London,0,0,0,51.1,0,8.31,0,0,0,0,0,28.15,219.16,4.46,0,0,0,0,0
Royal Borough of Kensington and Chelsea,0,42.55,38.21,231.65,0,98.12,1.74,0.04,0,0,0.22,0,4036.68,50.79,0,0.14,0,0,0
Darlington Borough Council,695.01,1070.95,88.71,485.84,361.52,127.362,0,3.7,0,23.36,0,0,574.41,45.77,36.41,0.4,22.63,4597.16,0
Winchester City Council,375.22,1.35,0,537.62,0,5.56,0,0,0,0,0,0,2000.61,33.22,0,0,0,0,0
Shepway District Council,0,895.18,0,1200.74,0,5.44,0,0,0,0,0,0,1351.41,28.471,0,0,0,0,0
Oadby and Wigston Borough Council,287.9,452.986,55.74,241.86,0,7.754,0,0,0,0,0,1.293,0,48.882,0,0,95.8,0,0
South Norfolk Council,183.666,120.632,1.21,1153.062,0,22.94,0,5.22,0,0,0,0,3362.16,291.671,0,0,0.96,0,0
Kettering Borough Council,5.924,512.81,0,1158.7,0,0,0,0,0,0,0,0,2003.3,29.418,0,0,0,0,0
Nottinghamshire County Council,439.82,950.51,1149.1,2940.93,3617.86,854.37,29,15.8,0,414.39,12.76,0,0,231.62,0,0,46.77,3050.22,0
Staffordshire Moorlands District Council,0,400.7,0,1811.78,0,2.25,0,0,0,0,0,0,1758.22,1.71,12.4,0,0,0,0
Reigate and Banstead Borough Council,0,2257.5,0,2328,0,6,0,0,0,0,0,0,1595,81.5,0,0,0,0,0
Chichester District Council,0,144.49,0,654,0,103.9,0,0,0,0,0,0,4014.2,8.84,0,0,0,0,0
Merseyside WDA (MBC),161.01,1162.84,1714.18,3190.65,6659.09,1561.46,53.67,51.54,0,427.76,22.47,446.33,169.78,1434.2,0,593.61,720.4,6459.44,69.59
Croydon LB,60.71,4124.36,428.92,3965.63,2148.94,680.21,12.86,0.14,0,102.68,2,0,3673.11,213.81,0,0,41.32,2780.04,0
Richmond upon Thames LB,0,2887.13,156.88,2141.96,0,160.4,6.26,0,0,37.32,1.44,23.98,2134.67,112.66,25,43.04,0,455.22,0
Warrington Borough Council,11.46,228.85,203.5,2128.04,819.78,201.312,6.726,0,0,84.03,3.8,152.445,5266.4,170.065,8.259,0,7.88,464.334,0
Amber Valley Borough Council,878.73,13.21,0.08,354.38,0,12.64,0,0,0,0,0,0,2129.8,0,6.28,0,0.52,0,0
Castle Point Borough Council,556.12,0,1.76,1201.64,0,12.951,0,0,0,0,0,0,1570.78,25.375,6.146,0,0,0,0
Thurrock Council,0,40.78,126.09,1719.68,685.43,105.84,2.279,0,134.74,57.5,10.1,0,2917.48,17.38,0,0,0,471.14,2.8
East Hampshire District Council,880.42,3.67,0,333.6,0,3.92,0,0,0,0,0,0,2011.43,54.36,0,0,0,0,0
Hertfordshire County Council,129.44,1307.127,1218.63,1037.02,3888.72,1458.722,36.82,29.25,0,113.77,24.87,94.884,56.13,307.544,0,1.79,351.964,1900.39,0
Tunbridge Wells Borough Council,628.12,1391.06,8.58,1806.46,0,8.3,0,0,0,0,0,0,296.95,27.04,0,0,4.73,0,0
Fylde Borough Council,8.34,975.2,0,914.6,0,4.64,0,0.39,0,0,0,0,988.03,18.16,13.793,0.18,0,0,0
Blackburn with Darwen Borough Council,64.62,145.17,178.2,550.98,0,184.73,5.57,4.29,0,89.79,2.46,15.6,3429,93.44,0,48.6,35.61,0,0
Lincoln City Council,35.42,0.93,0,727.94,0,0,0,0,0,0,0,0,2123.64,6.999,0,0,0,0,0
Craven District Council,10.02,876.692,1.954,250.62,0,5.232,0,1.03,0,0,0,9.384,827.479,184.726,13.218,1.279,0,0,0
Tandridge District Council,1.51,53.55,0.15,1233.95,0,12.28,1.03,0,0,0,0,0,2597.62,78.25,8,0,0.09,0,0
Worthing Borough Council,0,31.37,0,519.4,0,6.14,0,0,0,0,0,0,2316.2,9.04,0,0,0,0,0
Sefton MBC,1653.12,1394.47,355.12,2324.66,0,39,0,0,0,0,0,0,2108.28,60.36,0,1.67,7.17,0,0
Newcastle-upon-Tyne City Council MBC,1206.88,175.77,167.78,1725.82,858,240.13,2.37,7.54,0,60,2.85,10,3925.59,30.05,0,0,0,815,0
Harrow LB,0,0,209.2,3346.52,649.8,181.2,4.8,0,0,4.4,3.7,0,4556.9,105.69,0,55.5,0,0,0
South Bucks District Council,0,430.25,0,928.35,0,11.42,0,1.86,0,0,0,0,1363.983,41.468,0,0,0,0,0
Erewash Borough Council,0,0,0,819.88,0,29.45,0,0,0,0,0,0,2625.31,0,0,0,0,0,0
Plymouth City Council,206.46,222.42,372.35,1102.61,1270.66,345.17,9.62,1.16,0,158.22,5.02,74.19,4973.92,188.32,23.49,0,23.93,1329.14,0
Brighton and Hove Council,1818.6,230.32,191.423,381.2,247,281.3,6.16,1.6,81.2,50.2,2.9,242.06,3225.93,109.06,0,2.3,11.02,354.8,5.7
Harlow District Council,3.778,9.876,0,842.08,0,23.789,0.335,0,0,0,0,1.817,2090.26,22.728,0,0,0.482,0,0
Hart District Council,739.18,52.95,0,505.82,0,10.69,0,0,0,0,0,0,1613.98,76.98,0,0,0,0,0
Hertsmere Borough Council,3.19,597.343,0.143,1283.26,0,4.05,0,0,0,0,0,0,1300.56,6.138,0,0,0.707,0,0
Preston City Council,5.62,1396,18.94,945.1,0,11.92,0.02,0,0,12.54,0,282.72,1506.48,11.932,44.02,0,0,0,0
West Lindsey District Council,0,4.82,6.28,306.44,0,50.7,0,0,0,0,0,0,2519.85,34.364,0,0,0,0,0
Selby District Council,588.08,861.938,73.45,1139.9,0,8.88,0,0,0,0,0,0,0,130.547,115.08,0.49,199.84,0,0
Gedling Borough Council,731.15,14.403,3.36,405.76,0,41.56,0,0,0,0,0,20.75,2026.24,12.785,0,0,0.299,0,0
Staffordshire County Council,75.07,906.89,960.07,1497.04,503.82,1303.9,27.75,53.49,0,160.8,16.94,182.62,0,408.85,0,192.29,129.15,2683.41,122.05
Bolton MBC,0,2738.4,0,2737.66,0,0,0,0,0,0,0,11.62,2854.02,11.135,18.578,0,0,0,0
Leeds City Council MBC,2477.424,724.098,684.09,4505.14,2782.99,738.781,14.376,19.74,0,275.12,20.88,31.085,10670.81,223.393,222.444,1.951,1.032,0,74.111
Barnet LB,14.33,239.62,167.49,3333.68,928.04,255.17,1.58,5.78,0,30.96,2.9,10.36,6855.29,182.11,38.3,0,25.07,673.48,0.06
Lambeth LB,0,93.39,77.82,1290.77,190.12,190.62,3.48,2.79,0,0,0.23,14.67,4590.76,84.6,0,0.22,9.23,3.4,0
South Gloucestershire Council,1811.04,3203.62,638,3830.26,1591.9,397.14,7.45,13.21,0,91.82,10.4,14.36,1052.44,468.05,0,24.64,121.97,733.82,0
Derbyshire Dales District Council,0,619.095,0,1287.74,0,10.86,0,0,0,0,0,0,1175.68,16.636,0,0,0,0,0
Lewes District Council,582.718,864.692,64.312,322.58,0,4.56,0,0,0,0,0,0,0,21.906,0,1.251,77.834,0,0
Tendring District Council,466.437,1317.55,0,739.25,0,0,0,0,0,0,0,0,277.9,35.707,110.562,1.214,0,0,0
Forest of Dean District Council,583.8,579.92,116.78,1615.28,0,8.86,0.32,0,0,0,0,6.41,0,61.24,69.98,1.99,48.36,0,0
Rushmoor Borough Council,507.08,5.63,0,262.5,0,2.98,0,0,0,0,0,0,1206.48,57.23,0,0,0,0,0
Bromsgrove District Council,15.89,26.32,0,570.86,0,6.7,0,0,0,0,0,6.58,2712.64,1.13,32.09,0,0,0,0
Three Rivers District Council,0,0,0,2049.11,0,7.522,0,0,0,0,0,0,2757.24,6.87,0,0,0,0,0
Isle of Wight Council,56.02,84.25,331.83,2349.71,0,424.6,17.17,0,0,39.46,6.2,270.272,3522.9,30.8,0,0,0,580.52,0
West Lancashire Borough Council,14.99,1216.756,9.65,1446.26,0,15.643,0,0,0,0,0,0.809,1465.8,26.655,11.975,0.124,0,0,0
North Yorkshire County Council,238.29,1239.028,1096.858,1807.65,2707.52,847.9,22.861,39.763,0,76.7,17.1,87.637,4.68,200.056,0,0,98.24,275.689,0
Rushcliffe Borough Council,576.05,27.56,0,1526.01,0,0,2.2,0,0,0,0,21.89,1960.82,6.89,0,1.71,0,0,0
Newcastle-under-Lyme Borough Council,719.151,1067.848,160.368,1799.42,0,5.593,0,0,0,0,0,0,0,21.06,26.52,0.39,241.874,0,0
Epsom and Ewell Borough Council,494.95,458.92,90.29,1114.52,0,5.42,0,0,0,0,0,0,849.24,9.6,0,0,1.36,0,0
West Sussex County Council,0,1441.28,1653.4,3589.73,1567.67,2102.94,98.29,63.79,0,375.06,27.32,87.72,112.5,415.59,45.26,0,0,4025.29,0
Rochdale MBC,0,1873.57,0,3029.64,0,0,0,0,0,0,0,23.35,2188.78,51.285,0,0,0,0,0
Rotherham MBC,121.79,1992.028,309.105,385.88,826.51,335.114,18.13,0,0,65.3,3.513,16.673,1813.24,125.904,0,0.938,116.46,773.27,0
Birmingham City Council,223.14,7573.26,476.27,3073.81,3450.2,694.83,84.57,0,0,0,67.94,63.66,6915.67,205.73,0,1.71,30.23,3498.15,0
Sutton LB,11.28,119.94,132.83,434.28,616.87,159.65,3.4,0,0,22.48,2.8,0,3957.6,53.9,0,4.23,0,556.12,0
Cambridge City Council,5.02,22.998,0.12,1742.8,0,3.437,1.415,0,0,0,0,11.92,3082.24,67.092,0,0,0,0,0
Redditch Borough Council,9.12,8.95,0,0,0,18.83,0,0,0,0,0,4.56,2087.89,24.79,68.77,0,0,0,0
Lancashire County Council,171.64,1908.203,1532.992,1452.06,5178.12,1610.913,53.522,35.9,0,212.74,29.331,192.82,146.51,271.248,166.85,103.8,500.146,0,1.141
Lincolnshire County Council,116.75,592.065,570.454,2084.86,2575.46,1178.16,11.767,0,173.94,282.44,4.97,6.66,0,137.427,34.09,216.32,204.83,1434,0
Nottingham City Council,27.26,99.28,113.08,659.82,583.29,165.42,1.36,0,32.7,41.44,1.17,152.4,5049.41,18.95,0,0.78,61.02,2450.89,0
South Oxfordshire District Council,10.16,10.64,0,2637.86,0,7.491,0.659,0,0,0,0,0,4499.57,92.639,0,0,0.62,0,0
Mendip District Council,806.796,1344.928,124.288,1299,0,0,0,0,0,0,0,48.22,0,49.755,0.736,0,158.61,0,0
Stoke-on-Trent City Council,10.657,800.689,168.47,1312.73,910.14,307.657,7.561,0,28.86,66.04,3.4,30.377,4112.54,50.104,20.43,0.622,0,524.62,0
Runnymede Borough Council,20.78,6.89,0,980.76,0,3.2,0,0,0,0,0,0,2075.38,21.209,9.24,0,0,0,0
Crawley Borough Council,0,0,0,114.46,0,20.32,0,0,0,0,0,0,1856.8,75.65,0,0,0,0,0
Trafford MBC,0,2907.08,0,5177.6,0,9.64,0,0,0,0,0,0,2830.87,2.68,0,0,0,0,0
Solihull MBC,1101.325,107.384,167.51,978.98,586.12,190.552,3.9,0,0,30.18,3.956,66.572,3412.19,41.214,0,0,0,1062.9,27.21
Enfield LB,0,147.53,142.46,2732.58,0,184.584,6.16,0,0,0,3.6,0,6047.44,94.84,4.37,0,28.66,0,0
Bracknell Forest Borough Council,662.92,140.05,144.68,937.03,0,193.95,8.5,3.5,75.13,38.22,3.24,49.06,1848.14,145.91,0,3.75,9.55,387.89,23.13
Allerdale Borough Council,171.04,1104.58,9.71,765.64,0,0,0,0,0,0,0,0,874.74,0,0,0,0,0,0
Bolsover District Council,16.346,333.66,0,533.72,0,10.64,0,0,0,0,0,3.08,1472.88,5.562,0,0,0,0,0
Wyre Forest District Council,13.7,27.06,0,108.96,0,3.92,0,0,0,0,0,0,2475.24,15.21,0,0,0,0,0
Hyndburn Borough Council,525.12,705.48,1.16,202.79,27.26,19.98,0,0,0,0,0,0,304.3,2.16,22.64,0,0,0,0
North Kesteven District Council,21.73,0,0,1251.46,0,0,0,0,0,0,0,0,3147.06,0.694,0,0,0,0,0
