Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Co-mingled,Textiles,Furniture,Composite,Plastic,Rubble,Paint
Richmond upon Thames LB,0,3024.9,161.6,3511.5,38.19,141.62,3.12,0,0,22.02,1.42,30.04,2111.37,99.19,25,45.66,0,438.26,0
Warrington Borough Council,11.37,196.32,173.711,3207.89,755.56,175.313,3.817,0,0,72.16,1.965,118.5,4934.9,156.096,9.559,0,10.986,294.15,0
Amber Valley Borough Council,714.3,21.69,0.08,752.28,0,11.16,0,0,0,0,0,0.46,2060.12,0,7.87,0,0.52,0,0
Castle Point Borough Council,482.76,0,0,1527.66,0,4.635,0,0,0,0,0,0,1420,32.475,5.595,0,0,0,0
Thurrock Council,0,77.52,95.95,2574.64,631.91,90.198,1.52,13.64,112.04,29.64,6.75,0,2898.72,16.16,0,0,0,487.8,2
East Hampshire District Council,823.98,4.63,0,464.82,0,3.2,0,0,0,0,0,0,2066.73,48.72,0,0,0,0,0
Hertfordshire County Council,101.3,1137.624,1109.733,1897.46,0,1279.997,23.822,30.773,0,191.78,33.569,5.71,3583.94,256.87,0,1.201,311.944,2033.32,0
Tunbridge Wells Borough Council,621.14,1439.4,4,2742.93,0,6.5,0,0,0,0,0,5.3,288.86,25.15,0,0,0,0,0
Fylde Borough Council,11.62,945.93,0,1540.78,0,5.02,0.63,0.23,0,0,0,0,930.59,15.18,11.09,0.58,4.34,0,0
Blackburn with Darwen Borough Council,44.33,164.99,155.55,1007.56,0,148.49,3.59,4.11,0,110.12,1.78,15.8,3342,93.8,0,35.6,62.85,0,0
Lincoln City Council,30.1,13.48,0.06,1289.18,0,0,0,0,0,0,0,0,1934.22,32.933,0,0,0,0,0
Craven District Council,4.57,639.412,1.76,542.6,0,2.84,0,0.31,0,0,0,0,785.389,14.237,0,1.077,0,0,0
Tandridge District Council,6.06,60.67,0.25,1519.28,0,11.34,0.32,0,0,0,0,0,2461.42,33.66,0,0,0.42,0,0
Worthing Borough Council,0,33.81,0,886.1,0,5.38,0,0,0,0,0,0,2225.86,11.67,0,0,0,0,0
Sefton MBC,1692.74,1392.76,364.99,3964.19,0,38.97,0,0,0,0,0,0,2036.8,61.09,0,0.94,7.1,0,0
Newcastle-upon-Tyne City Council MBC,1207,203.73,135.97,2324.64,747,209.78,5.56,14.6,0,54,2.51,16,3725.52,26.51,0,0,0,770,0
Harrow LB,0,0,170.5,4791.8,662.5,159.2,4,0,0,8.7,4.6,68.7,4382,105.45,0,53.2,0,0,0
South Bucks District Council,0,442.77,0,1238.32,0,8.26,0,5.66,0,0,0,0,1243.679,38.57,0,0,0,0,0
Erewash Borough Council,0,0,0,1750.72,0,26.95,0,0,0,0,0,0,2640.04,0,0,0,0,0,0
Plymouth City Council,274.8,494.59,348.61,1768.55,1082.1,304.27,6.43,1.68,0,116.86,4.52,32.63,4402.76,91.64,1.93,0,30.08,1167.04,0
Brighton and Hove Council,1442.58,230.08,166.16,587.86,180.48,254.71,5.85,1.72,88.25,39.12,6.1,81.3,3447.82,131.69,0,1.71,3.77,388.24,4.87
Harlow District Council,4.577,9.082,0.2,835.94,0,10.601,0.021,0,0,0,0,1.546,1945.3,31.839,0,0,0.116,0,0
Hart District Council,750.35,63.13,0,752.3,0,10.258,0,0,0,0,0,0,1595.04,56.613,0,0,0,0,0
Hertsmere Borough Council,5.519,609.216,0.342,1998.28,0,5.901,0,0,0,0,0,0,1353.66,5.936,0,0,0.584,0,0
Preston City Council,5.35,1325.62,13.32,1604.08,0,17.67,0.02,0,0,7.88,0,208,1351.7,12.961,38.23,0,5.59,0,0
West Lindsey District Council,0,8.36,5.38,2191.72,0,43.394,0,0,0,0,0,0,2417.46,28.312,0,0,0,0,0
Selby District Council,532.53,864.71,61.14,1616.72,0,4.61,0,0,0,0,0,0,0,20.83,0,0.66,163.36,0,0
Gedling Borough Council,734.913,17.587,0.9,952.1,0,12.867,0,0,0,0,0,12,2019.45,15.852,0,0,0.569,0,0
Staffordshire County Council,45.15,823.81,712.82,1868.94,511.36,1015.51,35.87,41.85,0,125.06,12.78,175.49,0,1092.95,0,156.35,91.16,2458.06,95.52
Bolton MBC,0,2629.33,0,3602.98,0,0,0,0,0,0,0,23.205,2731.84,14.43,16.431,0,0,0,0
Leeds City Council MBC,2385.36,664.578,556.89,7513.535,2325.14,642.01,17.476,69.44,0,207,1.638,30.531,10423.78,201.165,228.565,1.693,1.082,0,48.355
Barnet LB,19.02,258.748,164.91,5338.28,927.25,208.34,3.09,4.66,0,33.46,1.96,3.88,7026.16,166.63,26.52,0,13.6,723.02,0
Lambeth LB,0,127.16,59.77,1651.62,208.98,155.32,4.47,1.64,0,0,2.24,13.78,4776.83,96.88,0,0.15,7.04,2.84,0
South Gloucestershire Council,1421.4,3068.46,490.56,5041.75,1259.6,375.95,16.96,20.4,0,106.06,6.82,29.73,859.54,389.54,0,32.62,88.48,655.44,0
Derbyshire Dales District Council,0,688.205,0,1751.4,0,9.22,0,0,0,0,0,0,1100,15.375,0,0,0,0,0
Lewes District Council,541.198,866.02,68.545,317.28,0,4.479,0,0,0,0,0,0,0,21.64,0,0.853,81.728,0,0
Tendring District Council,418.16,1294.31,0,668.04,0,0,0,0,0,0,0,0,169.58,36.545,110.6,0.569,0,0,0
