Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Co-mingled,Textiles,Furniture,Composite,Plastic,Rubble,Paint
Wirral MBC,21.716,3.14,0,2583.63,0,26.696,0,0,0,0,0,0,7217.94,112.179,0,0.717,0,0,0
North Tyneside Council,1216.31,205.22,155.03,1756,706.82,192.89,0,5.07,0,76.4,0,0.52,2656.59,52.63,16.65,0,25.04,904.4,0
Bradford City MDC (MBC),173,2813.1,222,4756,1167,452,9.6,15.1,0,103.8,4.2,0,2107.1,443.5,112.13,50.9,0,922,15.8
Western Riverside Waste Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.7,0
West London Waste Authority,0,20.26,0.46,145.66,92.51,0,0,0,0,0,0,0,0,0,0,10.56,0,0,0
Redbridge LB,0,77,117.3,2046.3,496.4,175.5,3.7,0,0,0,1.9,0,3121.2,42.6,0.7,0,19.7,237,1.3
Wokingham Council,626.45,215.05,284.82,2619.05,0,340.04,11.68,4.89,177.52,112.98,7.95,4.99,2452.54,135.12,0,4.38,19.47,693.39,36.47
South Lakeland District Council,161.32,361.06,12.1,2004.55,0,0,0,0,0,0,0,0,1476.13,0,0,0,75.4,0,0
Torbay Council,858.05,1203.38,249.44,2270.26,475.18,189.84,7.04,4.18,0,13.5,5.46,0,493.82,36.24,0,0,184.8,145.98,0.58
Maldon District Council,380.085,676.349,0.28,1238.64,0,0,0,0,0,0,0,0,189.752,17.522,0,0.368,0,0,0
Havant Borough Council,436.64,0,2.88,513.82,0,3.18,0,0,0,0,0,0,2045.44,66.854,0,0,24.73,0,0
North Hertfordshire District Council,0,1072.19,0,3615.8,0,8.555,0,0,0,0,0,0,2305.72,6.07,0,0,0,0,0
Dover District Council,0,1146.23,0,1219.33,0,5.86,0,0,0,0,0,0,1278.97,18.282,0,0,0,0,0
Charnwood Borough Council,57.489,40.298,0.576,2366.08,0,52.572,1.576,0,0,0,0,2.172,4411.11,69.588,5.921,0,0.206,0,0
Norfolk County Council,214.01,659.69,836.339,4456.998,544.15,1443.525,44.481,7.65,0,137.92,22.973,196.638,0,154.8,0,1.001,93.24,854.77,0
Mansfield District Council,168.387,6.5,0,979.88,7.22,0,0,0,0,0,0,11.57,1659.46,8.065,0,0,0,0,0
Cannock Chase Council,2.513,3.388,0,1578.46,0,0,0,0,0,0,0,0,2646.6,17.855,0,0,0,0,0
Swindon Borough Council,1053.73,1995.99,682.41,1886.9,852.64,326.11,7.37,5.8,0,42.38,0,0,0,27.5,35.34,0,428.67,1247.14,0
Wakefield City MDC,54.26,346.92,220.6,3182.65,1051.31,364.96,8.42,23.26,0,103.96,6.1,7.83,6531.08,324.59,0,10.42,93.17,109.27,20.1
Camden LB,0,75.52,43.14,1194.18,274.16,109.31,0,0,0,33.5,2.6,252.24,4768.94,135.2,5.28,0.08,5.36,319.62,0.41
Westminster City Council,1480.66,623.44,0,666.04,0,124.04,0.16,0,0,0,0,0,5948.09,72.4,0,0,3.18,0,0
Exeter City Council,548.66,207.48,0,480.28,0,1.17,0,0,0,0,0,147.53,1832.24,23.48,31.73,1.2,12.4,0,0
Southampton City Council,1023.23,153.7,337,1548.02,0,179.06,8.86,0,220.93,72.58,3.1,120.51,2809.59,65.58,0,0,16.76,410.26,0
Watford Borough Council,0,2.23,0,1405.17,0,8.9,0,0,0,0,0,0,1908.01,2.48,0,0,0,0,0
North Lincolnshire Council,896.641,1148.257,469.713,3380.13,707.22,316.177,10.36,7.088,0,21.06,3.46,149.675,1026.663,258.22,31.037,2.609,83.637,686.64,0
Melton Borough Council,0,0.695,0,734.642,0,2.741,0,0,0,0,0,1.166,1265.97,18.294,8.574,0,0,0,0
North Norfolk District Council,0,0,0,1854.88,0,10.453,0,1.22,0,0,0,0,2694.09,16.034,0,0,0,0,0
Ryedale District Council,413.03,574.31,104.01,1091.16,0,1.72,0,0,0,0,0,0,0,26.97,0,0.78,66.38,0,0
Daventry District Council,506.1,780.55,108.24,2120.34,0,0,0,0,0,0,0,0,0,0,7.55,0,149.47,0,0
Stafford Borough Council,0,687.7,6.08,2863.18,0,0,0,0,0,0,0,0,2622.28,0.23,0,0,0,0,0
Guildford Borough Council,40.6,180,0,3208.5,0,0,0,0,0,0,0,0,3541.24,0,0,0,0,0,0
Adur District Council,0,41.8,0,336.14,0,2.53,0,0,0,0,0,0,1360.8,23.3,0,0,0,0,0
Haringey LB,3.67,112.83,72.48,2030.22,513.9,120.08,1.69,2.22,0,56.29,1.6,0,5058.5,106.83,48.83,0,7.22,619.94,1.11
Bristol City Council,2619.46,4026.47,682.2,4933.58,1367.02,330.65,13.96,14.92,0,65.12,6.4,106.68,0,192.15,0,0,1148.48,1335.21,0
Council of the Isles of Scilly,9.25,0,7.17,0,0,3.8,0,0,0,0,0,0,0,2.4,0,0,0,0,0
Teignbridge District Council,778.56,1483.75,170.213,2988.2,9.9,6.75,1.665,0,0,0,0,346.916,0,40.461,23.444,2.224,282.45,0,0
Braintree District Council,505.31,86.829,0,4123.98,0,0,0,0,0,0,0,131.48,2626.88,30.577,0,0,0,0,0
Essex County Council,344.06,1445.214,1572.185,4902.28,6170.02,1688.611,39.565,77.06,0,382.32,64.842,0,0,329.68,154.631,0.977,18.084,0,35.4
Hampshire County Council,707.27,1667.14,3003.61,10770.94,0,1210.13,88.94,0,1825.97,472.02,29.37,1163.68,0,278.99,0,0,40.37,3391.08,0
Thanet District Council,49.45,1133.07,30.3,1299.24,0,15.01,0,0,0,0,0,0,964.96,26.1,0,0,0,0,0
Burnley Borough Council,15.34,661.42,0,465.24,0,3.34,0,0,0,0,0,0,718.76,4.22,8.62,0,0,0,0
Boston Borough Council,49.21,7.03,0,1032.4,0,4.017,0,0,0,0,0,0,1887.22,22.57,0,0,0,0,0
South Northamptonshire District Council,18,19.26,24.35,2818.82,0,21.107,0.614,0,68.86,0,0,0,2531.34,52.62,0,0,0.45,83.62,0
Tamworth Borough Council,14.394,3.107,0,1049.41,0,0,0,0,0,0,0,0,2029.16,29.5,0,0,0,0,0
Spelthorne Borough Council,0,0.65,0,1198.2,0,2.16,0,0,0,0,0,0,2370.88,35.13,2.82,0.47,0,0,0
Horsham District Council,52.92,44,0,2535.48,0,16.42,0,0,0,0,0,0,3387.33,30.98,18.33,0,0,0,0
Liverpool City Council,0,2.42,0,2702.18,0,0,0,0,0,0,0,405.93,6758.99,83.85,68.102,0.237,0,0,0
Barking and Dagenham LB,52.2,74.1,125.4,1078.89,516.8,437.58,1.9,0.4,0,0,0.6,0,2148.6,25.9,0.6,0,20.4,448.1,2.6
Royal Borough of Kingston upon Thames ,760.452,1920.302,177.196,2328.94,510.07,173.978,0.211,0,0,16.76,2.16,0,0,55.039,308.188,2.08,591.765,550.03,0
Wiltshire,2977.58,3792.57,1378.54,8315.14,173.83,769.1,38.53,41.15,109.98,245.2,10.58,0.01,3517.06,202.62,23.04,6.21,267.46,393.41,35.97
Cornwall,513.861,1104.841,1285.969,5512.54,2277.761,645.641,19.382,12.72,0,102.9,3.134,0,7921.211,86.89,57.684,0,48.24,498.498,0.584
Bedford,558.5,159.1,111.75,2741.98,203.48,184.09,8.76,0,0,27.22,4.24,43.39,2795.9,88.84,0,0,4.7,162.1,29.4
Central Bedfordshire,1267.66,224.9,258.77,4603.05,0,213.53,4.5,0,0,32.24,7.5,19.46,5218.04,81.76,0,0,11.7,610.04,26.01
Shropshire,990.1,2609.85,356.4,8681.87,789.88,467.09,18.96,17.78,0,49.78,9.98,40.55,2128.16,230.09,0,15.32,47.32,309.34,0
Cheshire East,125.39,531.06,362.94,8430.15,1328.56,547.26,15.23,0,0,0,9.55,273.7,9629.46,141.71,33.12,0,14.01,1853.92,0
Cheshire West and Chester,2336.51,3837.028,884.774,8955.73,1316.36,525.845,11.785,0.76,0,0,9.864,150.32,0,195.245,118.291,0,841.48,1872.3,9.204
Northumberland,1376.7,419.9,461.3,3367.9,1002.1,487.3,14.2,26,0,45.2,6.9,50,5319,703.1,0,2.3,126.8,383.6,0
County Durham,2404.79,520.64,508.69,3666.11,1818.2,497.65,9.4,39.63,0,256.06,6.21,110.67,9901.47,421.71,0,0,182.3,1892.14,0
Dorset Waste Partnership,3508.68,1198.34,1203.82,12477.71,2159.7,693.42,31.7,20.86,0,230.04,18.47,383.83,7229.93,302.84,41.12,1.66,106.88,1063.78,21.74
