Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Cheshire West and Chester,704,524,Unitary,40,17911.267466,152670,20227.338533000002,38138.606,12378.053533,7769.62,38038.861000000004,335680
City of London,237,175,Unitary,40,644.64,6850,272.62,917.26,226.7,45.92,917.25,9401
Cornwall,708,519,Unitary,40,42643.944,265160,19376.662,62020.606,14984.396999999999,4240.28,61846.441,553687
Council of the Isles of Scilly,348,399,Unitary,40,276.96,1210,52.923,329.88300000000004,24.363000000000003,8.32,309.643,2308
County Durham,701,526,Unitary,40,34505.235437999996,240620,18321.594561,52826.83,16085.954561000002,1947.35,52538.57,522143
Coventry City Council,179,317,Unitary,40,24299.044349,139030,7392.69065,31691.735,5538.782257,1847.2083920000002,31680.135,352911
Croydon LB,258,191,Unitary,40,19623.015124,152880,10251.522875,29874.537999999997,6997.708308,3220.004567,29840.728,382304
Darlington Borough Council,5,180,Unitary,40,6966.513839,49780,3967.25716,10933.771,3392.245299,538.5618599999999,10893.321000000002,105646
Derby City Council,96,77,Unitary,40,16684.737783,108570,7908.6122159999995,24593.35,6709.984509000001,1015.057706,24403.2,256233
Doncaster MBC,89,105,Unitary,40,18239.684397999998,134300,14111.400601,32351.085,8964.792414,5037.850186,32231.107000000004,306397
Dorset Waste Partnership,710,541,Unitary,40,19684.903933,198820,26300.196066,45985.1,14617.107632,11350.898434,45652.91,422727
Dudley MBC,178,57,Unitary,40,19709.508136,136770,9832.434863,29541.943,6155.2371840000005,3576.289679,29441.031000000003,317634
East Riding of Yorkshire Council,74,81,Unitary,40,13414.414819,153150,23117.63718,36532.052,14604.600051,8440.827136,36450.214,337696
Gateshead MBC,25,138,Unitary,40,13992.147078,92970,5748.232921,19740.38,5216.9329210000005,314.27,19522.32,201592
Greenwich LB,254,92,Unitary,40,16488.560549,111240,8143.72145,24632.282000000003,5582.39145,2555.53,24625.562,279766
Halton Borough Council,29,61,Unitary,40,8314.987176,55810,5323.676823,13638.663999999999,4375.795612,947.8812109999999,13638.663999999999,126903
Hartlepool Borough Council,4,124,Unitary,40,7145.8,43290,2412.57,9558.37,1845.55,567.02,9554.99,92817
Herefordshire Council,148,348,Unitary,40,11663.236609,83730,6775.7653900000005,18439.002,5606.408195,1167.424286,18415.378,189309
Isle of Wight Council,306,246,Unitary,40,7801.469,70330,7285.840999999999,15087.31,4540.411,2739.32,15081.2,139798
Kingston-upon-Hull City Council,75,326,Unitary,40,13381.56861,119000,12014.421389,25395.99,7459.810892,4531.220496,25365.91,260240
Kirklees MBC,92,162,Unitary,40,29723.779504000002,183610,10727.360495,40451.14,7538.4970379999995,3133.150457,40357.067,437047
Leeds City Council MBC,91,231,Unitary,40,48428.902183,346490,23262.580815999998,71691.483,16212.318969999998,6445.801846,71089.518,781743
Leicester City Council,107,311,Unitary,40,16165.168654,133620,12425.831345,28591.0,6136.060639,6164.770706,28461.0,348343
Lewisham LB,253,58,Unitary,40,19976.380529,124160,3868.2364700000003,23844.617000000002,3532.86547,298.56,23805.562,301867
Luton Borough Council,181,1,Unitary,40,13298.58,79560,4881.35,18179.93,4137.65,659.34,18095.57,216791
Medway Borough Council,313,10,Unitary,40,17900.059286,113650,10398.030713,28298.09,6970.440713,3405.22,28263.46,278542
Merton LB,256,302,Unitary,40,11869.110959,83510,6558.7390399999995,18427.85,5119.457616,1439.2814230000001,18427.85,205029
Middlesbrough Borough Council,3,342,Unitary,40,10210.558048,62510,3380.859951,13591.418,3131.42219,244.19976,13586.18,140398
Milton Keynes Council,279,22,Unitary,40,14757.068324000002,108470,12975.231675,27732.3,8117.833702,4714.997973,27585.38,264479
Newcastle-upon-Tyne City Council MBC,24,211,Unitary,40,15640.977606,128030,11977.812393,27618.79,6277.824963,5656.737429,27575.54,296478
North East Lincolnshire Council,76,32,Unitary,40,13084.230189,72690,4025.48081,17109.711,2682.702,1249.72,17109.711,159144
North Lincolnshire Council,77,387,Unitary,40,10755.719963,74680,7881.970036,18637.69,4835.267036,2999.7909999999997,18590.778000000002,170786
North Somerset Council,385,59,Unitary,40,11407.47,94630,12271.1,23678.57,7989.01,4178.82,23557.52,211681
North Tyneside Council,23,356,Unitary,40,15687.591666999999,96260,6256.948332,21944.54,4148.65307,2051.505261,21887.77,203307
Northumberland,702,525,Unitary,40,22735.111743,150000,10846.988256,33582.1,7689.203979999999,2926.984275,33285.7,316002
Nottingham City Council,133,262,Unitary,40,19719.621186,135000,5661.768813000001,25381.39,4679.853607999999,981.9152039999999,25381.39,325282
Peterborough City Council,187,145,Unitary,40,12115.26,82260,7059.83,19175.09,4494.4,2508.72,19114.34,197095
Plymouth City Council,363,217,Unitary,40,17765.617127,118000,7043.462872,24809.08,6324.692872,652.49,24694.42,264199
Poole Borough Council,369,290,Unitary,40,8295.799935,67990,7434.190064,15729.99,5128.403435,2215.856629,15637.3,151500
Portsmouth City Council,293,166,Unitary,40,14145.405897999999,90020,4425.874100999999,18571.28,3575.3624219999997,639.211679,18359.98,214832
Reading Borough Council,275,75,Unitary,40,10745.328108,69540,3938.4718909999997,14683.8,3049.4278879999997,856.5840029999999,14648.81,162666
Redcar and Cleveland Borough Council,2,322,Unitary,40,8403.809000000001,63340,4416.128,12819.937,3624.1479999999997,791.98,12819.937,135404
Rotherham MBC,88,254,Unitary,40,15914.902609,116000,8399.332390000001,24314.235,6544.16123,1821.8011600000002,24280.866,261930
Royal Borough of Kingston upon Thames ,257,414,Unitary,40,7766.585,66290,6825.036,14591.621000000001,4358.938,2038.019,14161.136,176107
Rutland County Council,106,328,Unitary,40,2386.426404,16820,2580.553595,4966.98,1633.3035949999999,939.68,4966.98,38606
Sandwell MBC,177,119,Unitary,40,17694.750117,131060,10715.599881999999,28410.35,8278.043555,2384.436326,28350.25,322712
Sheffield City Council,87,316,Unitary,40,32133.199,243430,13131.901000000002,45265.1,11478.201000000001,1528.3,45129.3,575424
Shropshire,705,522,Unitary,40,18724.036942,138470,17346.543057,36070.58,10437.703056999999,6810.91,35954.55,313373
Slough Borough Council,274,143,Unitary,40,10376.097512999999,52520,2688.024486,13064.122,2080.810857,607.213629,13064.122,147181
Solihull MBC,176,269,Unitary,40,13831.979,90440,6496.177,20328.156000000003,5253.797,1211.44,20297.216,211763
South Gloucestershire Council,392,235,Unitary,40,13324.671999999999,114360,13057.14,26381.812,8177.16,4858.39,26346.71,277623
South Tyneside MBC,22,17,Unitary,40,11532.825381,70950,3924.774618,15457.6,3498.374618,398.7,15428.7,149418
Southampton City Council,292,385,Unitary,40,16524.34972,105070,5933.710279,22458.06,4727.130279,975.3,22223.07,254275
Southend-on-Sea Borough Council,194,63,Unitary,40,10671.603000000001,79890,6902.918000000001,17574.521,4704.0779999999995,2198.84,17574.521,179799
Southwark LB,252,20,Unitary,40,17906.483267,134410,7678.321731999999,25584.805,5859.573732,1734.349,25498.944,313223
Stockton-on-Tees Borough Council,1,125,Unitary,40,14912.740463999999,84990,4205.769535,19118.51,3321.230071,864.6594630000001,19098.63,195681
Stoke-on-Trent City Council,158,265,Unitary,40,17300.477761000002,114700,6967.027238,24267.505,5115.546208,1835.6640300000001,24251.688,253226
Sunderland City Council,21,161,Unitary,40,22106.320484,127180,5951.369514999999,28057.69,5517.399515,340.67,27953.34,277962
Sutton LB,255,256,Unitary,40,11724.04,81620,5378.21,17102.25,4880.02,412.37,17016.44,202220
Swindon Borough Council,393,377,Unitary,40,15073.177,93820,8004.7,23077.877,6846.84,1155.12,23077.877,217905
Telford and Wrekin Council,151,52,Unitary,40,10842.554151999999,73290,7588.794847,18431.349,5412.423419,2148.514427,18396.45,172976
Thurrock Council,193,200,Unitary,40,12422.007,66150,5793.517,18215.523999999998,3664.0170000000003,1951.53,18037.554,167025
Torbay Council,360,367,Unitary,40,8619.56,66350,5641.828,14261.388,4095.08,1528.65,14236.09,133883
Tower Hamlets LB,236,93,Unitary,40,13522.441319999998,122330,5006.068679,18528.51,4666.368679,239.13,18427.83,304854
Wakefield City MDC,93,378,Unitary,40,18437.240934,151620,17561.029065,35998.27,11082.491202,6373.297861999999,35881.33,336834
Walsall MBC,175,336,Unitary,40,16239.60241,113930,7380.807589,23620.41,6450.957589,893.59,23580.81,278715
Warrington Borough Council,26,196,Unitary,40,10570.016012,91770,10076.568987,20646.585,6466.691494,3449.177493,20485.885,208809
West Berkshire District Council,276,340,Unitary,40,9343.879256,67100,8308.030743000001,17651.91,5045.057951,3216.862791,17602.24,156837
Westminster City Council,238,380,Unitary,40,17435.971648,124400,3863.5983509999996,21299.57,3756.688351,34.85,21227.44,247614
Wigan MBC,42,334,Unitary,40,19670.622053,142300,12845.907946,32516.53,9323.103476,3508.3844689999996,32493.59,323060
Wiltshire,709,518,Unitary,40,33200.016448,212420,15694.813551,48894.83,9640.9199,5675.97365,48506.45,488409
Windsor and Maidenhead Borough Council,273,287,Unitary,40,8729.09,63300,6864.86,15593.95,4628.85,2223.11,15581.05,148814
Wokingham Council,272,363,Unitary,40,11148.383,64780,5937.095999,17085.479,4228.088711,1652.177287,17024.718999999997,161878
Wolverhampton MBC,174,72,Unitary,40,16606.484116,108180,7344.535883,23951.02,5906.33539,1438.200493,23950.2,256621
York City Council,78,50,Unitary,40,12632.822381999998,87510,6165.591617,18798.414,5365.944617,556.989,18546.474,208367
