,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Telford and Wrekin Council,19.34,1775.39,151.86,5620.53,826.04,269.64,3.69,22.6,271.88,52.46,8.11,8.98,84.62,1907.11,22.34,13.67,0.47,532.96,40.84
South Staffordshire Council,74.08,33.11,0.0,4357.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0,200.02,2.6,2833.12,0.0,0.0,0.0,0.0,0.0
Mole Valley District Council,0.0,39.08,0.0,2277.76,0.0,3.34,0.0,0.0,0.0,0.0,0.0,9.0,6.9799999999999995,2439.14,0.0,0.0,0.0,0.0,0.0
Arun District Council,0.0,0.0,0.0,1962.7,0.0,10.49,0.0,0.0,0.0,0.0,0.0,0.0,39.72,3528.06,0.0,0.0,0.0,0.0,0.0
Stockport MBC,2.2,3587.82,0.0,10485.26,0.0,7.12,0.0,0.0,0.0,0.0,0.0,0.0,23.684,3194.185,0.0,0.0,0.0,0.0,0.0
Dudley MBC,1551.065,2916.656,191.704,8822.4,862.01,182.40699999999998,9.09,10.28,0.0,59.9,4.109999999999999,9.27,63.28999999999999,719.698,0.0,1.02,30.267,950.32,0.0
Lewisham LB,12.97,56.31,18.79,530.04,183.06,71.54,1.72,0.0,0.0,0.0,0.0,293.49,37.75,4915.2699999999995,0.0,3.82,168.41,158.55,0.0
North Somerset Council,1576.2199999999998,3491.21,637.5,8019.18,1649.11,438.78,9.02,1.57,0.0,60.68,10.0,21.64,100.82000000000001,0.0,0.0,647.0,0.23,1206.3,86.0
Fenland District Council,53.620000000000005,17.180999999999997,0.0,4002.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.114,23.683,2254.714,0.0,3.62,0.0,0.0,0.0
Halton Borough Council,16.130000000000003,121.94,155.67000000000002,2751.75,685.46,142.97,5.73,8.78,0.0,40.42,3.7199999999999998,29.79,162.42000000000002,2068.5,0.0,87.42,67.21,691.68,0.35
Derbyshire County Council,65.795,676.47,836.14,4261.88,2860.37,856.392,23.33,76.88,23.39,203.87,26.82,234.91,195.58,0.0,0.0,336.22,1.24,2190.37,6.92
Southend-on-Sea Borough Council,25.0,118.0,142.0,4587.0,974.0,166.0,0.0,0.0,0.0,146.0,0.0,183.0,12.0,4048.0,0.0,83.0,0.0,595.0,0.0
Worcester City Council,30.94,11.13,0.3,547.34,0.0,1.63,0.0,0.0,0.0,0.0,0.0,88.83999999999999,28.41,2348.36,15.83,0.0,0.0,0.0,0.0
Chorley Borough Council,58.17,896.0600000000001,0.0,3435.2,0.0,32.83,0.0,0.0,0.0,0.0,0.0,0.0,5.85,1535.76,17.77,0.88,0.69,0.0,0.0
East Lindsey District Council,594.4300000000001,36.772,0.0,4818.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.63,54.025,2704.9,0.0,0.0,0.441,0.0,0.0
West Oxfordshire District Council,603.42,807.53,61.29,4313.22,0.0,4.7,0.0,0.0,0.0,0.0,0.0,158.45,49.671,1066.75,0.0,229.37,0.0,0.0,0.0
Taunton Deane Borough Council,748.099,1102.13,99.489,2123.34,0.0,0.0,1.095,0.0,0.0,0.0,0.0,29.029999999999998,45.043,0.0,15.193,140.205,0.0,0.0,0.0
Surrey Heath Borough Council,9.55,47.51,6.26,1611.96,0.0,7.779999999999999,0.0,0.0,0.0,0.0,0.0,27.0,48.22,2649.64,0.0,5.36,0.0,0.0,0.0
Mid Sussex District Council,0.0,16.48,0.0,1704.91,0.0,6.56,0.0,0.0,0.0,0.0,0.0,0.0,11.44,3386.38,0.0,0.0,0.0,0.0,0.0
Wolverhampton MBC,0.0,140.78,127.41,8318.88,1075.58,156.04,0.0,8.14,0.0,116.62,6.2,0.0,117.92999999999999,4925.870000000001,0.0,38.56,0.0,1073.78,0.0
Bexley LB,999.0,2843.0,260.0,7149.0,1254.0,248.0,6.0,13.0,0.0,20.0,7.0,304.0,388.0,1497.0,0.0,72.0,94.0,1449.0,0.0
Reading Borough Council,676.25,116.71,193.85,2491.29,745.84,193.4,9.76,5.82,153.16,65.38,3.71,4.96,107.64999999999999,2683.73,0.0,15.62,6.0200000000000005,659.81,35.2
Carlisle City Council,618.5,1043.6,137.02,3031.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.908,0.0,0.0,0.0,278.38,0.0,0.0,0.0
Derby City Council,11.09,181.59,187.11,3197.09,971.56,328.85999999999996,11.94,18.790000000000003,0.0,75.8,9.33,33.07,43.96,4945.16,0.0,110.74,0.27,59.18,1.99
East Sussex County Council,163.06,642.22,875.32,4237.97,1183.96,1052.05,37.14,20.92,743.566,127.26,21.59,118.019,56.53,0.0,0.0,10.08,0.0,1915.43,15.67
Worcestershire County Council,58.76,655.25,1091.983,7241.08,3028.98,487.991,29.674,0.0,0.0,279.3,20.840999999999998,0.0,127.29,6.68,9.055,0.0,0.077,4954.86,0.0
East Riding of Yorkshire Council,234.91,491.09400000000005,539.6600000000001,17449.08,2102.0,641.3900000000001,17.060000000000002,46.04,243.54,158.96,13.53,0.0,151.783,7985.139999999999,0.0,13.330000000000002,0.0,2839.92,0.0
Ashford Borough Council,124.53,89.94,4.46,2715.94,0.0,18.71,0.0,0.0,0.0,0.0,0.0,0.0,15.44,3317.7,0.0,0.0,0.0,0.0,0.0
Pendle Borough Council,29.44,737.54,0.47,853.46,0.0,32.93,0.0,0.0,0.0,0.0,0.0,0.0,13.51,986.4,52.71,1.06,8.3,0.0,0.0
South Kesteven District Council,0.0,10.395,0.093,3340.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.28,19.806,3846.16,0.0,0.0,4.92,0.0,0.0
Richmondshire District Council,326.44,455.32,82.46499999999999,954.22,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,35.108,0.0,0.0,100.02499999999999,1.396,0.0,0.0
Harrogate Borough Council,356.79,43.736,3.1,3859.0,0.0,4.686999999999999,0.0,0.0,0.0,0.0,0.0,0.0,36.258,2733.82,12.767,2.52,1.474,0.0,0.0
St Edmundsbury Borough Council,509.53100000000006,228.101,0.0,4218.0,0.0,24.830000000000002,0.0,0.0,0.0,0.0,0.0,270.892,31.316,2053.28,0.0,2.24,0.577,0.0,0.0
Rugby Borough Council,0.0,0.0,0.0,3414.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.18,11.469999999999999,2715.98,0.0,0.0,0.0,0.0,0.0
Greater Manchester WDA (MBC),0.0,1691.65,2095.37,5770.67,10482.96,2655.93,54.5,119.18,0.0,619.16,50.84,0.0,730.05,236.94,35.69,196.63,15.98,11474.6,0.0
Greenwich LB,0.0,57.660000000000004,92.35000000000001,4671.42,585.6,138.82999999999998,3.46,5.91,0.0,43.5,4.08,575.09,58.169999999999995,5156.86,1.035,20.62,0.0,939.86,0.0
Tower Hamlets LB,0.0,9.84,6.7,323.78,231.09,51.5,0.68,0.0,0.0,0.0,0.76,0.0,94.31,3064.18,0.0,2.46,0.0,0.0,0.52
Bath and North East Somerset Council,1191.98,2358.462,452.038,4648.620000000001,1276.42,299.254,9.34,12.342,0.0,83.03,6.35,18.14,106.205,0.0,1.86,347.652,0.14,1563.1799999999998,0.0
South Derbyshire District Council,51.04,825.4100000000001,4.25,3692.6600000000003,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.3,41.33,1045.86,7.75,8.53,1.24,0.0,0.0
Cotswold District Council,739.47,979.13,152.17999999999998,4063.88,0.0,13.919999999999998,0.0,0.0,0.0,0.0,0.0,30.28,54.54,0.0,29.89,147.38,1.19,0.0,0.0
South Ribble Borough Council,3.23,939.18,0.0,3607.26,0.0,0.6,0.0,0.0,0.0,0.0,0.0,24.12,8.120000000000001,1520.0,19.98,0.0,5.04,0.0,0.0
Harborough District Council,0.0,537.506,0.0,3764.311,0.0,1.97,0.0,0.0,0.0,0.0,0.0,216.923,37.744,1713.9579999999999,1.375,0.0,0.0,0.0,0.0
Breckland Council,445.808,10.63,0.04,2529.37,0.0,7.38,0.0,2.28,0.0,0.06,0.0,0.43,13.7,2440.3,0.0,0.0,0.56,0.0,0.0
Oldham MBC,0.0,1883.24,0.0,4154.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2078.3199999999997,0.0,0.0,0.0,0.0,0.0
Doncaster MBC,60.33,386.95400000000006,297.50600000000003,9472.699999999999,1136.46,368.254,8.13,14.42,0.0,78.59,7.494,3.037,127.162,4558.61,21.692,118.22,0.532,2427.48,0.0
Hounslow LB,846.296,1679.2409999999998,534.486,3373.46,9.95,123.427,9.168,0.0,0.0,11.56,6.615,1206.06,213.43800000000002,15.88,46.0,542.78,98.137,218.56,0.0
Cambridgeshire County Council,106.105,722.54,900.1419999999999,3781.94,3095.91,1083.052,45.983000000000004,0.0,1442.36,198.32,26.348999999999997,0.0,139.76,0.0,139.934,255.759,0.0,3240.62,8.512
North Devon District Council,753.052,993.5310000000001,109.57600000000001,3161.692,0.0,10.703,0.0,0.0,0.0,0.0,0.0,0.0,37.247,0.0,38.688,132.199,0.109,0.0,0.0
Tewkesbury Borough Council,0.0,0.6,2.38,2492.04,0.0,8.33,0.0,0.0,0.0,0.0,0.0,33.684,49.8,2123.32,38.67,0.0,0.0,0.0,0.0
Sevenoaks District Council,603.8100000000001,178.45,0.0,1399.62,0.0,20.54,0.0,0.0,0.0,0.0,0.0,0.0,48.266,1663.16,0.0,0.0,0.0,0.0,0.0
North West Leicestershire District Council,560.394,823.5409999999999,38.842,3609.5,0.0,12.288,0.0,0.0,0.0,0.0,0.0,62.537,20.571,187.93,15.813,113.569,1.003,0.0,0.0
Norwich City Council,771.82,0.0,0.02,1542.54,0.0,10.58,0.0,2.26,0.0,0.0,0.0,0.0,0.0,1912.62,0.0,0.0,1.17,0.0,0.0
East Northamptonshire Council,0.0,0.0,0.0,1082.1599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42,2188.7,0.0,0.0,0.0,0.0,0.0
Oxford City Council,31.32,41.78,13.51,2086.79,0.0,18.4,1.63,0.0,0.0,0.0,0.0,216.15,152.07,4018.9,0.0,7.97,0.0,0.0,0.0
Somerset County Council,235.34,1013.78,1201.6400000000003,8967.67,1666.01,1049.21,26.391,0.0,0.0,180.13000000000002,20.38,141.25,207.27,0.0,0.0,25.0,7.278,0.0,0.0
Tameside MBC,0.0,1898.1380000000001,0.0,4315.21,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,4.04,2300.34,0.0,0.0,0.0,0.0,0.0
Sandwell MBC,35.71,174.21,228.05,6980.56,1067.12,141.82000000000002,8.04,34.3,586.28,69.4,4.58,7.38,132.91,6544.66,0.0,37.93,147.42,782.02,0.0
Bromley LB,124.74,3105.4500000000003,233.14,7132.719999999999,1113.36,290.86,0.0,0.0,0.0,32.7,4.3,176.18,38.29,2992.58,0.0,0.0,80.28,0.0,0.0
Newham LB,5.76,132.37,257.41,337.62,787.84,160.82,25.380000000000003,23.42,0.0,0.0,2.37,909.77,42.99,3180.82,0.92,20.18,0.0,68.52,1.66
Huntingdonshire District Council,0.0,1.47,0.0,6871.400000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.97,65.53,4543.78,0.0,1.29,0.0,0.0,0.0
Hartlepool Borough Council,531.6,66.93,67.25999999999999,2383.1000000000004,357.59000000000003,100.10000000000001,0.0,19.13,0.0,0.0,1.6,152.26,18.68,1527.51,0.0,48.13,8.850000000000001,541.26,0.0
Stockton-on-Tees Borough Council,798.34,1361.49,236.91,3622.79,570.7,151.75,2.58,8.86,0.0,0.0,3.72,0.0,38.690000000000005,0.0,0.0,242.8,33.489999999999995,3461.02,0.0
Cumbria County Council,19.84,427.23,674.036,1549.46,1936.26,802.16,21.189999999999998,39.8,0.0,296.36,20.2,4.236,140.76,0.0,0.0,43.44,0.0,4016.32,36.507000000000005
Mid Devon District Council,484.58,478.329,48.425,2990.341,0.0,11.43,1.647,0.0,0.0,0.0,0.0,54.88,30.877,34.002,0.0,31.781000000000002,20.44,0.0,0.0
Brentwood Borough Council,499.89000000000004,0.0,4.095,1506.82,0.0,9.293999999999999,0.0,1.025,0.0,0.0,0.0,174.386,17.058,1652.36,35.341,0.0,0.0,0.0,0.0
Basingstoke and Deane Borough Council,1007.0899999999999,68.97,0.61,596.56,0.0,52.622,0.0,0.0,0.0,0.0,0.0,2.2030000000000003,130.333,2193.52,55.828,2.23,0.22,0.0,0.0
Wychavon District Council,55.48,41.2,2.87,1566.16,0.0,5.89,0.0,0.0,0.0,0.0,0.0,16.53,50.67,3423.84,19.47,0.0,0.0,0.0,0.0
Tonbridge and Malling Borough Council,595.21,729.71,72.07000000000001,3691.75,0.0,62.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,44.73,0.0,0.0,84.24,0.0,0.0,0.0
Wellingborough Borough Council,38.735,7.62,0.0,2077.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.274,1949.04,0.0,0.0,0.0,0.0,0.0
West Somerset District Council,301.938,465.206,38.205,506.12,0.0,0.0,0.84,0.0,0.0,0.0,0.0,4.101999999999999,5.275,0.0,6.454,56.027,0.0,0.0,0.0
Forest Heath District Council,255.99999999999997,89.345,1.03,2012.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.836,16.111,998.78,0.0,11.59,0.206,0.0,0.0
Warwickshire County Council,96.34,887.37,746.16,2373.92,2435.52,634.5999999999999,31.43,3.83,0.0,139.51,22.89,0.15,703.71,0.0,25.5,74.25999999999999,2.48,0.0,0.0
St Helens MBC,997.3,1463.3000000000002,179.10000000000002,4774.200000000001,0.0,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,200.6,7.5,0.0,0.0,173.3,0.0,1100.5,0.0
Gateshead MBC,63.040000000000006,1077.6299999999999,168.93,4131.37,746.23,223.19,3.71,4.62,0.0,55.84,3.78,13.26,70.25,2988.76,0.0,87.52000000000001,7.37,630.77,0.0
Hammersmith and Fulham LB,0.0,30.37,27.86,170.05,0.0,68.51,1.26,0.0,0.0,0.0,0.49,62.34,63.349999999999994,2900.7200000000003,0.0,2.19,0.17,0.0,0.0
Wandsworth LB,4.86,78.86,44.970000000000006,344.32000000000005,0.0,95.38000000000001,2.13,0.96,0.0,0.0,0.83,262.67,85.19,4815.77,0.0,0.77,0.3,0.0,0.0
Slough Borough Council,0.0,38.22,135.3,1704.54,271.44,50.45,3.6399999999999997,0.0,0.0,20.4,2.24,0.28,92.72999999999999,2275.22,0.0,3.14,52.62,93.98,14.17
Aylesbury Vale District Council,0.0,0.0,0.0,3396.46,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,50.31,4238.88,0.0,0.0,0.0,0.0,0.0
Peterborough City Council,74.74000000000001,116.74000000000001,151.74,4662.3,759.35,47.599999999999994,5.640000000000001,0.0,346.64,48.14,3.24,91.89999999999999,51.839999999999996,4021.39,0.0,0.0,0.0,653.14,0.0
Copeland Borough Council,382.06,525.67,60.7,2000.88,0.0,4.05,0.0,0.0,0.0,0.0,0.0,95.263,9.66,0.0,0.0,69.26,0.0,0.0,0.0
Devon County Council,235.87,1280.465,1488.609,9476.13,4858.78,1995.8500000000001,39.896,18.376,0.0,185.529,30.941,455.428,829.649,0.0,0.0,301.635,257.456,1485.284,0.0
Epping Forest Borough Council,862.57,15.665,1.32,4896.66,0.0,12.193999999999999,0.0,0.0,0.0,0.0,0.0,264.327,24.691,2520.86,14.505,0.0,0.821,0.0,0.0
Gosport Borough Council,248.24,40.83,0.0,97.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,60.9,1157.32,0.0,0.0,0.0,0.0,0.0
Malvern Hills District Council,148.57,14.18,0.1,569.12,0.0,3.57,0.0,0.0,0.0,0.0,0.0,172.83,15.93,1715.68,0.0,0.0,0.0,0.0,0.0
East Hertfordshire District Council,0.0,791.9000000000001,0.0,4159.74,0.0,4.025,0.0,0.0,0.0,0.0,0.0,0.0,17.24,2068.68,0.0,0.0,0.0,0.0,0.0
Canterbury City Council,106.50999999999999,1186.79,0.0,4902.75,0.0,10.31,0.0,0.0,0.0,0.0,0.0,0.0,26.592000000000002,1788.1000000000001,0.0,0.0,0.0,0.0,0.0
Blackpool Borough Council,86.24,1187.1200000000001,108.92500000000001,2542.82,529.56,174.76399999999998,4.28,0.0,119.76,18.94,1.48,14.39,64.92,1496.54,31.188,31.94,10.232,153.74,4.88
Leicestershire County Council,99.46,969.478,1198.1100000000001,6064.08,0.0,1077.114,35.983000000000004,0.0,0.0,350.02,26.842,11.888,232.065,0.0,24.244,28.032,0.0,0.0,0.0
Blaby District Council,76.046,91.905,11.201,2435.635,0.0,6.884,1.707,0.0,0.0,0.0,0.0,212.364,101.89800000000001,2187.06,28.502,7.5329999999999995,0.0,0.0,0.185
Broxtowe Borough Council,482.82000000000005,4.470000000000001,1.88,1273.58,0.0,6.0,0.0,0.0,0.0,0.0,0.0,235.64,7.5,1824.72,0.0,0.0,0.3,0.0,0.0
Suffolk Coastal District Council,951.53,13.75,141.23,4544.0599999999995,23.35,3.0,2.62,0.5,0.0,3.48,0.0,498.86,24.235999999999997,2377.04,0.0,0.0,0.426,0.0,0.0
Stratford-on-Avon District Council,2.1319999999999997,1.805,0.0,5873.31,0.0,9.67,0.0,0.0,0.0,0.0,0.0,200.75,4.323,3476.5980000000004,0.0,0.0,0.0,0.0,0.0
Sunderland City Council,0.0,159.38,115.32,5451.75,855.13,169.61,0.9100000000000001,7.73,0.0,62.96,2.98,79.83000000000001,37.42999999999999,4692.740000000001,0.0,63.03,21.450000000000003,1136.94,0.0
Kirklees MBC,1366.0,314.0,303.0,5461.0,1316.0,342.0,9.0,26.0,0.0,152.0,6.0,40.0,50.0,5767.0,0.0,21.0,1.0,3267.0,16.0
Wycombe District Council,0.0,1606.8,0.0,5446.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1847.23,0.0,0.0,0.0,0.0,0.0
Portsmouth City Council,608.4399999999999,186.51,242.76000000000002,1513.43,0.0,153.10999999999999,5.24,0.0,0.0,49.47,3.4,149.08,102.51,2196.52,0.0,1.11,0.0,1148.17,0.0
Stevenage Borough Council,463.68,757.59,0.0,1904.54,0.0,4.9110000000000005,0.0,0.0,0.0,0.0,0.0,0.0,15.670000000000002,216.37,0.0,0.0,0.0,0.0,0.0
Gravesham Borough Council,234.336,15.11,1.9,1373.04,0.0,17.93,1.42,0.0,0.0,0.0,0.0,0.0,17.4,1427.42,0.0,0.0,0.0,0.0,0.0
Hinckley and Bosworth Borough Council,38.61,1108.265,3.59,4150.172,0.0,7.872,0.0,0.0,0.0,0.0,0.0,281.359,48.54,1265.14,0.0,0.0,0.0,0.0,0.0
Broadland District Council,614.17,103.921,0.0,3820.7999999999997,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.068,48.47,2099.4199999999996,0.0,4.199,1.0,0.0,0.0
Northamptonshire County Council,82.97,859.82,947.2799999999999,4711.049999999999,0.0,927.24,38.38,11.14,0.0,274.46,29.84,477.64,148.3,0.0,0.0,323.83000000000004,0.29,4092.0,130.2
Lichfield District Council,2.0869999999999997,3.61,0.0,3573.6099999999997,0.0,3.47,0.0,0.0,0.0,0.0,0.0,199.4,15.458,2871.91,0.0,0.0,0.0,0.0,0.0
Elmbridge Borough Council,0.0,3.44,0.0,3072.66,0.0,7.564,0.0,0.0,0.0,0.0,0.0,19.0,18.18,3541.91,0.0,0.0,0.59,0.0,0.0
City of London,0.0,0.0,0.0,26.23,0.0,3.24,0.0,0.0,0.0,0.0,0.0,81.88,3.37,250.87,0.0,0.0,0.0,0.0,0.0
Royal Borough of Kensington and Chelsea,0.0,40.58,35.120000000000005,350.64,0.0,66.9,1.69,0.18,0.0,0.0,0.66,51.5,36.56,4183.2699999999995,0.0,0.61,0.24,0.0,0.0
Darlington Borough Council,498.82,677.7,69.81,1146.2800000000002,357.79999999999995,62.916,0.0,3.04,0.0,2.68,0.0,0.0,46.397,0.0,64.502,27.085,0.74,580.08,0.0
Winchester City Council,426.54,6.09,0.0,1376.74,0.0,5.36,0.0,0.0,0.0,0.0,0.0,0.0,59.61,1845.63,0.0,0.0,0.0,0.0,0.0
Shepway District Council,158.305,1221.739,0.0,2451.32,0.0,4.16,0.882,0.0,0.0,0.0,0.0,0.0,19.005,1455.38,0.0,0.0,0.0,0.0,0.0
Oadby and Wigston Borough Council,259.52,609.52,53.760000000000005,1174.276,0.0,2.9669999999999996,0.0,0.0,0.0,0.0,3.84,132.13,33.053,0.0,0.0,113.52,0.0,0.0,0.0
South Norfolk Council,553.863,19.52,0.02,2664.82,0.0,10.54,0.58,1.14,0.0,0.0,0.0,1.06,50.666999999999994,2195.36,0.0,0.0,0.62,0.0,0.0
Kettering Borough Council,4.523,555.6999999999999,8.0,2808.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.136,1797.25,0.0,3.08,0.0,0.0,0.0
Nottinghamshire County Council,314.22,903.1,1053.8899999999999,8921.39,3867.12,927.12,30.369999999999997,10.99,0.0,366.15000000000003,22.36,0.0,216.8,0.0,0.0,26.8,0.0,4737.85,0.0
Staffordshire Moorlands District Council,47.28,464.20000000000005,0.0,3951.98,0.0,2.3299999999999996,0.0,0.0,0.0,0.0,0.0,381.2,7.879999999999999,1513.3500000000001,7.11,0.0,0.0,0.0,0.0
Reigate and Banstead Borough Council,0.0,1898.0,0.0,3417.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0,0.0,52.900000000000006,1515.0,0.0,0.0,0.0,0.0,0.0
Chichester District Council,0.0,166.34,0.0,1336.3799999999999,0.0,12.92,0.0,0.0,0.0,0.0,0.0,0.0,8.21,3226.2,0.0,0.0,0.0,0.0,0.0
Merseyside WDA (MBC),122.09,1000.67,1793.71,7147.41,7425.58,1328.73,47.82,84.9,0.0,420.44,22.89,318.64,1475.76,231.0,0.0,760.25,880.2399999999999,10191.890000000001,97.32
Croydon LB,50.28,2508.1299999999997,300.62999999999994,7562.56,1179.72,372.21,8.72,6.28,0.0,77.68,1.65,2.48,165.85000000000002,2774.24,0.0,147.83,24.08,2169.6,0.0
Richmond upon Thames LB,0.0,2742.5600000000004,196.24,3150.38,19.64,147.37,4.12,0.0,0.0,32.98,1.5,30.32,125.53,2048.87,25.0,0.0,39.06,700.32,0.0
Warrington Borough Council,14.692,221.84400000000002,229.88,5943.790000000001,914.58,208.76599999999996,3.953,0.0,0.0,40.04,4.4,53.36,151.665,4723.94,4.708,40.94799999999999,47.286,594.488,0.0
Amber Valley Borough Council,783.4399999999999,13.36,0.243,1459.74,0.0,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967.82,5.72,0.43,0.0,0.0,0.0
Castle Point Borough Council,531.3309999999999,5.356,0.55,2389.38,0.0,4.57,0.0,0.0,0.0,0.0,0.0,68.1,19.529,1816.98,3.732,0.65,0.0,0.0,0.0
Thurrock Council,7.6,54.66,91.51,3884.47,740.7,77.865,2.284,13.46,217.16,32.08,4.79,8.9,15.16,2907.02,0.0,0.0,0.0,602.1,6.364
East Hampshire District Council,847.0799999999999,4.64,0.048,430.19,0.0,5.9799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,56.25,1978.23,0.0,0.05,0.0,0.0,0.0
Hertfordshire County Council,144.24,1443.51,1883.537,3664.52,3140.13,1460.5,62.62,46.428,0.0,205.14,37.3,141.962,318.17400000000004,77.54,0.0,391.92999999999995,0.42,3024.03,0.0
Tunbridge Wells Borough Council,595.21,1485.7,8.87,3339.36,0.0,8.12,0.0,0.0,0.0,0.0,0.0,2.77,20.848,276.23,0.0,0.0,0.0,0.0,0.0
Fylde Borough Council,27.9,903.3299999999999,0.0,2326.12,0.0,7.09,1.537,0.0,0.0,0.0,0.0,0.0,17.55,935.56,14.950000000000001,0.0,0.225,0.0,0.0
Blackburn with Darwen Borough Council,40.2,162.06,187.92,2136.73,0.0,179.97,6.07,5.49,0.0,87.46,2.45,19.27,100.86,3451.0,0.0,85.46,41.08,0.0,0.0
Lincoln City Council,32.870000000000005,13.809999999999999,0.093,1880.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.62,35.067,2028.08,0.918,0.0,10.190000000000001,0.0,0.0
Craven District Council,5.81,625.442,3.36,1026.08,0.0,3.225,0.0,0.0,0.0,0.0,0.0,0.0,15.163,874.68,0.0,0.0,1.926,0.0,0.0
Tandridge District Council,4.88,63.99,0.15,1540.46,0.0,5.92,0.0,0.0,0.0,0.0,0.0,0.0,34.56,2221.9,0.0,0.44,0.0,0.0,0.0
Worthing Borough Council,0.0,26.43,0.0,1444.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98,2188.26,0.0,0.0,0.0,0.0,0.0
Sefton MBC,1544.3600000000001,1667.6499999999999,354.61,7097.79,0.0,29.810000000000002,0.0,0.0,0.0,0.0,0.0,0.0,54.36,1641.26,0.0,15.23,1.85,0.0,0.0
Newcastle-upon-Tyne City Council MBC,0.0,162.55,150.2,3733.5,992.0,194.87,1.5999999999999999,7.44,0.0,58.0,4.44,12.0,30.75,4737.67,0.0,0.0,0.0,1459.0,0.0
Harrow LB,0.0,0.0,178.7,6290.2,24.89,187.1,5.1,0.0,0.0,44.8,4.0,8.1,166.34999999999997,4456.7,0.0,0.0,54.3,0.0,0.0
South Bucks District Council,0.0,465.51899999999995,0.0,1261.37,0.0,11.22,0.0,0.0,0.0,0.0,0.0,0.0,39.123000000000005,1240.116,0.0,0.0,0.0,0.0,0.0
Erewash Borough Council,0.0,0.0,0.0,3420.5099999999998,0.0,30.150000000000002,0.0,0.0,0.0,0.0,0.0,0.0,3.59,2768.2,0.0,0.0,0.0,0.0,0.0
Plymouth City Council,521.58,487.41,354.32000000000005,3117.03,1478.04,401.08,8.95,2.98,0.0,119.28,6.840000000000001,261.58,112.53999999999999,3970.77,3.13,18.369999999999997,0.0,2021.82,0.0
Brighton and Hove Council,1605.3400000000001,267.84999999999997,204.13,1225.98,310.52,304.4800000000001,6.11,3.0,192.666,59.32,5.9399999999999995,64.05999999999999,141.577,2897.95,0.0,2.0,4.326,667.43,0.76
Harlow District Council,0.0,2.351,0.0,866.94,0.0,8.439,0.017,0.0,0.0,0.0,0.0,206.42499999999998,19.715,1978.231,0.0,0.0,0.0,0.0,0.0
Hart District Council,757.04,44.64,0.0,801.23,0.0,7.085,0.0,0.0,0.0,0.0,0.0,0.0,63.572,1537.15,0.0,0.0,0.0,0.0,0.0
Hertsmere Borough Council,18.815,632.7040000000001,0.141,2783.46,0.0,3.314,0.0,0.0,0.0,0.0,0.0,0.0,9.108,1370.46,0.0,0.376,0.0,0.0,0.0
Preston City Council,6.35,1273.36,15.92,2734.28,0.0,15.59,0.0,0.0,0.0,0.0,0.0,93.4,13.041,1313.0,49.4,0.0,0.0,0.0,0.0
West Lindsey District Council,7.426,31.419999999999998,4.676,4237.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.24,33.532,2373.53,0.0,0.0,6.92,0.0,0.0
Selby District Council,556.17,767.76,74.56,3255.09,0.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,19.22,0.0,0.0,183.36,1.02,0.0,0.0
Gedling Borough Council,683.94,25.689999999999998,2.8,1445.92,0.0,12.032,0.0,0.0,0.0,0.0,0.0,256.84000000000003,12.729999999999999,1975.8600000000001,0.0,0.77,0.0,0.0,0.0
Staffordshire County Council,77.29,840.58,828.3299999999999,3830.24,1039.08,1053.77,43.19,73.76,0.0,134.34,29.57,95.22,670.99,0.0,3.71,231.73,253.56,5182.88,177.17
Bolton MBC,5.084,2466.548,0.907,5306.92,0.0,0.34,0.0,0.0,0.0,0.0,0.0,1.765,16.141,2567.6600000000003,9.468,0.0,0.0,0.0,0.0
