,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Torridge District Council,515.07,641.095,67.07800000000002,2083.728,0.0,15.872000000000002,0.38,0.0,0.0,0.0,0.0,8.184000000000001,19.971,0.0,8.038,79.35399999999998,0.0,0.0,0.0
Chelmsford Borough Council,1014.74,1585.13,128.32,6320.49,0.0,7.54,0.0,0.0,0.0,0.0,0.0,154.234,10.24,0.0,0.0,387.78,0.0,0.0,0.0
Eastleigh Borough Council,852.65,18.39,0.0,1756.79,0.0,2.7399999999999998,1.31,0.0,0.0,0.0,0.0,0.0,92.44,1890.61,0.0,0.0,0.0,0.0,0.0
Herefordshire Council,54.9,213.57,481.11,2968.8,882.54,155.45,10.42,18.38,0.0,68.9,3.98,0.3,26.76,4248.2,7.8740000000000006,2.73,0.07,1736.08,0.0
Broxbourne Borough Council,496.29,663.98,8.22,2569.76,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,24.59,278.37,0.0,0.0,0.0,0.0,0.0
Kent County Council,366.4,1761.8799999999999,2585.1000000000004,10955.06,6952.75,1649.1799999999998,95.69999999999999,8.06,0.0,358.22,36.15,8.14,406.64,0.0,0.0,0.0,1.11,9981.36,0.0
Ashfield District Council,597.4399999999999,7.05,0.0,1624.4,0.0,8.602,0.0,0.0,0.0,0.0,0.0,196.76,8.95,1895.18,0.0,15.19,0.0,0.0,0.0
Mid Suffolk District Council,1122.067,198.00300000000001,6.33,3087.3799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.904,42.582,3452.93,0.0,0.0,1.577,6.53,0.0
Nuneaton and Bedworth Borough Council,45.17,1063.862,12.67,3903.44,0.0,8.546,0.0,0.0,0.0,0.0,0.0,86.969,11.191,1371.94,0.0,0.0,0.0,0.0,0.0
Wirral MBC,21.003,12.925,0.0,4180.96,0.0,26.41,0.0,0.0,0.0,0.0,0.0,0.0,78.343,7149.71,0.0,1.352,1.602,0.0,0.0
North Tyneside Council,104.45999999999998,207.31999999999996,198.10000000000005,4274.48,907.3399999999999,187.38000000000002,9.06,10.39,0.0,60.5,0.0,2.3,60.989999999999995,3732.4,50.27,28.779999999999998,0.0,1466.36,0.0
Bradford City MDC (MBC),181.0,2738.0,230.0,6801.0,1227.0,445.0,11.0,23.0,295.0,94.0,0.0,0.0,383.0,2180.0,91.0,0.0,69.0,1440.0,27.0
Western Riverside Waste Authority,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.18,0.0
West London Waste Authority,0.0,11.72,0.0,206.22,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46,0.0,0.0
Redbridge LB,707.4,2112.8,267.09999999999997,3371.5,608.0,169.7,2.9,4.0,0.0,0.0,3.1999999999999997,788.6,64.0,0.0,1.6,295.1,0.0,77.8,2.9
Wokingham Council,737.9,214.29999999999998,329.63,3448.4700000000003,728.09,355.6,14.399999999999999,9.6,292.69,92.31,7.11,6.58,158.99,2411.64,0.0,22.94,8.871,1080.57,55.99
South Lakeland District Council,212.98,333.38,12.44,3602.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.969,0.0,1431.06,0.0,107.18,0.0,0.0,0.0
Torbay Council,955.5999999999999,1269.9699999999998,239.23000000000002,3101.6900000000005,435.72,159.72000000000003,4.56,4.65,0.0,8.88,5.659999999999999,0.0,56.64,354.52,24.55,234.12,0.0,156.26,0.2
Maldon District Council,366.90000000000003,627.1370000000001,0.8,1784.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.301,177.68,0.0,0.0,0.455,0.0,0.0
Havant Borough Council,506.83899999999994,28.037,3.829,644.54,0.0,4.86,0.0,0.0,0.0,0.0,0.0,0.0,81.281,1994.72,0.0,18.59,0.0,0.0,0.0
North Hertfordshire District Council,79.79,1086.07,1.17,4459.0,0.0,12.53,0.0,0.0,0.0,0.0,0.0,0.0,8.06,2190.72,0.0,0.0,0.0,0.0,0.0
Dover District Council,0.0,1079.454,0.0,1599.28,0.0,4.17,1.223,0.0,0.0,0.0,0.0,0.0,18.193,1314.93,0.0,0.0,0.0,0.0,0.0
Charnwood Borough Council,93.108,61.56,0.0,3595.67,0.0,0.5,0.0,0.0,0.0,0.0,0.0,103.301,58.674,4346.12,3.851,0.0,0.0,0.0,0.0
Norfolk County Council,480.35,670.9630000000001,1026.3459999999998,8353.91,761.049,1769.812,55.485,9.46,0.0,110.1,37.194,249.983,179.292,0.0,0.0,83.46,4.026,3397.26,0.0
Mansfield District Council,205.66,12.489999999999998,1.38,2094.38,14.7,0.0,0.0,0.0,0.0,0.0,0.0,457.25,18.27,1820.16,0.0,0.0,0.0,0.0,0.0
Cannock Chase Council,3.3259999999999996,5.239,0.0,2844.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.37,11.311,2685.22,0.0,0.0,0.0,0.0,0.0
Swindon Borough Council,1212.46,2005.1000000000001,602.53,2760.74,1073.67,296.97,12.83,0.0,86.04,36.34,7.87,0.0,42.959999999999994,0.0,37.04,449.5,1.18,2154.6,0.0
Wakefield City MDC,152.73000000000002,3254.84,275.16999999999996,8779.56,1286.24,400.3499999999999,10.4,31.28,0.0,130.07,9.749999999999998,1.6600000000000001,191.49,3025.93,0.0,68.77,13.41,142.91,7.5
Camden LB,0.0,75.03,52.27,958.46,290.66,108.69999999999999,3.14,0.0,0.0,29.49,0.0,183.31,171.05,4616.6,12.690000000000001,1.2,0.26,309.94,0.26
Westminster City Council,1170.6,619.5200000000001,0.0,368.34,0.0,78.68,0.13,0.0,0.0,0.0,0.0,0.0,77.23,4837.419999999999,0.0,0.0,0.0,0.0,0.0
Exeter City Council,555.4499999999999,198.5,12.59,826.6,0.0,5.82,0.0,0.0,0.0,0.0,0.0,35.09,65.8,1752.61,41.3,11.790000000000001,0.99,0.0,0.0
Southampton City Council,1052.91,180.9,354.16999999999996,2585.1499999999996,0.0,189.34000000000003,14.26,0.0,0.0,80.08,4.15,198.07,91.89999999999999,2694.13,0.0,19.27,0.0,1294.48,0.0
Watford Borough Council,4.98,9.31,0.0,1727.66,0.0,5.99,0.0,0.0,0.0,0.0,0.0,0.0,5.15,1884.78,0.0,0.0,0.0,0.0,0.0
North Lincolnshire Council,909.5179999999999,1087.3999999999999,526.397,6732.94,930.31,320.01,9.511,3.29,0.0,17.86,8.14,75.50200000000001,130.68900000000002,996.5010000000001,31.896,134.254,83.643,1253.58,1.26
Melton Borough Council,0.0,5.042,0.0,1094.04,0.0,5.32,0.0,0.0,0.0,0.0,0.0,87.012,16.097,1438.18,0.0,0.0,0.0,0.0,0.0
North Norfolk District Council,647.16,0.0,0.0,2543.59,0.0,5.4399999999999995,0.0,0.28,0.0,0.0,0.0,0.0,18.679,2048.04,0.0,0.0,0.907,0.0,0.0
Ryedale District Council,429.29999999999995,562.36,103.07,1804.61,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,26.52,0.0,0.0,66.0,1.13,0.0,0.0
Daventry District Council,533.25,781.2,85.99,3409.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,9.8,159.7,0.0,0.0,0.0
Stafford Borough Council,0.0,776.58,0.0,4505.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.04,1.02,2538.34,0.0,0.0,0.0,0.0,0.0
Guildford Borough Council,66.38,245.02999999999997,0.79,3633.26,0.0,23.659999999999997,1.49,0.0,0.0,0.0,0.0,16.0,32.39,3628.3,0.0,1.08,0.0,0.0,0.0
Adur District Council,0.0,41.32,0.0,617.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,1466.68,0.0,0.0,0.0,0.0,0.0
Haringey LB,2.54,104.86,87.92999999999999,2096.96,584.93,194.37,0.24,2.94,0.0,68.3,0.9,174.91,118.79,5353.03,48.71,14.1,0.0,882.5,5.5
Bristol City Council,2551.58,4028.13,773.98,6359.78,1798.71,364.4200000000001,13.690000000000001,14.899999999999999,0.0,66.24,9.6,0.0,164.96,0.0,0.0,1146.22,122.52,2210.5299999999997,0.0
Council of the Isles of Scilly,39.02,0.0,15.399999999999999,0.0,0.0,11.02,0.0,2.0300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.89,0.0
Teignbridge District Council,1064.4,852.093,169.16,4204.084000000001,8.84,10.457999999999998,1.621,0.0,0.0,0.0,0.0,122.4,87.141,0.0,20.345,235.311,2.386,0.0,0.0
