Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Rutland County Council,50.44,84.2,76,23.9,2131.48,190.66,100.26,2.96,3.48,0,10.5,0,1.04,15.48,1073.42,2.96,49.94,333.04,4.67
Kings Lynn and West Norfolk Borough Council,0,5.29,0,0,3899.08,0,16.62,0,4.69,0,0,0,0,69.21,3741.2,0,0,0,0
Northampton Borough Council,1261.3,1816.73,329.51,455.03,6118.24,0,0,0,0,0,0,0,49.27,30.78,384.97,6.72,0,0,0
Vale of White Horse District Council,0,4.551,0,0,4334.48,0,2.85,0,0,0,0,0,0,45.644,3549.87,0,0,0,0
Sedgemoor District Council,693.001,1121.635,138.493,237.48,2462.75,0,0,0.86,0,0,0,0,57.565,40.773,0,17.669,0,0,0
Suffolk County Council,544.28,844.685,1560.406,570.76,4315.935,3940.98,1564.558,47.123,0,0,103.92,26.776,56.206,229.83,0,22.351,3.484,1106.38,0
Wigan MBC,15.8,2913.19,452.74,165.91,7799.27,1727.81,405.68,19.19,14.86,0,54.7,8.72,50.47,400.35,4339.18,0,267.62,2517.48,55.09
Knowsley MBC,13.88,0,3,0,2835.8,0,17.61,0,0,0,0,0,0,25.18,3083.92,0,0.95,0,0
Walsall MBC,0,147.76,245.51,38.46,8088.16,1246.98,232.982,14.85,11.34,0,92.58,5.74,0,52.64,5594.96,0,4.94,888.52,0
Islington LB,0,93.59,87.78,19.98,1270.1,391.3,125.95,3.28,2.18,0,27.9,0.42,0,101.63,3582.71,31.62,0.34,367.7,0
West Berkshire District Council,1089.1,2309.81,400.09,16.11,7239.09,1131.03,403.33,17.73,20.14,0,84.42,9.56,2.37,86.38,339.62,27.89,1.44,1269.2,32.73
Middlesbrough Borough Council,31.97,79.441,112.804,10.87,3191.448,375.768,168.282,2.205,9.927,373.176,27.612,2.052,0,8.854,2382.159,0,10.701,612.477,0
Barrow-in-Furness Borough Council,0,186.6,0,0,1230.8,0,0,0,0,0,0,0,0,0,908.32,0,0,0,0
Torridge District Council,24,20.07,1.68,0,2030.76,0,2.655,0,0,0,0,0,0,4.14,1146.786,9.365,0,0,0
Chelmsford Borough Council,1029.46,1589.19,147.84,280.56,7098.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastleigh Borough Council,858.82,0,0,0,2113.49,0,3.12,1.53,0,0,0,0,0,87.72,1890.15,0,0,0,0
Herefordshire Council,53.48,249.66,678.28,1.7,2739.12,958.42,157.787,16.02,0,0,86.52,10.03,0.465,31.56,4759.26,39.202,20.078,2073.24,0
Broxbourne Borough Council,497.66,861.24,0,0,2372.98,0,7.365,0,0,0,0,0,0,26.77,393.88,0,0,0,0
Kent County Council,374.49,1746.78,2574.3,0,11163.16,9445.09,2190.69,88.05,11.04,0,514.37,41.48,6.99,376.94,0,0,0.2,11422.07,0
Ashfield District Council,659.29,7.13,0,18.91,3316.41,0,13.462,0,0,0,0,0,0,10.49,2093,0,0,0,0
Mid Suffolk District Council,1029.32,138.389,30.75,0,3909.3,0,0,0,0,0,0,0,1.84,34.786,3479.02,0,0,8,0
Nuneaton and Bedworth Borough Council,15.669,935.9,17.47,0,4141.1,0,14.24,0,0,0,0,0,0,55.715,1313.96,0,0,0,0
Wirral MBC,17.83,2.84,0,0,4300.56,0,49.29,0,0,0,0,0,0,133.01,7070.76,0,0.814,0,0
North Tyneside Council,1144.26,204.07,231.9,15.26,3961.42,989.22,236.91,6.72,14.58,0,64.28,2.12,0,128.03,2499.35,20.25,0,1610.5,0
Bradford City MDC (MBC),149,2971.3,433,0,5841,1925,546.4,17.6,24,0,125,5.9,0,524.1,2557.4,79.9,83,1553,16.9
Western Riverside Waste Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.5,0
West London Waste Authority,0,8.04,0.38,0,128.42,1208.02,0,0,0,0,0,0,0,0,0,0,13.68,0,0
Redbridge LB,10.03,150.56,203.1,46.81,3570,642.14,210.58,6.38,3.42,0,17,3.94,82.7,59.52,2925,1.46,0,379,1.1
Wokingham Council,748.19,242.25,465.06,22.32,4067.97,0,415.5,19.8,17.09,452.04,132.03,11.51,4.53,164.11,2249.58,0,4.16,1305.77,58.12
South Lakeland District Council,612.8,1217.62,88.74,189.7,3357.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torbay Council,971.91,1173.88,354.44,223.72,3282.85,639.12,260.3,6.62,6.16,0,12.52,5.48,0,46.57,442.15,3.43,0,243.68,0
Maldon District Council,408.248,655.944,0,0,2336.25,0,0,0,0,0,0,0,0,20.681,180.169,0,0.238,0,0
Havant Borough Council,468.66,0,9.4,24.42,900.52,0,3.88,0,0,0,0,0,0,60.156,1921.04,0,0,0,0
North Hertfordshire District Council,0,980.53,0,0,4993.76,0,7.85,0,0,0,0,0,0,6.73,2418.98,0,0,0,0
Dover District Council,0,1124.08,0,0,1425.07,0,7.51,0,0,0,0,0,0,12.98,1498.48,0,0,0,0
Charnwood Borough Council,74.755,41.59,0.668,0.181,4240.52,0,81.412,1.64,0,0,0,0,4.465,79.806,4364.338,50.562,0,0,0
Norfolk County Council,269.8,714.84,1358.753,190.28,7181.64,855.64,1825.25,69.309,10.36,0,151.92,40.335,317.562,149.795,0,0,1.23,1845.82,1.079
Mansfield District Council,229.34,16.36,2.38,0,2207.83,10.1,0,0,0,0,0,0,12.6,23.17,1762.26,0,0,0,0
Cannock Chase Council,1.45,0.88,0,0,2710.28,0,0,0,0,0,0,0,0,17.58,2599.42,0,0,0,0
Swindon Borough Council,1079.29,2021.25,746.64,474.41,3109.04,1533.28,300.13,21.56,19.68,47.32,87.26,0,0,34.81,0,49.66,0,2178.16,0
Wakefield City MDC,58.68,306.79,426.42,167.13,9481.62,1728.11,459.68,15.35,36.2,0,132.86,9,18.82,390.15,6656.38,0,0,219.96,31.8
Camden LB,0,84.78,64.92,7.48,1183.38,314.38,112.93,1.08,0,0,45.41,1.2,160.02,174.16,4197.48,1.9,0.21,318.14,0.75
Westminster City Council,1293.58,571.42,0.38,0,631.36,0,104.57,0.46,0,0,0,0,0,88.99,5495.88,0,0,0,0
Exeter City Council,520.06,183.63,0.342,0,844.86,0,2.835,0,0,0,0,0,0,12.02,1912.82,31.66,1.49,0,0
Southampton City Council,1108.99,147.32,441.99,48.58,2452.11,199.94,163.98,12.5,0,230.71,70.28,3.64,94.15,84.45,2775.02,0,0,878.49,0
Watford Borough Council,0,5,0,0,1951.65,0,10.086,0,0,0,0,0,0,4.46,1981.73,0,0,0,0
North Lincolnshire Council,903.179,1161.379,577.077,136.3,6666.12,1148.9,387.772,17.411,5.655,0,30.6,9.928,151.098,306.796,1106.932,32.457,3.907,819.04,1.26
Melton Borough Council,0,0,0,0,1427.56,0,5.895,0,0,0,0,0,0,19.956,1393.68,0,0,0,0
North Norfolk District Council,0,0,0,0,2605.28,0,3.48,0,1.58,0,0,0,0,11.106,2282.66,0,0,0,0
Ryedale District Council,484.72,518.23,112.24,73.24,1883.92,0,11.25,0,0,0,0,0,0,24.26,0,0,1.21,0,0
Daventry District Council,347.01,619.67,116.75,161.23,3794.16,0,0,0.23,0,0,0,0,3.12,0.57,367.87,6.49,0,0,0
Stafford Borough Council,0,558.5,6.24,0,5072.34,0,0,0,0,0,0,0,0,0.06,2636.14,0,0,0,0
Guildford Borough Council,42.38,180,0,0,4233.48,0,0,0,0,0,0,0,0,0,3627.74,0,0,0,0
Adur District Council,0,43.12,0,0,759.88,0,2.77,0,0,0,0,0,0,13.9,1317.46,0,0,0,0
Haringey LB,2.84,113.81,116.95,8.44,2636.38,636.72,146.08,0,6.2,0,60.7,3,0,133.69,4667.97,10.6,0,602.96,2.63
Bristol City Council,2675.01,3963.61,846.2,1149.06,7233.23,1960.14,370.58,7.22,16.18,0,57.98,7.18,9.82,252.8,0,7.8,0,2719.15,0
Council of the Isles of Scilly,38.68,0,19.22,0,14.11,0,6.76,0,0.03,0,0,1.94,0,2.327,0,0,0,0,0
Teignbridge District Council,950.26,1426.23,192.683,352.632,3548.49,15.78,8.64,1.324,0,0,0,0,1.012,96.2,0,25.184,2.551,0,0
Braintree District Council,678.53,70.54,0,0,5702.3,0,0,0,0,0,0,0,167.52,18.41,2533.28,0.255,0,0,0
Essex County Council,417.44,1629.405,1757.804,21.19,9365.62,8652.27,1287.863,38.073,57.134,0,430.46,63.32,0,238.37,0,119.193,0.096,0,33.302
Hampshire County Council,737.75,1795.44,4713.4,165.07,18703.99,1748.8,1569.8,135.86,0,2237.07,520.94,67.84,1228.29,400.4,0,0,0,8518.01,0
Thanet District Council,55.82,1192,14.44,0,1897.58,0,15.53,0,0,0,0,0,0,17.65,1187.38,0,0,0,0
Burnley Borough Council,14.62,575.24,0,0,1166.6,0,4.06,0,0,0,0,0,0,6.81,737.52,13.17,0,0,0
