Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Adur District Council,346,394,Collection,40,3722.414554,28110,1992.845445,5715.26,1277.9454449999998,714.9,5715.26,63429
Allerdale Borough Council,40,273,Collection,40,5654.37163,46510,5002.408369,10656.78,2020.134446,2982.273922,10656.78,96660
Amber Valley Borough Council,104,197,Collection,40,7900.06,56140,4312.85,12212.91,2641.37,1671.48,12212.91,124069
Arun District Council,345,55,Collection,40,8261.56,73210,5758.54,14020.1,3515.86,2242.68,14019.5,155732
Ashfield District Council,139,351,Collection,40,7349.68,54720,6305.126,13654.806,2414.526,3890.6,13654.806,123574
Ashford Borough Council,320,82,Collection,40,5159.58,52400,5883.66,11043.24,3020.27,2863.39,11043.24,124250
Aylesbury Vale District Council,283,144,Collection,40,7770.653814,77630,7799.078184999999,15569.732,3790.5511850000003,4003.7,15522.878,188707
Barking and Dagenham LB,242,413,Collection,40,16464.6433,74350,5932.076699,22396.72,3115.936475,2810.9502239999997,22378.04,201979
Barnet LB,250,232,Collection,40,23072.99,146080,15319.16,38392.15,8565.31,6617.46,38249.83,379691
Barrow-in-Furness Borough Council,39,343,Collection,40,4772.75,33520,2452.65,7225.4,1067.35,1385.3,7225.4,67515
Basildon District Council,206,325,Collection,40,9855.033741,77370,10725.583258,20580.617,4715.316656,6000.0796009999995,20570.43,181721
Basingstoke and Deane Borough Council,304,130,Collection,40,10847.95,73550,3983.6,14831.55,3189.67,719.5,14757.08,173856
Bassetlaw District Council,138,14,Collection,40,8785.97,51450,2163.26,10949.23,1977.47,185.79,10944.45,114533
Blaby District Council,114,155,Collection,40,4916.322505,41060,5087.6994939999995,10004.021999999999,2462.994494,2602.91,9979.357,96544
Bolsover District Council,103,274,Collection,40,4543.349,35240,4447.784000000001,8991.133,1785.911,2653.6,8982.86,77780
Bolton MBC,51,230,Collection,40,13386.218,123630,11646.378999999999,25032.597,5166.719,6474.46,25027.397,281619
Boston Borough Council,122,407,Collection,40,4445.89,29050,3154.91,7600.8,1333.97,1820.94,7600.8,66902
Braintree District Council,205,402,Collection,40,7047.604953,63680,8110.9120459999995,15158.517,3200.641046,4863.04,15111.288,150360
Breckland Council,225,101,Collection,40,7972.053137999999,59520,5610.946861,13583.0,2862.254524,2748.692336,13583.0,135480
Brent LB,265,301,Collection,40,16226.41,117730,8978.23,25204.64,5229.49,3748.74,25166.16,324012
Brentwood Borough Council,204,129,Collection,40,3842.254061,32900,3368.1889380000002,7210.443,1867.0219379999999,1465.9,7175.1759999999995,76057
Broadland District Council,224,170,Collection,40,5634.285057,56300,6863.360942,12497.646,2856.0399420000003,4006.466,12496.791000000001,126628
Bromsgrove District Council,149,244,Collection,40,5177.6866039999995,40500,5130.245395,10307.931999999999,2559.754551,2530.631843,10268.072,95768
Broxbourne Borough Council,217,349,Collection,40,5410.06,40130,4217.91,9627.97,1814.98,2388.64,9613.68,96217
Broxtowe Borough Council,137,156,Collection,40,6328.383971,49720,4720.592028,11048.976,2114.134028,2591.21,11031.708,112253
Burnley Borough Council,64,406,Collection,40,4818.89,40740,3004.5,7823.39,1576.6,1416.6,7812.09,87371
Bury MBC,50,300,Collection,40,7750.88,82850,9482.19,17233.07,3920.23,5561.96,17233.07,187884
Cambridge City and South Cambs Councils,711,553,Collection,40,14416.513062,118850,13150.786937,27567.3,4346.19332,8804.593616,27555.64,285795
Camden LB,249,379,Collection,40,14013.413836000002,107190,4848.868163,18862.282,3635.3781630000003,1083.96,18732.752,241059
Cannock Chase Council,166,376,Collection,40,4948.91,42330,5416.7,10365.61,2316.23,3077.83,10342.97,98535
Canterbury City Council,319,152,Collection,40,7881.6868620000005,66340,6433.7921369999995,14315.479,2614.313393,3819.4787439999996,14315.479,159965
Carlisle City Council,38,76,Collection,40,6136.36,51200,5658.876,11795.236,2078.73,3573.56,11788.65,108155
Castle Point Borough Council,203,199,Collection,40,4085.0190000000002,38200,4359.142,8444.161,2033.306,2320.16,8438.485,89173
Charnwood Borough Council,113,372,Collection,40,7900.036,72050,8684.982999,16585.019,4295.663,4324.706,16518.525,176720
Chelmsford Borough Council,202,346,Collection,40,10092.0,73000,9144.64,19236.64,3053.32,6091.32,19236.64,172638
Cheltenham Borough Council,383,29,Collection,40,6415.0,54670,6450.2880000000005,12865.288,2911.539,3366.24,12692.278,116781
Cherwell District Council,326,51,Collection,40,6632.857227,61700,9927.012772,16559.87,3661.67,6265.342772,16559.87,145550
Chesterfield Borough Council,102,3,Collection,40,5584.214,49130,5698.304,11282.518,2109.771,3569.66,11263.646,104407
Chichester District Council,344,189,Collection,40,6216.2569189999995,56180,4709.02308,10925.28,3074.52308,1634.5,10925.28,116976
Chorley Borough Council,63,65,Collection,40,6041.54,49360,6455.01,12496.55,2529.69,3914.81,12486.04,112969
Colchester Borough Council,201,7,Collection,40,8154.075,79210,7722.456999999999,15876.532,4045.097,3677.36,15875.962,183939
Copeland Borough Council,37,146,Collection,40,4372.88,33370,2993.74,7366.62,919.08,2074.66,7366.62,69647
Corby Borough Council,130,313,Collection,40,3922.8,28430,3274.5370000000003,7197.3369999999995,1596.277,1678.26,7192.451999999999,66854
Cotswold District Council,382,98,Collection,40,3933.494,41620,6669.005,10602.499,2230.099,4392.69,10552.848999999998,85162
Craven District Council,85,207,Collection,40,2760.134174,27020,2908.492825,5668.6269999999995,1793.071559,1110.091265,5663.297,55801
Crawley Borough Council,343,267,Collection,40,5898.49,43840,2391.84,8290.33,1797.0,559.26,8254.75,110864
Dacorum Borough Council,216,9,Collection,40,7074.513089,62880,8218.394909999999,15292.908000000001,3560.466639,4648.951271,15283.931,151350
Dartford Borough Council,318,293,Collection,40,6746.86,43080,2264.28,9011.14,1727.16,537.12,9011.14,103892
Daventry District Council,129,391,Collection,40,4026.5,34130,5120.86,9147.36,1394.52,3716.48,9137.5,80014
Derbyshire Dales District Council,101,238,Collection,40,2771.514334,33580,4759.442665,7530.956999999999,1897.5026649999998,2861.94,7530.956999999999,71145
Dover District Council,317,371,Collection,40,5060.5521,51530,4045.8678990000003,9106.42,2525.063065,1520.804833,9106.42,113228
Ealing LB,264,19,Collection,40,12082.58,133240,11813.54,23896.12,7742.54,4055.73,23880.85,343059
East Cambridgeshire District Council,190,321,Collection,40,3881.938,36880,4636.44,8518.378,1515.68,3120.76,8514.178,87306
East Devon District Council,367,305,Collection,40,6200.129,67300,4646.304,10846.433,2631.6929999999998,2004.654,10836.476,138141
East Hampshire District Council,303,201,Collection,40,5969.628085,51180,3146.9319140000002,9116.56,2364.909549,718.652365,9052.04,118077
East Hertfordshire District Council,215,151,Collection,40,6442.85,60780,7509.72,13952.57,3218.19,4283.08,13944.12,144719
East Lindsey District Council,121,66,Collection,40,7695.116999999999,67660,8140.15,15835.267,3156.0,4983.8,15834.917,137887
East Northamptonshire Council,128,115,Collection,40,3855.55,39020,3475.56,7331.11,2084.16,1391.4,7331.11,89746
East Staffordshire Borough Council,165,37,Collection,40,5986.652427,50110,6832.810572,12819.463,2399.692973,4416.064598,12801.31,116040
Eastbourne Borough Council,290,291,Collection,40,5991.99,48370,3915.6040000000003,9907.594000000001,1920.374,1992.92,9907.594000000001,102465
Eastleigh Borough Council,302,347,Collection,40,6081.74552,54160,4580.864479,10662.61,2459.784479,2121.08,10662.61,129027
Eden District Council,36,288,Collection,40,2922.13,26000,3053.94,5976.07,1268.7,1785.24,5976.07,52565
Elmbridge Borough Council,338,174,Collection,40,6079.969665,56810,7192.469334,13272.438999999998,3313.0309780000002,3857.2883549999997,13250.288999999999,132670
Enfield LB,248,270,Collection,40,18339.134981,123520,11818.758018,30157.892999999996,5909.552254,5872.705476,30157.892999999996,328433
Epping Forest Borough Council,200,148,Collection,40,5405.425,55590,8548.312,13953.737,3641.8,4884.92,13932.145,129677
Epsom and Ewell Borough Council,337,251,Collection,40,4198.925008,31660,3765.6649909999996,7964.59,1754.355797,2006.0791940000001,7959.36,78950
Erewash Borough Council,100,216,Collection,40,6608.304575,51370,5960.835424,12569.14,2282.512176,3678.323247,12568.75,114510
Exeter City Council,366,383,Collection,40,6128.536783,55070,2853.162216,8981.699,1997.783216,820.72,8947.04,127308
Fareham Borough Council,301,8,Collection,40,6007.1723170000005,48930,3336.016682,9343.189,2129.642682,1191.82,9328.635,114799
Fenland District Council,189,60,Collection,40,5878.5209700000005,44060,5601.014029,11479.535,1751.054029,3849.96,11465.055,99171
Forest Heath District Council,232,135,Collection,40,3610.1280070000003,29470,2504.292992,6114.420999999999,1552.8273199999999,949.995672,6112.951,63691
Forest of Dean District Council,381,242,Collection,40,3723.16,37690,5045.93,8769.09,1687.85,3272.0,8681.2,84544
Fylde Borough Council,62,204,Collection,40,3903.5,37670,4918.157999999999,8821.658000000001,2234.552,2679.44,8816.612,77322
Gedling Borough Council,136,227,Collection,40,7142.677659,52090,4567.51034,11710.188,2589.395691,1978.114648,11710.188,115889
Gloucester City Council,380,308,Collection,40,6962.82,56120,4925.32,11888.14,1875.77,2935.52,11774.04,127158
Gosport Borough Council,300,149,Collection,40,4960.84,36820,1317.47,6278.31,1206.31,111.16,6278.31,84672
Gravesham Borough Council,315,168,Collection,40,5423.06,42530,2972.19,8395.25,1578.83,1393.36,8395.25,106299
Great Yarmouth Borough Council,223,312,Collection,40,6268.155076,47430,3335.900923,9604.056,2233.045095,1101.795827,9602.996,98667
Guildford Borough Council,336,393,Collection,40,4899.575614,57460,7981.134384999999,12880.71,3831.1988450000003,4149.9355399999995,12880.71,146080
Hackney LB,247,318,Collection,40,16399.501719,111120,5721.94828,22121.45,4036.85828,1593.2,22029.56,269009
Hambleton District Council,84,279,Collection,40,4451.00548,40620,5741.5375189999995,10192.543,1974.1645190000002,3760.84,10186.01,90035
Hammersmith and Fulham LB,270,139,Collection,40,9743.849859,86460,2841.89014,12585.74,2617.05014,217.0,12577.9,179410
Harborough District Council,112,100,Collection,40,4066.8790000000004,37960,5225.509,9292.388,2551.953,2660.261,9275.851999999999,89284
Haringey LB,246,395,Collection,40,14228.458375999999,107320,7773.3516230000005,22001.81,5143.571623,2479.37,21851.4,272864
Harlow District Council,199,220,Collection,40,3696.1172950000005,36590,2943.792704,6639.91,2070.944704,872.06,6639.121999999999,85397
Harrogate Borough Council,83,86,Collection,40,8722.985,71040,6645.5869999999995,15368.572,2722.2,3899.32,15344.501,157016
Harrow LB,263,212,Collection,40,17867.685588,89730,10538.975411,28406.661,5219.947739,5319.027671,28406.661,247130
Hart District Council,299,221,Collection,40,4759.612,38200,3171.212,7930.8240000000005,2154.822,1011.32,7925.754,93912
Hastings Borough Council,289,27,Collection,40,5320.697406,43080,2377.751593,7698.4490000000005,1705.451655,672.299937,7698.4490000000005,91497
Havant Borough Council,298,369,Collection,40,6924.734708,54200,3116.043291,10040.778,2178.637209,937.4060820000001,10040.778,122927
Havering LB,241,41,Collection,40,16392.372,103940,10592.956,26985.327999999998,5728.356,4786.66,26911.528,249085
Hertsmere Borough Council,214,222,Collection,40,5085.674,42620,4826.762,9912.436,1911.736,2914.78,9907.61,102998
High Peak Borough Council,99,289,Collection,40,3495.218009,41290,4879.51199,8374.73,1949.789431,2886.132559,8331.14,91496
Hillingdon LB,262,285,Collection,40,14256.460050999998,109480,11803.539948,26060.0,5904.539948,5899.0,26060.0,297735
Hinckley and Bosworth Borough Council,111,169,Collection,40,5840.9490000000005,48810,6152.904,11993.853000000001,2493.488,3611.703,11936.766000000001,108769
Horsham District Council,342,411,Collection,40,8047.788132,59710,6877.354867,14925.143,3054.618431,3781.322435,14866.491000000002,135868
Hounslow LB,261,106,Collection,40,15535.380033000001,100380,7740.239966,23275.62,5407.219004,2106.5009609999997,23049.1,268770
Huntingdonshire District Council,188,123,Collection,40,8646.328000000001,75170,9169.511999999999,17815.84,2561.362,6608.15,17803.6,174966
Hyndburn Borough Council,61,277,Collection,40,4109.05,36690,2329.91,6438.96,1440.46,889.45,6438.96,80228
Ipswich Borough Council,231,282,Collection,40,8406.662901,60480,5902.909098,14309.572,2726.685246,3113.792852,14247.14,135600
Islington LB,245,337,Collection,40,10153.348151,106130,4898.4418479999995,15051.79,3747.080728,1088.5911199999998,14988.18,227692
Kettering Borough Council,127,185,Collection,40,5124.34,43380,5756.923000000001,10881.263,2467.2129999999997,3289.71,10881.263,97650
Kings Lynn and West Norfolk Borough Council,222,329,Collection,40,8287.381062999999,72090,7550.693936,15838.075,3692.298579,3858.395357,15838.075,151013
Knowsley MBC,72,335,Collection,40,9756.15736,66100,5699.092639,15455.25,2597.592639,3101.5,15455.25,147231
Lambeth LB,268,233,Collection,40,15861.904912,139250,6272.5450869999995,22134.45,4555.705086999999,1705.87,22123.17,324431
Lancaster City Council,60,11,Collection,40,7674.78,63290,5946.880999999999,13621.661,2190.181,3756.7,13621.661,142283
Lewes District Council,288,240,Collection,40,5586.541875,44410,1838.4591239999997,7425.001,1494.404424,344.054699,7425.001,100693
Lichfield District Council,164,173,Collection,40,5187.50998,44060,6903.776019,12091.286,2824.988352,4078.7876659999997,12091.286,102706
Lincoln City Council,120,206,Collection,40,5810.675,44710,3865.5,9676.175,1837.38,2026.64,9674.695,97065
Liverpool City Council,71,412,Collection,40,32339.666394,221590,14416.293605,46755.96,7838.583605,6511.11,46689.36,478580
Maidstone Borough Council,314,309,Collection,40,7244.835287000001,68000,7622.134712,14866.97,3654.9558380000003,3967.178873,14866.97,164499
Maldon District Council,198,368,Collection,40,2166.118,27460,3704.645,5870.763000000001,1489.745,2214.9,5870.763000000001,62743
Malvern Hills District Council,146,150,Collection,40,3929.2919479999996,34670,2488.4350510000004,6417.727,1771.941059,716.493992,6417.727,75731
Manchester City Council MBC,49,39,Collection,40,27543.404997,224540,16537.535002,44080.94,7330.677734999999,9109.447267,43983.53,530292
Mansfield District Council,135,374,Collection,40,6549.617399000001,48580,4558.1326,11107.75,1917.5669280000002,2640.5656719999997,11107.75,106556
Melton Borough Council,110,388,Collection,40,2688.4159999999997,22580,2629.167,5317.5830000000005,1250.382,1355.4160000000002,5294.214,50912
Mendip District Council,390,264,Collection,40,5869.030117,50820,4611.506882,10480.537,2575.716882,1994.6,10438.266,111724
Mid Devon District Council,365,127,Collection,40,3123.473,35250,3938.6240000000003,7062.097,1561.013,2353.76,7038.246,79510
Mid Suffolk District Council,230,352,Collection,40,9445.649822,83120,8291.461177,17737.111,4813.4333990000005,3473.1377780000003,17729.861,188847
Mid Sussex District Council,341,71,Collection,40,6885.37,61450,5068.05,11953.42,3149.25,1918.8,11953.42,145651
