Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
Northamptonshire County Council,87.93,870.72,497.92,1604.47,0,656.31,16.91,23.18,0,252.43,26.31,414.55,116.7,0,0,0.03,155.46,2245.26,101.06
Lichfield District Council,2.895,3.8,0,1150.11,0,2.73,0,0,0,0,0,183.19,13.7,3137.21,0,0,0,0,0
City of London,0,0,0,31.68,0,3.35,0,0,0,0,0,27.42,2.46,214.93,0,0,0,0,0
Royal Borough of Kensington and Chelsea,0,30.73,27.48,255.59,0,71.1,0.84,0,0,0,0.74,58.41,30.47,4094.82,0,0.15,0.71,0,0
Darlington Borough Council,653.9,1130.65,58.38,396.22,328,91.231,0,6.22,0,15.74,0,0,25.7,411.16,21.08,1.04,21.6,2894.72,0
Winchester City Council,403.89,5.22,0,651.9,0,4.46,0,0,0,0,0,0,63.02,1996.94,0,0,0,0,0
Shepway District Council,24.316,1293.944,0,1410.86,0,3.58,0.868,0,0,0,0,0,26.664,1738.69,0,0,0,0,0
Oadby and Wigston Borough Council,258.4,435.31,55.276,373.52,0,5.016,0,0,0,0,0,299.317,91.308,0,0,0,76.88,0,0
South Norfolk Council,327.98,149.29,0.9,1056.66,0,22.337,0,4.68,0,1.48,0,1.05,288.101,3178.26,0,0,9.82,0,0
Kettering Borough Council,0,584.529,4.36,1402.48,0,0,0,0,0,0,0,0,1.85,1871.68,0,0,2.7,0,0
Nottinghamshire County Council,375.3,900.58,911.59,2866.64,3136.8,816.66,24.52,21.86,0,359.91,11.02,0,339.62,0,0,0,41.43,2760.73,0
Staffordshire Moorlands District Council,30.45,478.24,0,1573.4,0,1.94,0,0,0,0,0,497.25,15.86,1635.54,6.71,0,0,0,0
Reigate and Banstead Borough Council,0,2039.3,0,2098,0,5.34,0,0,0,0,0,330,85.9,1615,0,0,0,0,0
Chichester District Council,0,152.6,0,627.88,0,8.38,0,0,0,0,0,0,9.12,3146.93,0,0,0,0,0
Merseyside WDA (MBC),137.77,973.97,1446.02,2909.35,5844.63,1255.773,40.34,54.32,0,427.06,11.11,366.91,1304.54,393.26,0,588.67,593.7,6216.97,50.01
Croydon LB,29.835,2279.696,226.374,3298.44,1098.27,331.489,7.769,3.38,0,70.84,5.45,2.06,282.11,3077.74,0,90.952,112.075,1213.814,0
Richmond upon Thames LB,0,2858.205,136.64,2168.54,60.69,114.86,4.02,0,0,29.44,1.14,26.18,85.88,2073.421,25,39.64,0,425.1,0
Warrington Borough Council,17.96,213.79,190.62,1815.92,805.918,166.197,7.519,0,0,29.35,4.1,148.775,147.415,4968.38,10.217,15.762,52.94,326.333,0
Amber Valley Borough Council,877.86,20.45,0.96,303.58,0,8.14,0,0,0,0,0,0.2,0,2042.08,7.09,0,0.29,0,0
Castle Point Borough Council,554.358,5.671,6.875,1118.88,0,12.324,0,0,0,0,0,47.64,32.2,1804.04,5.127,0,0.171,0,0
Thurrock Council,0,63.16,62.973,1722.31,593.84,75.26,0.697,8.2,94.9,33.72,4.3,0,17.44,2847.3,0,0,0,263.44,5.027
East Hampshire District Council,862.7,2.12,0.017,195.72,0,3.86,0,0,0,0,0,0,56.94,1983.72,0,0,0.01,0,0
Hertfordshire County Council,148.48,1264.92,1127.927,1126.2,1437.16,1311.826,40.85,27.826,0,195.76,24.244,6.07,267.65,82.74,0,0.781,313.75,1787.9,0
Tunbridge Wells Borough Council,598.48,1565.44,5.95,1679.4,0,10.25,0,0,0,0,0,0,20.686,265.8,0,0,0,0,0
Fylde Borough Council,20.85,941.67,0,868.98,0,3.92,0.68,0.13,0,0,0,0,17.88,932.59,12.806,0.45,0,0,0
Blackburn with Darwen Borough Council,34.54,157.23,142.27,448.84,0,152.59,3.31,4.38,0,84.48,2.84,17.24,95.3,3319,0,42.44,66.66,0,0
Lincoln City Council,38.29,53.22,27.721,730.73,0,0,0,0,0,0,0,101.53,86.158,2212.4,2.481,8.3,0,0,0
Craven District Council,8.48,887.887,2.138,290.3,0,6.061,0,0,0,0,0,9.795,209.451,790.43,23.439,1.289,0.453,0,0
Tandridge District Council,4.36,77.26,0.22,1126.18,0,13.34,0.32,0,0,0,0,0,76.77,2596.88,14,0,0.39,0,0
Worthing Borough Council,0,25.79,0,514.56,0,0,0,0,0,0,0,0,10.28,2255.14,0,0,0,0,0
Sefton MBC,1766.03,1425.39,343.36,2461.08,0,15.37,0,0,0,0,0,0,55.54,1825,0,1.63,8.95,0,0
Newcastle-upon-Tyne City Council MBC,0,165.6,136.26,1448.82,774,197.16,1.07,12.24,0,48,0.45,8,33.81,4670.86,0,1,0,819,0
Harrow LB,0,0,133.3,3115.6,555.3,158.9,4.2,0,0,9.4,3.6,0,223.2,4292.5,0,46.2,0,0,0
South Bucks District Council,0,455.183,0,872.74,0,7.72,0,21.18,0,0,0.041,0,57.583,1308.288,0,0,0,0,0
Erewash Borough Council,0,0,0,692.86,0,27.21,0,0,0,0,0,0.5,2,2927.65,0,0,0,0,0
Plymouth City Council,363.08,377.6,313.13,1235.1,1225.62,430.81,10.81,2.02,0,118.6,6.6,57.17,108.95,4665.96,81.67,0,19.49,1358.36,0
Brighton and Hove Council,1801.68,249.9,169.68,410,197,257,7.5,2.1,93.3,48.3,4.1,77.68,123.06,2947.76,0,2.1,1.7,448.58,1.7
Harlow District Council,5.535,22.041,0.372,824.17,0,14.094,0,0,0,0,0,166.408,18.473,1997.199,0,0,0.472,0,0
Hart District Council,773.68,57.72,0,408.76,0,7.921,0,0,0,0,0,0,67.08,1595.75,0,0,0,0,0
Hertsmere Borough Council,19.047,637.482,0.193,1293.84,0,4.33,0,0,0,0,0,0,7.21,1325.54,0,0,0.639,0,0
Preston City Council,6.59,1348.97,16.98,868.6,0,12.74,0.02,0.97,0,3.64,0,122.96,12.441,1405.54,53.69,0,3.88,0,0
West Lindsey District Council,6.24,36.14,3.32,125.3,0,0,0,0,0,0,0,95.26,44.265,2490.47,0,3.5,0,0,0
Selby District Council,548.49,871.71,80.32,924.5,0,3.93,0,0,0,0,0,0,178.14,0,107.7,1.2,192.1,0,0
Gedling Borough Council,765.2,22.56,3.32,316.94,0,22.094,0,0,0,0,0,242.72,6.88,2046.98,0,0,0.41,0,0
Staffordshire County Council,60.51,860.7,766.85,1300.88,263.15,1096.32,31.06,51.92,0,129.46,19.08,93.11,891.98,0,4.4,96.11,343.06,2691.46,135.25
Bolton MBC,4.59,2562.35,0.33,2253.9,0,0,0,0,0,0,0,9.9,13.56,2700.04,17.31,0,0,0,0
Leeds City Council MBC,2481.16,751.6,536.12,3951.47,2260.7,644.16,16.4,15.1,0,237.61,31.33,28.75,180.5,9144,290.02,2.36,4.58,0,38.1
Barnet LB,7.78,187.85,130.3,3447.38,787.84,206.89,11.51,7.62,0,27.06,4.1,32.67,177.6,6761.08,18.94,0,2.01,506.12,0.11
Lambeth LB,0,138.41,76.77,1384.22,244.34,167.01,3.24,6.54,0,0,1.25,60.04,59.2,4576.58,9.96,0.71,4.74,0,0
South Gloucestershire Council,1882.35,3122.45,591.5,3868.72,1649.1,451.09,12.2,13.62,0,141.6,13.76,23.3,436.82,945.1,0,50.26,107.16,875.5,0
Derbyshire Dales District Council,0,682.945,0,1091.13,0,8.02,0,0,0,0,0,0,18.236,1174.08,0,0,0,0,0
