Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
South Lakeland District Council,194.26,341.2,13.88,3482.94,0,0,0,0,0,0,0,0,0,1467.44,80.48,0,0,0,0
Torbay Council,965.2,1256.52,341.22,3594.7,653.94,192.15,6.72,6,0,8.44,4.88,0,57.94,373.18,222.51,3.67,0,189.76,0.46
Maldon District Council,374.813,647.14,1.42,2019.57,0,0,0,0,0,0,0,0,19.61,183.775,0,0,0.445,0,0
Havant Borough Council,470.02,23.71,4.68,809.92,0,4.58,0,0,0,0,0,0,74.516,1949.24,18.45,0,0,0,0
North Hertfordshire District Council,0,956.42,0,4788.94,0,10.45,0,0,0,0,0,0,6.88,2357.36,0,0,0,0,0
Dover District Council,0,1018.29,0,1460.5,0,1.95,0,0,0,0,0,0,17.291,1332.62,0,0,0,0,0
Charnwood Borough Council,82.609,34.282,0.224,3960.84,0,45.283,0,0,0,0,0,7.695,86.965,4265.96,0.044,30.41,0,0,0
Norfolk County Council,267.15,671.8,1111.757,7191.18,811.36,1714.609,60.983,11.86,0,183.83,27.56,240.928,153.24,0,137.6,0,11.24,1744.91,0
Mansfield District Council,215.55,14.7,0,2227.15,16.3,0,0,0,0,0,0,7.28,20.46,1626.77,0,0,0,0,0
Cannock Chase Council,3.684,4.523,0,3109.88,0,1.54,0,0,0,0,0,0,18.836,2666.6,0,0,0,0,0
Swindon Borough Council,1063.39,2036.94,994.8,2940.16,1420.3,347.35,87.8,0,16.22,34.17,0,0,48.79,0,445.26,40.18,0,2239.86,0
Wakefield City MDC,111.25,3214.54,294.11,8712.89,1383.49,394.71,10.83,26.98,0,103.56,8.34,2.06,363.81,2819.43,151.25,0,56.82,263.46,26.7
Camden LB,0,65.99,60.23,1126.44,328.32,106.91,2.7,0,0,38.99,0,253.18,156.84,5227.7,7.48,1.99,0.03,368.2,0.67
Westminster City Council,1249.42,563.04,0,562.43,0,104.27,0,0,0,0,0,0,87.63,5177.86,0,0,0,0,0
Exeter City Council,542.82,214.21,12.44,838.42,3.36,2.16,0,0,0,0,0,3.5,83.98,1884.86,0,33.56,0.52,0,0
Southampton City Council,1077.65,168.42,436.67,2901.54,0,160.05,12.74,0,473.75,83.36,5.32,215.51,77.86,2647.79,17.53,0,0,879.84,0
Watford Borough Council,3.68,7.27,0,1961.85,0,6.08,0,0,0,0,0,0,5.06,1938.36,0,0,0,0,0
North Lincolnshire Council,905.595,1060.731,593.921,6564.97,1140.24,354.948,16.22,4.865,0,26.26,10.65,131.267,187.179,1123.975,160.664,35.151,3.107,1298.22,0.64
Melton Borough Council,0,2.051,0.08,1258.58,0,1.251,0,0,0,0,0,3.091,21.552,1397.92,0,11.584,0,0,0
North Norfolk District Council,0,0,0,2280.892,0,3.54,0,2.06,0,0,0,0,15.653,2652.82,0,0,0,0,0
Ryedale District Council,420.74,540.05,107.9,1791.95,0,1.67,0,0,0,0,0,0,27.68,0,70.98,0,0.91,0,0
Daventry District Council,486.99,713.57,126.53,3892.92,0,0,0,0,0,0,0,0,0,0,174.73,7.23,0,0,0
Stafford Borough Council,0,636.34,1.16,5077.9,0,0,0,0,0,0,0,0,0.09,2548.66,0,0,0,0,0
Guildford Borough Council,39.24,179.12,0.7,3713.64,0,7.642,0,0,0,0,0,0,0,3669.52,0,0,0,0,0
Adur District Council,0,37.75,0,656.28,0,2.33,0,0,0,0,0,0,0.6,1300.66,0,0,0,0,0
Haringey LB,3.06,109.78,100.94,2697.73,605.74,115.3,1.31,2.36,0,76.47,2.5,0,114.02,5171.27,7.54,40.63,0,965.48,4.75
Bristol City Council,2609.34,3748.52,830.22,6871.55,1862.51,339.83,13.58,16.46,0,63.72,10.08,8.7,154.58,0,548.2,0,0,2642.4,0
Council of the Isles of Scilly,32.37,0,22.4,0,0,3.97,0,0,0,0,2.45,0,0.46,0,0,0,0,370.3,0
