Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Cotswold District Council,738.21,962.45,159.48,4170.32,0,12.58,0,0,0,0,0,22.66,60.72,0,155.41,25.39,1.46,0,0
South Ribble Borough Council,3.41,886.04,0,3774.82,0,0.62,0,0,0,0,0,15.34,8.28,1594,0,24.46,0,0,0
Harborough District Council,0,429.182,0,3575.92,0,0.637,0,0,0,0,0,0.502,67.909,1824.54,0,1.517,0,0,0
Breckland Council,193.332,8.23,0.08,2528.88,0,7.48,0,2.48,0,0.04,0,0.204,13.172,2857.82,0,0,0,0,0
Oldham MBC,0,1840.96,0,4340.38,0,0,0,0,0,0,0,0,0,2147.82,0,0,0,0,0
Doncaster MBC,51.97,412.325,378.759,10270.41,1333.28,431.666,14.566,10.26,0,76.44,13.481,5.241,135.168,4568.37,142.46,32.578,0.653,2701.72,0
Hounslow LB,883.73,1764.52,600.47,3389.58,1074.05,139.62,9.68,0,0,20.5,7.84,0,223.47,12.92,549.22,47.19,98.66,223.94,0
Cambridgeshire County Council,90.57,716.73,1172.89,3057.09,3555.05,1116.16,43.34,0,2099.56,221.6,30.16,0,133.28,0,311.36,139.44,0,3911.74,10.83
North Devon District Council,546.324,914.39,86.291,3208.914,0,0,0,0,0,0,0,0,13.47,0,164.159,30.5,0.197,0,0
Tewkesbury Borough Council,0,5.67,0,2529.75,0,7.28,0,0,0,0,0,27.9,43.73,2145.26,0,21.01,0,0,0
Sevenoaks District Council,531.77,152.44,0,1593.35,0,11.92,0,0,0,0,0,0,49.327,1576.98,0,0,0,0,0
North West Leicestershire District Council,606.86,846.271,2.27,3855.66,0,12.78,0,0,0,0,0,3.052,28.7,345.66,0,15.687,1.084,0,0.012
Norwich City Council,88.66,0,0.04,1545.68,0,9.9,0,1.82,0,0,0,0,0,2686.04,0,0,0,0,0
East Northamptonshire Council,0,0,0,995.82,0,0,0,0,0,0,0,0,2.05,2193.41,0,0,0,0,0
Oxford City Council,32.18,27.49,7.73,2315.35,0,36.3,1.21,0,0,0,0,0,89.48,4025.84,11.35,0,0,0,0
Somerset County Council,256.46,1042.31,1445,8297.93,1885.63,1113.96,32.74,0,0,215.05,19.3,139.36,223.38,0,25.76,0,6.81,0,0
Tameside MBC,0,1924.08,0,4555.17,0,7.36,0,0,0,0,0,0,22.8,2504.15,0,0,0,0,0
Sandwell MBC,41.3,156.96,240.37,7276.8,1354.66,170.43,6.61,0,613.9,58.92,6.3,11.99,116.12,6621.38,39.76,0,92.22,734.09,0
Bromley LB,144.31,3440.28,347.28,7583.06,1053.06,281.92,0,0,0,18.26,5.44,165.26,62.94,2904.44,0,0,25.2,0,0
Newham LB,41,129.28,202.68,339.88,711.32,181.51,6.9,39.88,0,0,1.78,40.32,39.76,3084.8,19.3,0.02,0,527.55,1.9
Huntingdonshire District Council,0,1.56,0,6977.68,0,0.66,0,0,0,0,0,424.88,74.85,4352.72,0.37,0,0,0,0
Hartlepool Borough Council,459.25,41.81,95.08,1883.75,401.42,100.41,2.56,16.05,341.27,0,0,79.46,4.39,1358.97,37.19,0,34.6,623.21,0
Stockton-on-Tees Borough Council,733.03,1200.16,287.3,2937.46,631.63,171.81,4.05,9.02,0,0,3.59,0,11.08,0,259.39,0,38.86,3661.85,0
Cumbria County Council,23.26,469.832,786.997,1235.49,2191.04,867.898,31.709,44.61,0,340.98,23.105,4.417,357.013,0,32.82,0,0,4755.76,46.711
Mid Devon District Council,522.52,445.429,51.225,2847.045,0,5.99,3.125,0,0,0,0,110.8,34.702,35.4,48.364,14.332,24.64,0,0
Brentwood Borough Council,479.98,0,3.585,1635.82,0,1.822,0.447,3.15,0,0,0,0,12.63,1465.04,0,27.681,0,0,0
Basingstoke and Deane Borough Council,1061.49,57.685,4.922,702.76,0,40.825,0,0,0,0,0,1.903,150.26,2211.38,1.486,55.491,4.7,0,0
Wychavon District Council,49.2,25.82,1.96,1813.06,0,6.82,0,0,0,0,0,2.56,43.77,3382.14,0,17.1,0,0,0
Tonbridge and Malling Borough Council,567.65,728.79,83.6,4700.87,0,65.32,0,0,0,0,0,0,36.9,0,111.5,0,0,0,0
Wellingborough Borough Council,59.478,3.04,0,2138.04,41.98,4.1,0,0,0,0,0,0,40.974,1663.75,4.66,0,0,71.24,0
West Somerset District Council,266.42,443.88,32.69,525.92,0,0,0,0,0,0,0,7.593,6.126,0,40.89,6.671,0,0,0
Forest Heath District Council,221.491,45.175,4.47,2039.65,0,0,0,0,0,0,0,0.556,23.647,1024.15,1.22,0,0,0,0
Warwickshire County Council,60.92,789.37,915.64,1983.13,2699.24,610.86,31.9,6.83,513.7,114.26,43.54,0.2,366.99,0,114.86,42.94,49.22,0,0
St Helens MBC,846.7,1364.7,231.2,4563.2,0,31.4,0,0.7,0,0,0,59.8,102.6,0,231.1,0,0,831.3,0
Gateshead MBC,50.67,1019.85,153.91,3442.27,0,236.1,2.35,24.74,0,76.45,2.68,61.28,560.99,3192.6,104.76,0,0,795.95,0
Hammersmith and Fulham LB,0,28.07,33.54,179.85,0,76.71,1.71,0.04,0,0,0.67,0,63.76,2867.45,1.36,17.91,0.07,0,0
Wandsworth LB,0,49.91,54.17,355.41,0,102.57,2.12,0,0,0,1.13,0,98.68,4790.93,0.28,17.9,0.11,0,0
Slough Borough Council,0,34.36,173.9,1705.86,223.68,60.39,5.12,3.02,0,17.58,1.5,0,89.31,2179.88,7.66,0,54.02,86.06,18.65
Aylesbury Vale District Council,0,0,0,3770.09,0,0,0,0,0,0,0,2.9,58.36,4436.26,0.7,0,0,0,0
Peterborough City Council,22.76,120.4,180.4,4524.58,888.78,189.23,6.52,0,426.1,63.12,7.4,161.58,59.24,4399.55,0,0,0,0,0
Copeland Borough Council,365.76,521.19,59.12,1892.75,0,6.77,0,0,0,0,0,0,8.32,0,70.72,0,0,0,0
Devon County Council,212.68,1252.495,1556.168,7783.51,4900.495,1901.788,48.637,16.819,0,140.08,27.855,456.409,730.036,0,403.849,0,229.754,1197.645,0
Epping Forest Borough Council,784.84,8.4,0,4893.22,0,5.238,0,0,0,0,0,0,18.501,2375.78,0,13.582,0,0,0
Gosport Borough Council,253.44,46.36,0,104.12,0,2.48,0,0,0,0,0,0,60.16,1083.62,0,0,0,0,0
Malvern Hills District Council,0,12.48,1.62,581.42,0,2.96,0,0,0,0,0,0,9.9,1721.1,0,0,0,0,0
East Hertfordshire District Council,0,869.76,0,4505.54,0,5.96,0,0,0,0,0,0,16.93,2148.18,0,0,0,0,0
Canterbury City Council,0,1116.82,0,4283.47,0,7.02,0.69,0,0,0,0,0,26.84,1718.51,0,0,0,0,0
Blackpool Borough Council,96.33,1161.043,128.826,2666.4,575.8,200.43,5.58,0,146.5,21.72,3.1,11.446,59.918,1534,41.12,30.009,15.088,164.6,4.3
Leicestershire County Council,90.04,1005.203,1351.535,5452.34,0.006,1168.492,43.858,0,0,339.82,43.025,73.104,248.283,0,27.568,53.137,0,0,0
Blaby District Council,62.816,67.538,13.745,2244.77,0,7.851,0,0,0,0,0,4.609,65.489,2203.16,5.155,20.862,0,0,0.919
Broxtowe Borough Council,498.52,3.03,5.61,2021.31,0,6.73,0,0,0,0,0,0,7.14,1819.24,0,0,0.24,0,0
Suffolk Coastal District Council,865.63,20.79,169.71,4737.48,47.48,0,5.867,11.14,0,2.44,0,0,23.91,2448.72,0,0,0,0,0
Stratford-on-Avon District Council,0,0,0,6269,0,7.96,0.93,0,0,0,0,0.82,3.381,3461.28,0,0,0,0,0
Sunderland City Council,0,1190.47,155.08,5547.09,0,158.27,0.82,8.84,0,66.47,3.53,70.65,400.08,3703.35,66.08,0,44.94,1465.93,0
Kirklees MBC,1374.96,346.29,362.14,4964.11,1490.15,270.54,10.78,35.24,0,173.8,7.93,27.53,58.88,5660.82,26.72,0,0.78,3777.5,16.77
Wycombe District Council,158.6,2924.22,0,7934.34,0,12.2,1.42,0,0,0,0,16.28,22.56,3374.76,0,0,0,0,0
Portsmouth City Council,551.67,163.99,291.92,1718.86,0,147.39,6.95,0,428.3,52.75,4.36,162.61,136.15,2095.22,0,0,0,795.42,0
Stevenage Borough Council,460.8,829.74,0,2111.01,0,10.823,0,0,0,0,0,0,17.3,203.46,0,0,0,0,0
Gravesham Borough Council,221.42,20.92,3.06,1363.29,0,20.3,0,0,0,0,0,0,15.98,1395.26,0.17,0,0,0,0
Hinckley and Bosworth Borough Council,41.59,1031.063,4.985,3796.24,0,10.19,0,0,0,0,0,1.505,64.674,1209.75,0,18.001,0,0,0
Broadland District Council,45.93,85.434,0,3724.44,0,9.537,0,1.88,0,0,0,0.004,19.354,2819.98,4.459,0,0,0,0
Northamptonshire County Council,58.33,820.88,775.22,3896.91,0,797.79,18.52,9.92,0,246.32,36.52,404.72,133.75,0,193.45,0,0.43,4331.5,132.99
Lichfield District Council,3.088,4.36,0,4029.43,0,0,0,0,0,0,0,0.08,15.655,2938.75,0,0,0,0,0
Elmbridge Borough Council,0,4.7,0,3274.52,0,8.302,0,0,0,0,0,0,38.16,3218.06,0,0,0.46,0,0
City of London,0,0,0,31.3,0,3.21,0,0,0,0,0,32.14,4.94,199.76,0,0,0,0,0
Royal Borough of Kensington and Chelsea,0,36.17,40.53,348.26,0,73.91,1.63,0,0,0,0.86,0,36.04,4190.02,0.22,0,0.09,0,0
Darlington Borough Council,586.29,932.61,70,1212.7,445.51,97.841,0,8.6,0,15.58,0,0,74.472,485.3,21.72,32.83,0.42,1488.92,0
Winchester City Council,428.48,4.78,0,1598.1,0,3.78,0,0,0,0,0,0,54.23,1922.56,0,0,0,0,0
Shepway District Council,0,1089.01,0,2287.72,0,2.34,0,0,0,0,0,0,26.54,1542.45,0,0,0,0,0
Oadby and Wigston Borough Council,202.3,438.087,49.42,1118.32,0,3.199,0,0,0,0,0,1.308,39.023,0,89.38,0,0,0,0
South Norfolk Council,187.973,27.27,0.14,2760.42,0,14.32,0.18,4.04,0,0,0,0.81,60.923,3099.24,0,1.2,0,0,0
Kettering Borough Council,0,534.97,4.75,3256.79,0,0,0,0,0,0,0,0,17.295,1854,4.84,0,0,0,0
Nottinghamshire County Council,410.73,902.91,1292.27,9269.37,4666.25,854.26,27.37,11.4,0,442.22,23.75,0,357.84,0,36.4,0,0,5268.47,0
Staffordshire Moorlands District Council,37.73,432.12,0,3829.84,0,2.16,0,0,0,0,0,0,6.7,1582.16,0,10.21,0,0,0
Reigate and Banstead Borough Council,0,1860.04,0,3623.52,0,5.96,0,0,0,0,0,0,52.86,1603.16,0,0,0,0,0
Chichester District Council,0,154.79,0,1555.84,0,10.5,0,0,0,0,0,0,14.13,3150.8,0,0,0,0,0
Merseyside WDA (MBC),99.65,1040.11,2203.46,7950.42,8370.6,1492.15,48.49,78.69,0,458.46,24.14,384.33,1496.94,174.58,894.1,0,592.04,11471.8,83.89
Croydon LB,43.712,2892.585,317.704,9342.49,1588.245,405.111,9.933,0.56,0,93.6,8.3,0,156.078,3044.49,173.041,0,95.87,2394.1,0
Richmond upon Thames LB,0,2687.15,208.3,3311.54,109.82,127.3,6.04,0,0,34.7,1.4,29.94,95.09,2042.621,0,25,37.7,842.49,0
Warrington Borough Council,10.02,210.96,247.6,6390.59,1094.62,192.853,3.159,0,0,85.41,5.7,140.375,166.576,4835.6,45.48,12.194,3.145,523.06,0
Amber Valley Borough Council,795.21,12.33,0.38,1573.1,0,8.9,0,0,0,0,0,0.18,0,1943.12,0.65,5.7,0,0,0
Castle Point Borough Council,515.84,0.55,2.72,2708.24,0,5.509,0,0,0,0,0,0,23.288,1593.4,0,4.024,0,0,0
Thurrock Council,0,51.78,123.97,4393.88,980.2,109.25,2.924,0,371.76,29.9,4.35,0,45.59,3131.88,0,0,0,813.62,6
East Hampshire District Council,805.14,2.64,0,544.88,0,3.74,0,0,0,0,0,0,59.24,1848.46,0,0,0,0,0
Hertfordshire County Council,107.8,1387.71,1651.54,2861.06,0,1200.03,40.15,44.29,0,198.4,36.49,8.01,248.92,5104.92,563.12,0,1.26,3511.54,0
Tunbridge Wells Borough Council,567.65,1309.83,4.8,3876.98,0,10.32,0,0,0,0,0,0,17.06,329.31,0,0,0,0,0
Fylde Borough Council,10.21,898.16,0,2534.26,0,2.74,0,0,0,0,0,0,18.03,931.52,0,6.7,0.15,0,0
Blackburn with Darwen Borough Council,40.33,151.34,266.81,1768.59,0,193.27,6.53,4.6,0,115.3,4.03,26.83,166.92,3195,97.51,0,51.56,0,0
Lincoln City Council,30.42,4.91,0,1952.1,0,0,0,0,0,0,0,0,19.423,1820.24,0,0,8.96,0,0
Craven District Council,6.24,596.039,6.1,985.06,0,1.74,0,0.84,0,0,0,0,20.309,812.515,0,0,1.765,0,0
Tandridge District Council,3.94,53.24,0.13,1831.22,0,10.46,0.32,0,0,0,0,0,38.66,2467.96,0.33,0,0,0,0
Worthing Borough Council,0,26.69,0,1699.1,0,4.33,0,0,0,0,0,0,8.48,2214.84,0,0,0,0,0
Sefton MBC,1608.02,1758.85,318.01,6517.84,0,32.01,0,0,0,0,0,0,128.97,1872.12,7.76,0,1.39,0,0
Newcastle-upon-Tyne City Council MBC,0,181.2,174,3453,1038,217.15,1.86,10.52,0,52,3.92,14,265.16,4754.47,0,0,0,1561,0
Harrow LB,0,0,231.4,6502.5,863.9,209.2,0,0,0,13.6,3.7,0,125.2,4558.5,0,0,53.2,0,0
South Bucks District Council,0,435.325,0,1531.28,0,2.16,0,3.94,0,0,0,0,36.58,1212.59,0,0,0,0,0
Erewash Borough Council,0,0,0,3621.72,0,31.823,0,0,0,0,0,0,0,2445.99,0,0,0,0,0
Plymouth City Council,302.18,408.67,421.95,3424.3,1656.98,421.83,15.14,5.96,0,126.8,8.46,41.52,103.06,4209.14,38.02,2.43,0,2082.63,0
Brighton and Hove Council,1472.15,285.22,250.6,1327.12,302.68,285.22,8.2,2.76,262.66,51.12,2.74,47.56,142.977,3063.14,2.38,0,2.334,733.36,2.92
Harlow District Council,3.994,6.706,0.112,869.01,0,14.394,0,0,0,0,0,0.955,27.584,1862.62,0.303,0,0,0,0
Hart District Council,745.59,76.97,0,875.92,0,8.273,0.11,0,0,0,0,0,56.74,1482.7,0,0,0,0,0
Hertsmere Borough Council,14.432,612.786,0.273,2600.5,0,6.416,0,0,0,0,0,0,7.336,1322.38,0.625,0,0,0,0
Preston City Council,4.53,1261.28,11.74,2713.06,0,14.38,0.04,0.79,0,1.32,0,354.74,13.446,1373.26,0,49.51,0,0,0
West Lindsey District Council,0,6.18,0,4718.01,0,0,0,0,0,0,0,32.37,28.622,2395.59,0,0,0,0,0
Selby District Council,572.59,780.85,61.9,3302.12,0,3.93,0,0,0,0,0,0,18.5,0,171.2,0,1.07,0,0
Gedling Borough Council,666.916,14.457,3.376,1638.66,0,11.068,0,0,0,0,0,8.56,12.483,1939.94,0.642,0,0,0,0
Staffordshire County Council,49,881.46,1064.26,3709.88,418.96,1254.18,58.1,72.14,0,113.12,29.44,112.28,810.87,0,346.83,0,108.83,6004.22,179.98
Bolton MBC,0,2436.69,0,5553.52,0,0,0,0,0,0,0,7.364,15.533,2680.9,0,17.947,0,0,0
Leeds City Council MBC,2401.026,739.946,690.93,15724.944,3054.56,690.083,22.143,20.5,0,231.38,3.402,30.882,213.776,9420.69,1.992,163.57,2.685,0,50.365
Barnet LB,16.37,209.61,200,6966.36,941.84,228.01,10.36,8.24,0,41.36,3.88,0,210.47,6699.23,2.47,21.83,0,805.84,0.66
Lambeth LB,0,149.03,114.9,1802.22,296.98,211.16,2.91,3.52,0,0,2.56,15.83,115.64,4523.25,6.29,12.18,0.5,0,0
South Gloucestershire Council,1557.74,2616.98,807.2,8025,2058.5,391.12,34.2,24.6,0,119.9,13.89,38,430.33,851.56,82.9,0,8.54,1518.4,0
Derbyshire Dales District Council,0,593.54,0,2730.61,0,10.9,0,0,0,0,0,0,18.434,1123.82,0,0,0,0,0
Lewes District Council,553.818,817.592,63.443,313.84,0,5.04,2.278,0,0,0,0,0,18.865,0,74.566,0,1.295,0,0
Tendring District Council,446.556,1242.55,0,876.7,0,0,0,0,0,0,0,0,34.606,265.16,0,106.392,0.859,0,0
Forest of Dean District Council,542.74,537.83,102.24,2954.4,0,8.98,0.94,0,0,0,0,4.89,27.41,0,47.02,50.22,2.61,0,0
Rushmoor Borough Council,504.82,8.87,0,669.64,0,3.44,0,0,0,0,0,0,52.54,1135.1,0,0,0,0,0
Bromsgrove District Council,22.53,3.47,0,2448.22,0,5.45,0,0,0,0,0,25.78,5.38,2561.14,0,33.56,0,0,0
Three Rivers District Council,10.1,9.52,0,3258.24,0,7.78,0,0,0,0,0,0,12.38,2553.737,0,0,0,0,0
Isle of Wight Council,61,0,487,5210,607,116,21,21,0,0,5,0,43,3540,80,5,0,1439,0
West Lancashire Borough Council,15.95,1066.293,2.5,3670.7,0,12.318,0,0,0,0,0,1.017,26.18,1213.35,0,9.295,0.381,0,0
North Yorkshire County Council,200.04,1278.616,1119.495,3680.06,2977.64,872.629,29.198,58.504,0,62.96,30.01,86.559,191.558,3.02,104.34,0,0,369.301,0
Rushcliffe Borough Council,597.04,18.71,0,4020.45,0,0,0,0,0,0,0,19.37,10.02,1864.14,0,0,1.48,0,0
Newcastle-under-Lyme Borough Council,693.659,972.412,153.718,4286.24,0,0.75,0,0,0,0,0,0,24.315,0,203.566,25.914,0.512,0,0
Epsom and Ewell Borough Council,498.11,441.92,93.78,1878.42,0,5.36,0,0,0,0,0,0,13.48,745.48,1.69,2.36,0,0,0
West Sussex County Council,0,1297.01,2021.67,10816.25,900.94,2083.97,97.49,87.4,0,352.84,19.38,82.05,374.03,99.22,0,46.08,0,9368.46,0
Rochdale MBC,0,1648.11,0,3584.495,1.465,3.842,0,0,0,0,0,10.68,39.808,1998.96,0,0,0,0.56,0
Rotherham MBC,122.34,1824.15,303.73,8608.74,1032.06,378.258,12.873,0,0,56.9,7.623,14.195,214.522,1503.25,166.42,0,261.683,1625.26,0
Birmingham City Council,279.88,6958.33,603.19,12682.33,4521.63,714.3,0.02,0,0,0,5.76,32.16,252.33,5126.88,28.75,0,1.81,7113.73,0
Sutton LB,6.32,107.95,166.87,2436.74,863.38,174.41,5.01,0,0,18.48,3.4,2.22,47.44,3877.7,55.36,1.52,47.31,1027.6,0
Cambridge City Council,3.7,24.205,0.186,2959.35,0,3.11,1.413,0,0,0,0,94.24,39.25,3022.62,0.658,0,0,0,0
Redditch Borough Council,5.64,17.69,0,0,0,6.3,0,0,0,0,0,3.09,34.33,2040.083,0,18.4,0,0,0
Lancashire County Council,175.83,1734.825,2231.543,3509.56,6514.88,1316.468,62.271,42.85,0,672.32,40.931,0,282.992,0,801.87,242.9,83.916,0,2.29
Lincolnshire County Council,96.785,507.42,767.672,5555.818,3100.77,1096.777,18.363,0,337.18,228.48,8.769,18.72,132.97,0,286.42,42.69,96.381,2746.12,0.248
Nottingham City Council,62.57,91.62,123.7,6027.34,698.07,149.32,6.44,0,42.66,43.98,2.5,214.63,15.26,5056.37,91.11,0,0.65,2755.14,0
South Oxfordshire District Council,8.42,10.538,0,4838,0,1.53,0,0,0,0,0,0,79.61,4462.6,0.8,0,0,0,0
Mendip District Council,773.54,1101.54,107.92,1833.04,0,0,2.15,0,0,0,0,16.141,70.906,0,128.3,7.375,0,0,0
Stoke-on-Trent City Council,11.025,426.907,235.77,6145.29,1153.26,295.808,9.552,0,210.94,57.08,7.94,20.76,45.281,3539.2,5.38,18.3,0.608,1032.5,0
Runnymede Borough Council,15.53,43.63,0,1217.08,0,0,0,0,0,0,0,0,16.83,1671.2,0,0,0,0,0
Crawley Borough Council,0,1.01,0,586.34,0,19.92,0,0,0,0,0,0,39.45,1813.32,0,0,0,0,0
Trafford MBC,0,2710.74,0,9197.32,0,4.9,0,0,0,0,0,0,25.15,2625.2,0,0,0,0,0
Solihull MBC,1075.484,204.553,173.06,7464.3,691.22,173.547,5.65,0,0,17.26,5.428,57.308,51.596,3108.101,2.86,0,0,1394.29,30.46
Enfield LB,14.84,163.481,133.245,6397.28,0,164.824,4.08,0,0,0,7.57,0,89.388,6207.69,21.98,21.091,0,0,0
Bracknell Forest Borough Council,635.74,132.7,193.43,2645.82,0,196.08,12.5,3.42,176.32,35.19,4.69,46.27,114.74,1749.22,9.13,0,3.14,640.43,29.03
Allerdale Borough Council,226.86,1150.1,9.43,2720.68,0,7.96,0,0,0,0,0,0,0,750.18,6.9,0,0,0,0
Bolsover District Council,9.762,320.878,0,2608.61,0,9.9,0,0,0,0,0,1.36,9.647,1298.6,0,0,0,0,0
Wyre Forest District Council,6.06,1.58,0,584.52,0,3.16,0,0,0,0,0,0,22.11,2386.1,0,0,0,0,0
Hyndburn Borough Council,450.61,640.41,3.12,814.25,22.72,15.22,0,3.13,0,0,0,0,3.63,273.74,0,23.65,0,0,0
North Kesteven District Council,37.9,0,0,3854.02,0,0,0,0,0,0,0,0,5.161,2844.16,0,0,8.92,0,0
Hambleton District Council,604.75,649.05,98.465,3508.94,0,1.5,0,0.414,0,0,0,0,31.397,0,100.505,0,1.78,0,0
South Somerset District Council,1163.32,1685.17,165.229,2806.5,0,0,2.61,0,0,0,0,57.301,90.263,0,193.39,21.598,0,0,0
Ipswich Borough Council,448.56,121.95,15.29,3425.22,33.88,47.34,0,0,0,1.74,0,0,43.85,2081.98,0,53.45,0,0,0
Waverley Borough Council,0,45.9,0,2076,0,5.81,0,0,0,0,0,0,23.9,3455,0,0,0,0,0
North Warwickshire Borough Council,0,457.98,0,2542.78,0,5.92,0,3.78,0,0,0,0,0,754,0,0,0,0,0
Hillingdon LB,112,252,184,5946,387,196,10,9,0,30,6,0,144,3769,11,0,106,403,0
Windsor and Maidenhead Borough Council,0,75.38,169.48,3442.26,0,189.92,11.38,0,174.08,37.86,4.48,28.15,49.87,3907.14,0,0,0,496.94,8.18
Eden District Council,0,583.98,0,1588.3,0,3.64,0,0,0,0,0,0,15.64,546.8,38.24,0,0,0,0
High Peak Borough Council,599.62,0,0,2396.6,0,4.32,0,0,0,0,0,0,9.39,1481.84,0,33.96,1.15,0,0
Poole Borough Council,0,116.85,247.76,3609.94,884.11,264.42,10.88,0.68,0,24.9,4.36,10.88,46.16,3752.26,0,26.36,0,338.57,0
Eastbourne Borough Council,361.36,1.12,0,2166.126,0,1.12,0,0,0,0,0,0,34.14,1453.1,0,0,0,0,0
Gloucestershire County Council,87.17,680.112,980.433,3400.17,2704.56,710.141,31.787,0,979.18,353.77,24,41.39,85.74,0,24.18,0,0.093,1634.3,0
Dartford Borough Council,407.27,21.64,2.24,537.56,0,3.91,0,0,0,0,0,0,22.6,1483.64,0,0,0,0,0
Ribble Valley Borough Council,20.03,488.37,2.7,1255.82,0,3.92,0,0,0,0,0,0,7.818,588.58,0,0,0,0,0
Scarborough Borough Council,0,0,10.96,2795.5,0,0,0,0,0,0,0,0,0,2793.16,0,0,0,0,0
Waveney District Council,546.694,0,0,4574.52,0,0,0,0,0,0,0,0,17.867,2370.51,0,0,0,0,0
Warwick District Council,715.59,1120.82,107.3,4962.46,0,6.1,0,0.54,0,0.11,0,0,24.58,223.8,250.34,0,0,0,0
Bury MBC,0,2051.52,0,4892.48,0,8.18,0,0,0,0,0,0,7.86,2189.26,0,0,0,0,0
Brent LB,10.77,99.15,86.81,3659.01,27.72,54.56,3.94,2.02,0,3.9,1.66,6.81,162.66,6179.37,2.33,0,4.78,52.48,0
Merton LB,13.72,131.93,165.65,2220.2,796.23,180.59,4.19,0,0,17.04,3.5,2.06,128.46,3845.7,66.59,0,58.1,1146.87,0
East Devon District Council,1087.032,1112.115,129.74,1366.747,0,3.78,0,0,0,0,0,209.94,69.54,0,198.56,6.285,0,0,0
Rother District Council,498.56,0,4.56,2459.506,0,14.6,0,0,0,0,0,0,40.26,1814.38,0,0,0,0,0
Gloucester City Council,630.66,867.52,128.07,2647.26,22.12,18.82,0,0,0,0,0,43.26,28.14,0,207.64,80.56,1.03,0,0
Maidstone Borough Council,25.79,0,0,4023.64,0,0,0,0,0,0,0,0,1.46,4065.34,0,0,0,0,0
Wyre Borough Council,22.14,1193.38,0.252,3726.64,0,16.298,0,0,0,0,0,0.403,11.32,1061.24,0,60.4,0,0,0
Leicester City Council,54,300,321,1364,1157,240,2,3,0,45,6,0,59,3893,0,5,0,1413,5
