,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Wirral MBC,25.220999999999997,19.71,0.0,4685.45,0.0,27.85,0.0,0.0,0.0,0.0,0.0,0.0,72.545,7169.04,0.0,1.175,1.419,0.0,0.0
North Tyneside Council,102.77,204.45999999999998,198.51999999999998,4897.86,975.33,179.32,3.8,7.75,0.0,49.92,0.0,5.97,154.03000000000003,3707.75,0.0,5.9399999999999995,0.0,1377.76,0.0
Bradford City MDC (MBC),197.0,2711.0,252.0,6890.0,1597.0,403.0,8.0,24.0,685.0,127.0,0.0,0.0,332.0,2059.0,93.0,0.0,72.0,1289.0,29.0
Western Riverside Waste Authority,0.0,147.42000000000002,150.8,1126.18,767.2,221.38,6.4,0.0,0.0,0.0,2.02,0.02,46.84,109.18,0.0,4.12,0.48,223.18,0.0
West London Waste Authority,0.0,5.92,0.0,271.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0
Redbridge LB,790.6,2042.1,298.59999999999997,4138.1,669.8,167.40000000000003,3.5,3.4,0.0,0.0,5.0,669.5,42.6,0.0,1.1,353.7,0.0,194.1,3.8
Wokingham Council,714.29,185.06,352.64,3895.16,689.48,338.86,16.41,8.16,430.33,86.39,8.31,3.93,138.64000000000001,2461.02,0.0,20.34,1.33,1172.98,55.89
South Lakeland District Council,190.74,330.77,12.415,3982.2599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.726,0.0,1419.91,0.0,110.42,0.0,0.0,0.0
Torbay Council,982.78,1318.61,308.91999999999996,2953.83,505.3,152.522,6.82,5.2,0.0,11.86,5.08,0.0,36.86,509.25,4.41,235.24,0.0,177.36,0.02
Maldon District Council,361.81,628.0609999999999,0.96,1994.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.041,177.149,0.0,0.0,0.568,0.0,0.0
Havant Borough Council,485.20000000000005,29.897,9.82,752.84,0.0,4.5600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,53.489,1974.32,0.0,23.29,0.0,0.0,0.0
North Hertfordshire District Council,75.36,1131.6599999999999,0.94,5286.860000000001,0.0,2.162,0.0,0.0,0.0,0.0,0.0,0.0,11.23,2210.32,0.0,0.0,0.0,0.0,0.0
Dover District Council,0.0,1044.4950000000001,0.0,1510.9099999999999,0.0,5.32,0.0,0.0,0.0,0.0,0.0,0.0,16.967,1385.19,0.0,0.0,0.0,0.0,0.0
Charnwood Borough Council,104.166,55.063,0.56,4383.080000000001,0.0,32.678,2.496,0.0,0.0,0.0,0.0,133.11,57.412000000000006,4257.82,31.41,0.0,0.0,0.0,0.0
Norfolk County Council,438.73,624.438,1111.2869999999998,6707.66,756.76,1671.34,71.299,20.02,0.0,33.46,27.759999999999998,183.066,188.073,0.0,0.0,86.14,2.9109999999999996,0.0,0.0
Mansfield District Council,189.96,15.780000000000001,2.94,2853.36,9.43,0.0,0.0,0.0,0.0,0.0,0.0,482.33,26.22,1660.29,0.0,0.0,0.0,0.0,0.0
Cannock Chase Council,2.592,6.428,0.0,3551.16,0.0,1.97,0.0,0.0,0.0,0.0,0.0,116.76,12.02,2709.67,0.0,0.0,0.0,0.0,0.0
Swindon Borough Council,1064.86,2143.94,619.54,2249.77,1510.58,300.90000000000003,18.55,0.0,194.06,30.84,7.97,0.0,39.39,0.0,32.64,439.15,2.4,2078.2,0.0
Wakefield City MDC,150.1,3249.6800000000003,290.78999999999996,10176.18,1423.8100000000002,399.44,11.2,36.17,0.0,126.15,10.43,1.01,129.68,2950.24,0.0,75.51,4.24,51.36,8.4
Camden LB,0.0,70.31,48.75,1057.6499999999999,280.66,95.66,0.0,0.0,0.0,33.09,0.6,205.96,152.69,4505.780000000001,80.72,0.0,0.24,257.54,0.0
Westminster City Council,930.22,781.76,0.0,294.26,0.0,78.36,0.25,0.0,0.0,0.0,0.0,0.0,68.6,4623.54,0.0,0.0,0.0,0.0,0.0
Exeter City Council,515.72,216.149,8.09,938.58,0.0,5.68,0.0,0.0,0.0,0.0,0.0,40.78,99.156,1687.28,36.96,11.66,1.428,0.0,0.0
Southampton City Council,1007.52,191.6,422.71999999999997,3172.76,0.0,204.89999999999998,14.68,0.0,0.0,89.11,3.52,230.63,105.8,2683.1200000000003,0.0,22.18,0.0,1410.06,0.0
Watford Borough Council,5.71,9.09,0.0,2262.84,0.0,3.165,0.0,0.0,0.0,0.0,0.0,0.0,5.52,1886.9299999999998,0.0,0.0,0.0,0.0,0.0
North Lincolnshire Council,1080.117,1059.5069999999998,525.372,7315.0599999999995,994.5600000000001,310.137,6.521000000000001,4.74,0.0,19.5,6.33,56.536,106.113,1011.009,28.427999999999997,149.47500000000002,60.596000000000004,1272.8200000000002,1.47
Melton Borough Council,0.0,8.460999999999999,1.6429999999999998,1412.346,0.0,4.481,0.0,0.0,0.0,0.0,0.0,71.014,66.971,1470.9299999999998,14.523,0.02,0.0,0.0,0.312
North Norfolk District Council,617.88,0.0,0.0,2651.54,0.0,7.699999999999999,0.0,2.18,0.0,0.0,0.0,0.0,16.517,1873.96,0.0,0.0,0.981,0.0,0.0
Ryedale District Council,418.58,559.74,99.36,2522.89,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,0.0,63.9,1.31,0.0,0.0
Daventry District Council,533.23,783.6,104.38,4250.110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,8.65,193.85,0.0,0.0,0.0
Stafford Borough Council,0.0,720.74,0.0,5609.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.58,0.32,2520.38,0.0,0.0,0.0,0.0,0.0
Guildford Borough Council,51.5,180.42,0.0,3981.2,0.0,2.173,0.0,0.0,0.0,0.0,0.0,21.45,26.200000000000003,3567.14,0.0,0.0,0.0,0.0,0.0
Adur District Council,0.0,38.28,0.0,723.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1316.92,0.0,0.0,0.0,0.0,0.0
Haringey LB,1.88,79.29,79.5,2296.76,592.3,158.51,3.57,4.18,0.0,88.5,3.0500000000000003,47.67,114.44999999999999,5519.33,48.879999999999995,1.72,0.0,954.48,8.56
Bristol City Council,2593.79,4060.37,787.3600000000001,7177.73,1903.83,356.01,17.119999999999997,17.7,0.0,63.42,9.03,0.0,143.0,0.0,0.0,1153.78,110.74,2370.67,0.0
Council of the Isles of Scilly,11.0,0.0,19.8,34.0,21.0,5.372,0.0,0.0,0.0,0.0,0.55,0.0,1.6,0.0,0.0,0.0,0.0,40.0,0.0
Teignbridge District Council,988.5799999999999,839.341,178.076,4690.721,13.2,12.001000000000001,0.0,0.0,0.0,0.0,0.0,168.99,79.333,0.0,19.94,201.256,4.557,0.0,0.0
Braintree District Council,629.88,97.17000000000002,0.0,5866.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.025,27.0,2445.06,0.523,0.0,0.0,0.0,0.0
Essex County Council,387.76,1402.6,1400.896,11023.619999999999,8669.68,1055.537,23.378,55.674,0.0,379.72,45.914,0.0,178.17,0.0,0.0,13.524,0.0,0.0,0.0
Hampshire County Council,751.25,1738.5,3879.02,22582.25,0.0,1564.85,126.67,0.0,0.0,538.85,51.03,2112.13,345.34,0.0,0.0,28.57,0.0,12122.83,0.0
Thanet District Council,80.65,1187.96,16.2,2000.97,0.0,14.690000000000001,0.0,5.98,0.0,0.0,0.0,0.0,29.05,1458.98,0.0,0.0,0.0,0.0,0.0
Burnley Borough Council,20.01,652.78,0.0,1409.54,0.0,2.79,0.0,0.0,0.0,0.0,0.0,98.14,20.48,744.54,6.35,0.0,0.0,0.0,0.0
Boston Borough Council,78.15,48.869,4.076,2036.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.94,33.736,1531.3400000000001,2.545,1.04,0.0,0.0,0.0
South Northamptonshire District Council,18.06,20.98,17.632,4891.55,0.0,20.683,2.9880000000000004,0.0,102.64,0.0,0.0,0.0,57.499,2362.25,0.0,3.55,0.0,132.46,0.0
Tamworth Borough Council,21.03,6.86,0.0,2580.9,0.0,1.53,0.0,0.0,0.0,0.0,0.0,115.47,24.77,2019.98,0.0,0.0,0.0,0.0,0.0
Spelthorne Borough Council,0.0,3.28,0.0,1630.9199999999998,0.0,0.77,0.0,0.0,0.0,0.0,0.0,15.0,2.39,2185.9,0.0,0.0,0.18,0.0,0.0
Horsham District Council,55.32,54.86,0.0,4498.27,0.0,8.04,0.0,0.0,0.0,0.0,0.0,0.0,28.919999999999998,3073.5,13.09,0.0,0.0,0.0,0.0
Liverpool City Council,12.5,18.346,75.456,7541.932,123.68,147.203,0.0,0.0,0.0,0.0,0.0,0.0,99.949,7214.32,50.555,2.02,0.0,0.0,0.0
Barking and Dagenham LB,80.4,101.30000000000001,225.5,2638.9,1291.1,166.2,3.3,9.4,0.0,0.0,3.8,499.7,30.0,2382.4,0.2,65.5,0.0,388.8,2.8
Royal Borough of Kingston upon Thames ,824.18,1886.3,277.14199999999994,3183.87,781.38,203.04399999999998,6.49,0.0,0.0,20.82,1.3,0.0,68.349,0.0,100.584,489.36,0.0,1068.594,0.0
Wiltshire,3520.12,3629.7,1625.72,17637.760000000002,0.0,1155.29,49.44,52.65,405.19,239.69,24.490000000000002,0.0,243.91000000000003,3298.54,31.37,385.28,8.66,1082.42,15.93
Cornwall,532.3399999999999,1023.91,1538.07,10704.91,3213.22,955.6099999999999,49.29,88.75,0.0,453.54,8.97,5.3,99.00999999999999,7906.92,95.73,20.02,0.0,4243.61,0.0
Bedford,508.96000000000004,169.73,180.209,5056.08,113.96000000000001,218.717,11.6,8.1,0.0,13.36,5.88,72.618,34.675,2866.48,0.0,36.620000000000005,0.0,287.24,33.6
Central Bedfordshire,1275.7800000000002,305.94,492.25,8484.470000000001,1167.1100000000001,421.88,17.28,0.0,0.0,75.22,11.56,36.92,113.56,5336.48,0.0,15.05,0.0,1867.8,0.0
Shropshire,1286.54,2638.183,409.40999999999997,15347.099999999999,1062.76,475.94,18.1,39.46,0.0,98.5,11.879999999999999,87.98,130.12,1469.54,0.0,62.75,8.870000000000001,409.6,0.0
Cheshire East,94.36,577.53,535.22,17957.14,2021.67,615.7,20.43,0.0,0.0,0.0,16.47,287.65,186.17000000000002,9798.69,0.0,163.93,0.0,3547.58,0.0
Cheshire West and Chester,2418.56,3893.21,1071.762,17136.96,2126.3540000000003,570.2610000000001,16.254,2.65,0.0,0.0,19.032,168.78,263.603,0.0,44.079,1084.686,0.0,3203.68,1.82
Northumberland,1338.9,350.9,510.1,8305.0,1517.5,514.3,14.8,36.2,0.0,102.7,17.8,65.5,216.90000000000003,5177.0,0.0,71.3,2.3,1987.8,0.0
County Durham,2770.87,548.4000000000001,650.83,14228.44,2655.48,496.99,19.659999999999997,60.349999999999994,0.0,260.2,12.43,207.61,336.15000000000003,9351.73,0.0,356.93,0.0,3790.52,0.0
Dorset Waste Partnership,3056.1099999999997,2365.67,1530.73,17113.66,2913.52,765.2,30.82,25.88,0.0,221.54,22.099999999999998,434.79,338.68,5140.23,44.01,137.04000000000002,7.26,1563.3,37.0
