,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Gedling Borough Council,688.8199999999999,24.07,3.43,1854.02,1.08,9.232,0.0,0.0,0.0,0.0,0.0,279.96,15.2,1991.18,0.0,1.86,0.0,0.0,0.0
Staffordshire County Council,31.85,797.3,863.25,3818.64,1659.14,1015.56,41.05,76.27,0.0,132.44,34.86,37.33,383.90999999999997,0.0,27.17,146.79,217.42000000000002,5323.24,157.25
Bolton MBC,5.692,2458.443,0.903,6048.64,0.0,0.142,0.0,0.0,0.0,0.0,0.0,8.056,12.625,2575.31,27.82,0.762,0.0,0.0,0.0
Leeds City Council MBC,2096.4399999999996,683.71,680.01,17721.309999999998,2905.35,692.48,19.46,20.659999999999997,0.0,245.34,23.36,25.72,161.44,8266.68,224.99,13.31,19.15,0.0,38.36
Barnet LB,20.380000000000003,226.56000000000003,212.47,8150.66,1041.86,238.55,12.05,5.86,0.0,55.36,6.48,15.99,215.24999999999997,6766.36,32.18,2.29,0.0,1019.9,2.12
Lambeth LB,0.0,68.82,37.61,1847.7000000000003,324.42,95.41999999999999,1.92,3.88,0.0,0.0,0.8,73.11,62.89,4652.4,10.98,9.14,0.95,0.0,0.0
South Gloucestershire Council,1476.14,2730.69,867.4200000000001,7995.4400000000005,2075.4,422.88,21.82,22.13,0.0,127.78,14.149999999999999,20.45,491.12,0.0,0.0,709.5300000000001,19.52,1771.1,0.0
Derbyshire Dales District Council,0.0,712.545,0.0,2971.3399999999997,0.0,8.52,0.0,0.0,0.0,0.0,0.0,0.0,25.631,1021.38,0.0,0.0,0.0,0.0,0.0
Lewes District Council,559.0980000000001,881.886,43.902,355.96,0.0,1.1,0.0,0.0,0.0,0.0,0.0,6.49,18.72,0.0,0.0,99.94999999999999,1.425,0.0,0.0
Tendring District Council,429.1,1271.3,0.0,470.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.6,30.8,274.1,80.6,0.0,1.4,0.0,0.0
Forest of Dean District Council,529.3,566.08,105.14,3105.57,0.0,8.0,0.5,0.0,0.0,0.0,0.0,6.56,43.22,0.0,20.52,43.36,2.12,0.0,0.0
Rushmoor Borough Council,488.23999999999995,12.420000000000002,0.0,651.96,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,49.050000000000004,1155.3799999999999,0.0,0.0,0.0,0.0,0.0
Bromsgrove District Council,21.52,62.42,0.36,2670.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,10.1,2484.88,0.0,0.0,0.0,0.0,0.0
Three Rivers District Council,615.55,757.5,0.0,4824.32,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,9.975999999999999,394.7,0.0,0.0,0.0,0.0,0.0
Isle of Wight Council,98.66,0.94,553.5200000000001,5593.29,865.58,118.62,13.96,15.86,0.0,19.15,5.28,0.0,17.759999999999998,3594.36,6.92,76.8,0.0,1518.43,0.0
