ONS Code,Name,Total Local Authority Collected Waste,Household – Total Waste,Household - waste sent for recycling/composting/reuse (tonnes),Household dry recycling/reuse (tonnes),Household green recycling/reuse (tonnes),Household - Waste not Sent for Recycling,Household - regular collection (not recycled) (tonnes),Household - civic amenity sites (not recycled) (tonnes),Household - other sources (not recycled) (tonnes),Household - estimated rejects (tonnes),Non-household – Total Waste,Non-household - waste sent for recycling/composting/reuse (tonnes),Non-household – Waste not Sent for Recycling ,Non-household - estimated rejects (tonnes),Local Authority Collected Waste - Sent for Recycling/Composting/Reuse,Local Authority Collected Waste - Not Sent for Recycling,Local authority collected - estimated rejects (tonnes)
E06000001,Hartlepool Borough Council,46914,41712,14973,10033,4939,26739,19143,4345,2014,1238,5203,1781,3422,0,16753,30161,1238
E06000002,Middlesbrough Borough Council,71364,56610,19088,12637,6451,37522,31463,3932,668,1458,14754,7084,7670,0,26171,45192,1458
E06000003,Redcar and Cleveland Borough Council,70995,57628,22586,13447,9139,35042,28576,2757,757,2952,13367,4098,9269,0,26684,44311,2952
E06000004,Stockton-on-Tees Borough Council,102613,80506,20713,13625,7088,59793,50549,4910,4459,-125,22107,14718,7389,0,35431,67182,-125
E06000005,Darlington Borough Council,60221,44082,16327,12732,3595,27754,16890,5827,3169,1869,16139,6620,9519,0,22947,37273,1869
E06000006,Halton Borough Council,59903,55409,22930,16387,6542,32479,25644,3812,2094,929,4495,2845,1650,0,25774,34129,929
E06000007,Warrington Borough Council,97795,92845,48933,26425,22508,43912,34006,5183,3341,1382,4949,3502,1447,0,52435,45360,1382
E06000008,Blackburn with Darwen Borough Council,65588,57514,20951,14558,6393,36563,23270,7020,4280,1994,8074,648,7426,0,21598,43990,1994
E06000009,Blackpool Borough Council,72485,64547,29104,17803,11301,35443,27536,3272,3681,954,7938,1584,6354,0,30688,41797,954
E06000010,Kingston-upon-Hull City Council,124535,106368,49556,28666,20890,56812,39868,6543,5467,4934,18167,9400,8768,0,58956,65580,4934
E06000011,East Riding of Yorkshire Council,195885,172950,114274,52721,61553,58675,36569,11250,7219,3637,22935,13804,9131,0,128079,67806,3637
E06000012,North East Lincolnshire Council,77104,74678,22653,11449,11203,52026,45119,4456,2451,0,2426,543,1883,0,23196,53909,0
